Gene = wls
index = 1935
Annotated 5SS: [1489]
Annotated 3SS: [2016]
SMsplice 5SS: [1489]
SMsplice 3SS: [2016]
top_k =  100
Partition function (log Z): -6.2480834029925045

Sorted 5' Splice Sites (High to Low Probability):
Position 1489: 0.9907231577497083
Position 708: 0.3614863058405211
Position 1807: 0.2006014718548327
Position 1917: 0.15832735127103653
Position 2691: 0.07825516185328797
Position 1956: 0.018841862006878346
Position 1801: 0.010197431029049058
Position 417: 0.006729147317124326
Position 277: 0.004953118158079994
Position 540: 0.0030473688595902748
Position 449: 0.0025790898796293135
Position 659: 0.002399995799316643
Position 712: 0.0016440105013319022
Position 1099: 0.001631970142296795
Position 255: 0.0013584283828767493
Position 152: 0.0012309861276552014
Position 71: 0.0012109078492443205
Position 1749: 0.0008366735058489784
Position 1516: 0.0007535856251612887
Position 529: 0.0006745992311732765
Position 728: 0.0006665644597429536
Position 281: 0.0005933369441492594
Position 2480: 0.0004760665306961195
Position 2504: 0.0004532029473114283
Position 382: 0.0003895703481698139
Position 453: 0.0003647447731613641
Position 84: 0.00030792126377082035
Position 144: 0.0002143304655956552
Position 656: 0.00017603768348787639
Position 121: 0.0001555454199034429
Position 1637: 4.586979259699341e-05
Position 402: 3.6010826429478287e-05
Position 481: 1.1733328594933482e-05
Position 371: 7.327411459858817e-06
Position 64: 7.223243491304782e-06
Position 182: 4.589499062634939e-06
Position 208: 4.209725592435439e-06
Position 28: 3.24903498934042e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 2016: 0.887361816003919
Position 1546: 0.2189561568049864
Position 936: 0.1945283089601011
Position 778: 0.1460782284787395
Position 1669: 0.12227779070874184
Position 1710: 0.08553913302788002
Position 2745: 0.07169075415072886
Position 2036: 0.037934224395263796
Position 2067: 0.019566302638148007
Position 836: 0.017140840097059917
Position 1178: 0.01178732670620851
Position 1719: 0.008193217602964048
Position 1852: 0.0059131759189464716
Position 467: 0.003198519416739225
Position 2854: 0.0027228213158346105
Position 2922: 0.0018416626458499777
Position 1423: 0.00162879668664072
Position 515: 0.0015835468780304371
Position 867: 0.0015451755360723273
Position 1977: 0.001448772704005047
Position 720: 0.0012625665321506479
Position 134: 0.0012486463639753587
Position 1055: 0.0011517782090119488
Position 539: 0.0011348787432602237
Position 254: 0.0010014268144232755
Position 2978: 0.0009478676854736684
Position 2584: 0.0009292694780075479
Position 961: 0.0008196115865286563
Position 2878: 0.0007683358497938255
Position 518: 0.0003287086869406588
Position 878: 0.0003079188497579479
Position 2957: 0.0002837202056069872
Position 139: 0.00017327026303576559
Position 596: 6.620353460989806e-05
Position 350: 3.9383203412219745e-05
