Gene = mTTF
index = 1782
Annotated 5SS: [ 493 1138]
Annotated 3SS: [ 556 1192]
SMsplice 5SS: [ 493 1138]
SMsplice 3SS: [ 556 1192]
top_k =  100
Partition function (log Z): 1.6649556774747978

Sorted 5' Splice Sites (High to Low Probability):
Position 493: 0.997626669211189
Position 1138: 0.9960947903823709
Position 661: 0.20924674097410492
Position 751: 0.04799471205621521
Position 1018: 0.01915530167878916
Position 958: 0.010362628093229223
Position 185: 0.001850976035784332
Position 1323: 0.001594515488682927
Position 1114: 0.000671937480972197
Position 235: 0.0005364078024515489
Position 1202: 0.0005303915555779141
Position 397: 0.0005225088102483516
Position 1343: 0.00048341422080071673
Position 804: 0.00041998476474839014
Position 202: 0.00037703838176005895
Position 736: 0.00031820793126902157
Position 1481: 0.00021539876187394308
Position 841: 0.0001916598778068983
Position 1492: 0.00018972295224911853
Position 1487: 0.00018857918970106968
Position 64: 0.00010449041491069618
Position 464: 8.743373004021766e-05
Position 665: 8.392382793357478e-05
Position 1369: 7.472107437842054e-05
Position 328: 1.1863859099962496e-05
Position 441: 6.227668602587951e-06
Position 24: 5.9239855273930284e-06
Position 33: 4.87982481621969e-06
Position 223: 4.6833949633892095e-06
Position 303: 2.6350878463943905e-06
Position 378: 1.7657868732632975e-06
Position 795: 1.3721724268393687e-06
Position 459: 1.178981682364365e-06
Position 53: 1.0977292378247466e-06
Position 13: 1.093307135781449e-06
Position 856: 8.698726496484336e-07
Position 479: 2.771276850971075e-07
Position 414: 2.0391118874711133e-07
Position 1123: 1.8018137488680869e-07
Position 536: 1.0443462600577445e-07
Position 709: 9.291253917399795e-08
Position 521: 8.290235361033563e-08
Position 261: 1.8568178278381542e-08
Position 640: 8.553893510271897e-09
Position 647: 3.5638882148402017e-09
Position 588: 2.4670498037899873e-09
Position 1142: 1.925438235850932e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 556: 0.9955570481176264
Position 1192: 0.9891789790022515
Position 894: 0.14372447273467748
Position 722: 0.08701951506738188
Position 1073: 0.028826196515546673
Position 1017: 0.015121725047129891
Position 1278: 0.005768937827511307
Position 822: 0.005517748293064832
Position 903: 0.004446881366869543
Position 1387: 0.0022400367219907657
Position 813: 0.0018293389800110393
Position 275: 0.0017649333183927985
Position 1359: 0.001548765213521242
Position 1113: 0.0014197215988077428
Position 1079: 0.0009822583140366267
Position 1543: 0.0006044777124399441
Position 729: 0.0005799475505032176
Position 771: 0.0005423179963977062
Position 234: 0.00043435113878737735
Position 1199: 0.0003781876984909413
Position 603: 0.0002802553135108577
Position 1513: 0.0001905466496644196
Position 400: 0.00018706741149694496
Position 1231: 0.00016460708833644568
Position 296: 0.00013603776071974798
Position 864: 0.00013232201131106603
Position 1419: 0.00010819650523200538
Position 1294: 0.00010518592124729564
Position 238: 3.2887546593765284e-05
Position 315: 2.4393434823599885e-05
Position 106: 2.3326270041411548e-05
Position 163: 1.8413075092451695e-05
Position 431: 1.6302953966718036e-05
Position 113: 1.4560693973471826e-05
Position 185: 9.270989017369921e-06
Position 573: 4.430261403422497e-06
Position 350: 4.124421900154934e-06
Position 588: 4.088717621432113e-06
Position 454: 3.879625597825786e-06
Position 73: 3.7440143526552194e-06
Position 166: 3.6027955106536224e-06
Position 125: 2.7612265288118434e-06
Position 367: 2.599055954508474e-06
Position 579: 2.153941303815625e-06
Position 94: 1.6312788088033334e-06
Position 359: 1.4949575437942297e-06
Position 245: 1.0051819013064885e-06
Position 91: 6.632288377274655e-07
Position 223: 4.876768693309855e-07
Position 208: 3.0393195888344843e-07
Position 211: 2.629409085323045e-07
Position 448: 2.4678284342528866e-07
Position 567: 2.903585528423572e-08
