Gene = tadr
index = 1905
Annotated 5SS: [ 311 2100 2353 2781 3004 3717 4552 4731]
Annotated 3SS: [1953 2157 2688 2865 3561 3884 4631 4795]
SMsplice 5SS: [ 311 2100 2353 2781 3004 3717 4552 4731]
SMsplice 3SS: [1953 2157 2688 2865 3561 3884 4631 4795]
top_k =  100
Partition function (log Z): 20.267527918412146

Sorted 5' Splice Sites (High to Low Probability):
Position 4731: 0.9890474137925774
Position 4552: 0.9793845934173796
Position 2353: 0.9760461227830385
Position 2781: 0.9760071502581691
Position 3717: 0.9684435928008979
Position 311: 0.9522335565839462
Position 2100: 0.9075799827033375
Position 3004: 0.7479498082728346
Position 4100: 0.28251304294060114
Position 1694: 0.2681129085105337
Position 3314: 0.1258765133075219
Position 5018: 0.07451379225204582
Position 2136: 0.054745767542910884
Position 604: 0.05449353272396354
Position 4205: 0.05361267894363648
Position 4025: 0.03923130756277178
Position 4841: 0.03826948964357835
Position 2360: 0.015146819118810812
Position 3051: 0.013032936485817659
Position 4178: 0.009536262182569973
Position 1506: 0.008083862256592625
Position 4588: 0.007845882976866505
Position 4137: 0.0072975400943448366
Position 2785: 0.006557657274488086
Position 4097: 0.00651711059297153
Position 2373: 0.0042331505621138596
Position 1558: 0.004210510064933339
Position 2122: 0.0029668292270058614
Position 4030: 0.002842123748613519
Position 2111: 0.002827016574546557
Position 1202: 0.0027707598457290643
Position 1417: 0.002433331225109929
Position 2106: 0.0020493346934522066
Position 1536: 0.0019549698384030414
Position 2195: 0.00168993662228655
Position 450: 0.001604217998875827
Position 2536: 0.0013707082067211233
Position 3661: 0.0013358331516970577
Position 273: 0.0013104433493490877
Position 446: 0.0012290785676282558
Position 5402: 0.001228659766180725
Position 4210: 0.0011096049929745213
Position 2329: 0.001046815570214227
Position 3055: 0.001014160134294217
Position 979: 0.0009392963635827635
Position 416: 0.0008586344703215568
Position 4053: 0.0007370729363248611
Position 3948: 0.0006373497055744137
Position 4033: 0.0005388604289082979
Position 1091: 0.0005330076548013631
Position 2809: 0.0004424305706171893
Position 510: 0.00039369460077766334
Position 2009: 0.0003666523255624055
Position 608: 0.00024336169226479715
Position 2474: 0.0002234446528822579
Position 3020: 0.0001761040402655646
Position 67: 0.00013086260316060133
Position 2357: 6.296899777662209e-05
Position 2382: 5.902484047010848e-05
Position 101: 4.976996556105324e-05
Position 87: 3.66689135532792e-05
Position 103: 1.2103343644314316e-05
Position 28: 6.947733325138246e-06
Position 35: 1.6784173748891938e-06
Position 261: 1.3078828777556792e-06
Position 140: 7.570972126707924e-07
Position 74: 5.137433413348173e-07
Position 4754: 3.814113086018555e-07
Position 138: 3.2473684869485166e-07
Position 146: 2.8948859523309655e-07
Position 299: 2.760489659109548e-07
Position 2060: 1.5540010657403017e-07
Position 72: 1.3117926603765683e-07
Position 42: 6.856755499414483e-08
Position 304: 8.639157622700883e-09
Position 130: 1.7114451120313036e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2688: 0.998939952141775
Position 4795: 0.9989106968927225
Position 1953: 0.9970219267782443
Position 3884: 0.9288043244307947
Position 2865: 0.9183934503217436
Position 4631: 0.8201522122017482
Position 2157: 0.7658801020677617
Position 4250: 0.46365134037333394
Position 3561: 0.3661830587452658
Position 3542: 0.2797458223326187
Position 3424: 0.1553476883534937
Position 2227: 0.1505495726392744
Position 4653: 0.1281116998270861
Position 370: 0.11438378423750958
Position 5070: 0.08700172985972379
Position 1394: 0.046008524516497215
Position 487: 0.035289551564776034
Position 1115: 0.034841425216045906
Position 3412: 0.032818659682687386
Position 3381: 0.026974276183799717
Position 2253: 0.025014677979291477
Position 2182: 0.023618994109570912
Position 3461: 0.018432664828943575
Position 3107: 0.01690605745564935
Position 4646: 0.015450486049507415
Position 4669: 0.013600070671407328
Position 708: 0.011510499900316993
Position 1361: 0.010265597816832854
Position 3440: 0.009852166799922561
Position 928: 0.009608696873293597
Position 5274: 0.00791099118433234
Position 5194: 0.006778056699217169
Position 1605: 0.006750688756214978
Position 3482: 0.006599684895031032
Position 1017: 0.005311113614746783
Position 392: 0.005253942395991257
Position 834: 0.005087930744384748
Position 1539: 0.004995998497715622
Position 3155: 0.004544246007446833
Position 3842: 0.004237062578617532
Position 2173: 0.004156709708128394
Position 2927: 0.0038675270659932607
Position 654: 0.0027020875476596027
Position 850: 0.002666675553682028
Position 5474: 0.0026508689572752
Position 4274: 0.002648226060094221
Position 933: 0.0023557046441714247
Position 5205: 0.0023283665278241955
Position 1489: 0.0021892354221256867
Position 4170: 0.002021077024040533
Position 5258: 0.001906204758992839
Position 1486: 0.0019027158960605772
Position 5007: 0.0017916461827451966
Position 4309: 0.0017038465493144051
Position 813: 0.001550769830671359
Position 3167: 0.0014807843016074558
Position 4295: 0.0014629675348680612
Position 2422: 0.0013773898973971168
Position 4937: 0.0013607723433653868
Position 1894: 0.0010650170433747093
Position 5595: 0.0009916294206340438
Position 5546: 0.0009910633413103228
Position 1904: 0.0005661803809993133
Position 2404: 0.00034841897181803693
Position 5620: 0.0003006123863842963
Position 171: 0.00023398488817972976
Position 3051: 0.00016805402656954577
Position 1831: 8.247712071282684e-05
Position 4824: 5.157918835949495e-05
Position 2502: 2.323730864565761e-05
Position 2446: 2.154626800067829e-05
Position 2882: 2.0813248723669795e-05
Position 2531: 1.1177263903906472e-05
Position 2474: 1.0957881776302706e-05
Position 2479: 7.332095685496743e-06
Position 591: 2.3465784912013915e-06
Position 4763: 1.5267673009427304e-06
Position 2985: 1.711153496091926e-09
Position 2975: 1.4023898306837752e-09
