Gene = MCU
index = 1255
Annotated 5SS: [  132  1212 11681 12102 40098 40262 40423 40680]
Annotated 3SS: [ 1025 11583 11828 39865 40155 40320 40475 40740]
SMsplice 5SS: [ 1212 11681 12102 40098 40250 40423 40680]
SMsplice 3SS: [11583 11828 39865 40155 40320 40475 40740]
top_k =  100
Partition function (log Z): -27.030393699863176

Sorted 5' Splice Sites (High to Low Probability):
Position 12102: 0.9999999871550491
Position 11681: 0.9791065497786261
Position 1212: 0.6563242965671593
Position 529: 0.34367570197055464
Position 11685: 0.014291706465684548
Position 11689: 0.006601743743783536
Position 2129: 4.364267801470773e-09
Position 1429: 1.2386859101558656e-09
Position 520: 7.207711359531127e-11
Position 883: 5.420886630614388e-11
Position 235: 4.4939436744020526e-11
Position 1372: 3.011033600888994e-11
Position 1304: 2.22526464471972e-11
Position 2324: 7.197262940256352e-15
Position 2902: 6.4910854482765215e-15
Position 2133: 5.216677899178614e-15
Position 3975: 3.828367456653922e-15
Position 2107: 3.231965457776275e-16
Position 823: 1.3077797349472228e-17
Position 132: 3.0308641554281136e-18
Position 592: 5.463171850112553e-19
Position 376: 3.069905986194354e-19
Position 393: 2.983150057496589e-19
Position 218: 2.938459466755168e-19
Position 99: 1.2345292672312265e-19
Position 4: 1.1496112950344587e-19
Position 141: 6.022375923507048e-20

Sorted 3' Splice Sites (High to Low Probability):
Position 11583: 0.9999999999999768
Position 30737: 0.9320226438437271
Position 11828: 0.6173056035082297
Position 11753: 0.37610568467989414
Position 28841: 0.035109116383772794
Position 28306: 0.024923547021307356
Position 26875: 0.007942501231713757
Position 11728: 0.003419972510643681
Position 11915: 0.003168735596186174
Position 20116: 1.0294221602028584e-06
Position 19583: 7.394368926698687e-07
Position 19603: 3.0469971521970594e-07
Position 17862: 5.6851095831166966e-08
Position 15939: 2.1081132186579978e-08
Position 16014: 1.0786021026176243e-08
Position 15482: 5.463614146621534e-09
Position 16532: 5.185160127359615e-09
Position 15540: 4.114628659399401e-09
Position 1547: 3.129133331938038e-09
Position 14542: 1.4502887638469987e-09
Position 12254: 1.1238092385077089e-09
Position 12722: 1.025365196197244e-09
Position 1512: 6.251037951784499e-10
Position 12661: 5.107557842807841e-10
Position 2050: 4.121795349980953e-10
Position 12362: 3.568117195085723e-10
Position 12551: 1.9862447620351474e-10
Position 1501: 1.9785483351166465e-10
Position 12289: 1.91942442577887e-10
Position 12852: 1.3182683175210295e-10
Position 13243: 1.0399220119469212e-10
Position 12193: 6.659939941017928e-11
Position 12157: 4.8176494394350215e-11
Position 12586: 4.344383269075719e-11
Position 12130: 4.027257332315049e-11
Position 12469: 3.534745557856183e-11
Position 2201: 7.592056217651103e-15
Position 2984: 4.726166305573845e-15
Position 2386: 4.564411060292785e-15
Position 4039: 3.828367456653922e-15
Position 2214: 3.503040250102831e-15
Position 3660: 3.46648903723351e-15
Position 2378: 2.7037095898288085e-15
Position 2964: 2.195612206322058e-15
Position 1853: 2.373965622958913e-16
Position 1048: 1.4159743204867965e-16
Position 302: 1.0384566783005466e-16
Position 1025: 7.24464907031061e-17
Position 1060: 6.937654381657628e-17
Position 693: 4.488878332752005e-17
Position 1072: 1.9850681533999006e-17
Position 943: 1.5174256089138565e-17
Position 1083: 1.5080176219966403e-17
Position 1108: 3.7561883173203975e-18
Position 478: 3.5454325502982936e-18
Position 854: 2.107691282862695e-18
Position 458: 9.633654559282752e-19
Position 192: 9.26799245198153e-19
Position 1102: 8.446450510675062e-19
Position 660: 6.3415327784396535e-19
Position 882: 7.024150245873326e-20
