Gene = Pdxk
index = 1365
Annotated 5SS: [456 627]
Annotated 3SS: [526 692]
SMsplice 5SS: [456 627]
SMsplice 3SS: [526 692]
top_k =  100
Partition function (log Z): -0.27112930985738276

Sorted 5' Splice Sites (High to Low Probability):
Position 627: 0.9985966272338691
Position 456: 0.7903920427790867
Position 140: 0.10923324121151833
Position 788: 0.058301753181493145
Position 435: 0.045881979778750366
Position 980: 0.01447433114013305
Position 835: 0.01160248349555917
Position 361: 0.005879903460221198
Position 423: 0.0057378243604506
Position 867: 0.0031387455226961456
Position 31: 0.002591425739553364
Position 632: 0.0013996113312772023
Position 387: 0.0012848032411466883
Position 239: 0.0012459087534951643
Position 172: 0.0011249515722629774
Position 13: 0.0011169768078016754
Position 258: 0.0009454892845815734
Position 74: 0.000711156697866601
Position 260: 0.0006418003470055795
Position 262: 0.0006172671583698434
Position 1376: 0.0006153674766094971
Position 1046: 0.0005773895304270597
Position 264: 0.0005464615472100348
Position 159: 0.0005323979311681854
Position 1043: 0.0004643267143333701
Position 1468: 0.0004607191659710745
Position 266: 0.000386119689822454
Position 408: 0.00021790021064470457
Position 10: 0.00020391908227921114
Position 26: 0.00016174759926073826
Position 108: 0.0001558427260784937
Position 411: 0.000109390718236259
Position 186: 0.0001042046272734167
Position 28: 0.00010027215875325284
Position 48: 6.845253704188084e-05
Position 736: 1.094445651234752e-06
Position 600: 2.0770265167510614e-07
Position 605: 1.6161452139713872e-07
Position 708: 3.9825103920843176e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 692: 0.981675804572165
Position 526: 0.862463440150621
Position 280: 0.10467574924061983
Position 1206: 0.03300331939317444
Position 1098: 0.025917135579806308
Position 679: 0.01640489918821789
Position 1141: 0.015505978868227965
Position 1516: 0.004978014948532856
Position 871: 0.0020526034055248234
Position 1254: 0.0013843079680807802
Position 956: 0.0013388277702724807
Position 1059: 0.0011371412815301654
Position 706: 0.0009859341662340662
Position 1056: 0.0009835125893090726
Position 1562: 0.0009425365205440622
Position 787: 0.00093418368054336
Position 1261: 0.0007650245332585624
Position 1703: 0.0007567995064118049
Position 289: 0.0007472800097039846
Position 565: 0.0007380930942478233
Position 476: 0.0006989000328959249
Position 889: 0.0004628118882080938
Position 1105: 0.0004071019743410392
Position 179: 0.00018961089984136103
Position 486: 0.00018351961888534904
Position 345: 0.0001085080064199669
Position 330: 9.055464697588686e-05
Position 156: 6.900594769737122e-05
Position 401: 1.3473310077604894e-05
Position 246: 6.0538533808680585e-06
Position 183: 4.1723275756917e-06
