Gene = RnrL
index = 1431
Annotated 5SS: [117 257 667]
Annotated 3SS: [167 488 724]
SMsplice 5SS: [117 257 667]
SMsplice 3SS: [167 488 724]
top_k =  100
Partition function (log Z): 4.947389432912556

Sorted 5' Splice Sites (High to Low Probability):
Position 667: 0.9980745749990795
Position 117: 0.9857294497209709
Position 257: 0.8678472740135894
Position 423: 0.17741021084285744
Position 2119: 0.0654435259873661
Position 313: 0.06474436746713116
Position 1818: 0.038146327234831946
Position 430: 0.007406531828391153
Position 97: 0.0070495272823825885
Position 394: 0.0031700381137656987
Position 282: 0.0018290380865512324
Position 261: 0.0015355610991153717
Position 805: 0.0014974816013519298
Position 1251: 0.001324200265051922
Position 297: 0.001035789351861969
Position 317: 0.0010035445811421972
Position 383: 0.0006207009358797179
Position 1475: 0.0004764894908480113
Position 808: 0.00045083846929660425
Position 1053: 0.00042206773776781286
Position 368: 0.0004169491902709581
Position 854: 0.0003562746427611077
Position 1724: 0.0003106282868934898
Position 1855: 0.00029768706931710044
Position 344: 0.0001771549192261781
Position 104: 0.00017648112244259524
Position 121: 0.00013323501466220813
Position 400: 6.153361365235184e-05
Position 274: 4.72566924873478e-05
Position 185: 3.399933573431811e-05
Position 248: 2.8743011145007056e-05
Position 79: 2.7880155425923743e-05
Position 46: 2.4334699743240413e-05
Position 784: 2.2396284325230285e-05
Position 265: 1.2946342053374302e-05
Position 336: 9.082751371731905e-06
Position 67: 3.728919276446283e-06
Position 16: 1.4497310227028524e-06
Position 59: 7.993618512521256e-07
Position 517: 6.342961530123352e-07
Position 671: 1.333924109233701e-07
Position 699: 7.825634960005536e-09
Position 629: 5.473378797118121e-09
Position 146: 1.4080005243239015e-09
Position 627: 1.2217678107031058e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 488: 0.9928279490328382
Position 167: 0.9923277583983122
Position 724: 0.9481256473388291
Position 364: 0.12996625162606557
Position 2343: 0.0792912916577148
Position 1906: 0.0321667080825032
Position 885: 0.011155464075857926
Position 2184: 0.008010648688551347
Position 2028: 0.006302090599915159
Position 762: 0.004902969685940273
Position 1875: 0.004425315128088451
Position 313: 0.004218890039312457
Position 1111: 0.0038391885215413014
Position 914: 0.0036407023151232543
Position 1738: 0.0022486547433770753
Position 759: 0.001324261621129113
Position 1956: 0.000602593490910433
Position 1302: 0.0005700082670989108
Position 507: 0.0004403036797258726
Position 317: 0.00028951230841777376
Position 1908: 0.0002170945559530619
Position 542: 0.00021207814753537287
Position 174: 0.00011478492226914227
Position 178: 4.918886797590611e-05
Position 440: 3.516369059960655e-05
Position 627: 2.3469315067195412e-05
Position 564: 1.102404836123248e-05
Position 210: 6.019592886260924e-06
Position 281: 5.891281614465057e-06
Position 437: 3.9263647361782845e-06
Position 220: 3.3232112017892912e-06
Position 430: 2.0627400661710647e-06
Position 296: 4.0281456146335515e-07
Position 181: 1.5012462173678772e-07
Position 217: 8.848047872075306e-08
Position 112: 5.0753031632883734e-09
Position 184: 9.957530054626525e-11
Position 97: 1.6875440963491653e-11
Position 59: 9.756408770839415e-12
