Gene = DIP-theta
index = 1124
Annotated 5SS: [  166  6951 13105 16706 18043 18274 21827 22905 23907 25633 26191 26524]
Annotated 3SS: [ 6379 13029 16607 17896 18211 21667 22775 23771 25482 26103 26247 31442]
SMsplice 5SS: [  170  6951 16706 17193 17834 18043 18274 21827 22905 23907 25633 26191
 26524]
SMsplice 3SS: [ 6379 16607 17103 17247 17896 18211 21172 22775 22960 25482 26103 26247
 31442]
top_k =  100
Partition function (log Z): 6.698345143165991

Sorted 5' Splice Sites (High to Low Probability):
Position 23907: 0.9999998894274961
Position 16706: 0.999456845863102
Position 22905: 0.9836254075576183
Position 21827: 0.9771039882485003
Position 26191: 0.955373417975299
Position 17834: 0.9532008529523978
Position 18274: 0.8939724322674298
Position 6951: 0.8621889198321532
Position 18043: 0.8574658170484266
Position 26524: 0.815442718759833
Position 17193: 0.7614923408777423
Position 25633: 0.6734573827823945
Position 170: 0.5708053971982954
Position 17354: 0.45626142256583185
Position 19460: 0.456164309282912
Position 18717: 0.38662676508797666
Position 166: 0.383228629137649
Position 23453: 0.12974342722254442
Position 23355: 0.12521960880413274
Position 17505: 0.12050077462669628
Position 6223: 0.09862038711295695
Position 17397: 0.0924836211732312
Position 13105: 0.07419842143083033
Position 19386: 0.07218510686270332
Position 527: 0.045848952280767595
Position 18106: 0.04259311151497418
Position 19096: 0.03069649491274236
Position 26196: 0.026474322485313975
Position 6219: 0.02135133258159438
Position 4018: 0.019351751820681235
Position 18557: 0.009409157543929278
Position 25891: 0.007760589191663458
Position 18048: 0.006934099600369863
Position 17024: 0.005680617687476157
Position 18299: 0.003906743445772148
Position 18020: 0.0013269477045289523
Position 18015: 0.0010027549199589064
Position 16652: 0.0005141541195120851
Position 18294: 5.278700242893302e-05
Position 893: 3.450018535281297e-05
Position 781: 1.9987488159899822e-05
Position 252: 1.6505698687737717e-05
Position 472: 1.4680126294762163e-05
Position 311: 1.2425781322277119e-05
Position 797: 6.082723152762888e-06
Position 862: 5.643471771898654e-06
Position 524: 5.2764626730096475e-06
Position 319: 1.919445873339464e-06
Position 17579: 4.4822196975053373e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 31442: 0.9982559182870294
Position 16607: 0.9951202515993378
Position 17896: 0.9920778280681216
Position 22775: 0.9833296377156004
Position 21172: 0.9771039882485001
Position 17247: 0.9714372859780952
Position 6379: 0.8056465595356802
Position 26103: 0.7704646982073459
Position 26247: 0.7635915907766929
Position 22960: 0.7575266779288101
Position 18211: 0.6804444776248765
Position 25482: 0.5599905633631046
Position 17103: 0.42496896984395943
Position 23771: 0.38178244538437683
Position 16817: 0.3694614239893084
Position 18415: 0.3043924474980265
Position 19184: 0.25431131170019716
Position 18801: 0.2499028851533953
Position 17668: 0.24820763857603603
Position 18170: 0.2362647309554239
Position 25706: 0.21344309720017
Position 6131: 0.17651407999102392
Position 17522: 0.16543284323738328
Position 12457: 0.057458157889235216
Position 17425: 0.053700662301184476
Position 17480: 0.05333090042991735
Position 17396: 0.052152686160515396
Position 17562: 0.051147497550192045
Position 25173: 0.04786201162970305
Position 22971: 0.04764008434362548
Position 26311: 0.042980388181189134
Position 18341: 0.03951604340854104
Position 23203: 0.03755928812055978
Position 24928: 0.03554718503583297
Position 23415: 0.015080505368956623
Position 3785: 0.01502238512573282
Position 24225: 0.012117477793581403
Position 22241: 0.011439336621711881
Position 24741: 0.011359861691459765
Position 11769: 0.01084412021922953
Position 24614: 0.008856757879509061
Position 25854: 0.008090272463226873
Position 11277: 0.005896143322365582
Position 26266: 0.005284811586547966
Position 18685: 0.004945584574039541
Position 15776: 0.004864246984663374
Position 22510: 0.004230468100655366
Position 3266: 0.003226503505344025
Position 1319: 0.0011028631896044091
Position 26964: 0.00033467366606482966
Position 17307: 0.00024788964889857327
Position 27029: 0.00012698883130052164
Position 26742: 0.00010287866138576072
Position 26900: 6.652229222315538e-05
Position 26695: 3.26230756329368e-05
