Gene = Ge-1
index = 1185
Annotated 5SS: [ 595  872 1535 1847 3481 3827 4124 4353 4936]
Annotated 3SS: [ 662 1133 1592 1903 3588 3882 4186 4412 5010]
SMsplice 5SS: [ 231  595  872 1535 1847 3481 3827 4124 4353 4936]
SMsplice 3SS: [ 313  662 1133 1592 1903 3588 3882 4186 4412 5010]
top_k =  100
Partition function (log Z): 31.261283924530034

Sorted 5' Splice Sites (High to Low Probability):
Position 1847: 0.9998396094078869
Position 872: 0.9964029660620771
Position 3481: 0.9940379033263187
Position 4124: 0.9894853020536518
Position 4353: 0.9873695885720366
Position 4936: 0.9838695634813797
Position 3827: 0.9828933358400869
Position 595: 0.9759212844003158
Position 231: 0.7153369555687795
Position 1535: 0.39065748268495054
Position 1508: 0.2032419513970576
Position 4616: 0.08791437367457705
Position 1257: 0.06505632989242477
Position 3923: 0.05995900744915586
Position 1283: 0.04733671974581339
Position 2877: 0.029014683805852835
Position 3934: 0.020462575277629697
Position 2663: 0.016783179067667173
Position 2703: 0.01071905360240035
Position 4958: 0.00953534602698205
Position 85: 0.008771449397093185
Position 1226: 0.00822502711515883
Position 1263: 0.007432445412259553
Position 2517: 0.007105997390519881
Position 4109: 0.006374461648221025
Position 4357: 0.00606593243565666
Position 2099: 0.004990516909577339
Position 599: 0.0037768856007677227
Position 4128: 0.003083236594990015
Position 4871: 0.0026703434416776644
Position 590: 0.002137322805076766
Position 858: 0.00202755299167044
Position 235: 0.0018874085841751795
Position 372: 0.001704214740938485
Position 2244: 0.0016110948799397228
Position 876: 0.0014120211148659968
Position 4337: 0.001244137622381044
Position 1384: 0.001072702424398141
Position 430: 0.0009261406170723299
Position 608: 0.0008749379690729715
Position 191: 0.0006772322084691127
Position 5331: 0.0004352832375145345
Position 237: 0.00037234071582718006
Position 5271: 0.0002613861909484454
Position 313: 0.0002598179363281219
Position 2913: 0.00021876439023067322
Position 331: 0.00020804361713837668
Position 246: 0.00016783820105499678
Position 2008: 0.00016522720245526603
Position 1038: 0.00014759618722004145
Position 4517: 0.00013669760570698538
Position 5179: 0.00012157122022075699
Position 2103: 0.00011687863985509076
Position 4071: 0.00010985948435721064
Position 176: 0.0001089287602699949
Position 216: 0.00010544735548413433
Position 4210: 8.949977064295843e-05
Position 4088: 6.780865467335397e-05
Position 165: 6.763187182501832e-05
Position 252: 6.369276468563983e-05
Position 46: 4.887412654124865e-05
Position 68: 4.231293707696485e-05
Position 243: 2.7610678122838273e-05
Position 444: 2.1024938982379468e-05
Position 1719: 1.1695063838517337e-05
Position 1851: 9.038547335108011e-06
