Gene = tai
index = 1906
Annotated 5SS: [  661 25036 67880 68486 72985 74492 74772 76401 76768 77123 77809 78935]
Annotated 3SS: [24836 67209 68323 72179 73043 74597 74827 76456 76833 77484 78607 78998]
SMsplice 5SS: [  661  2514  2869 25036 60962 67880 68486 72985 74492 74772 76152 76401
 76768 77123 77809 78935]
SMsplice 3SS: [ 1755  2652 24836 60750 67209 68323 72179 73043 74597 74827 76214 76470
 76833 77484 78607 78998]
top_k =  100
Partition function (log Z): -70.33265385752784

Sorted 5' Splice Sites (High to Low Probability):
Position 2869: 1.0000000000000395
Position 25036: 0.9999997245604202
Position 2514: 0.9750293065030525
Position 661: 0.39167204300471037
Position 1186: 0.16539335684349737
Position 9: 0.1488636194802418
Position 1376: 0.09500851102587296
Position 1164: 0.09172187877866603
Position 605: 0.028068966279516206
Position 710: 0.02723906458900336
Position 714: 0.02170573278103289
Position 419: 0.01015924045572005
Position 1432: 0.00637251514591707
Position 2386: 0.00611456971334286
Position 1132: 0.005501300682663322
Position 609: 0.004660885376349459
Position 252: 0.004232186234654501
Position 736: 0.004231852261947161
Position 5: 0.003024742163550037
Position 1260: 0.003006330944350825
Position 242: 0.002898943564083608
Position 840: 0.0026250584665993442
Position 718: 0.0021513710359218905
Position 278: 4.906973836772096e-05
Position 280: 4.6030170928886637e-05
Position 276: 4.601628829941506e-05
Position 274: 4.4379430176167755e-05
Position 256: 3.040681214765551e-05
Position 310: 2.2567989712719425e-05
Position 270: 2.0579212294700815e-05
Position 272: 1.969695831665309e-05
Position 262: 1.4814029927471941e-05
Position 216: 8.854107474141066e-06
Position 299: 4.0143516571229844e-06
Position 295: 3.815862824084659e-06
Position 301: 3.791739042151326e-06
Position 247: 2.433569684146662e-06
Position 31: 7.881099602210508e-07
Position 305: 7.330067989443031e-07
Position 183: 5.33291759081251e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 24836: 0.9999999999995879
Position 37156: 0.9999974105198807
Position 1755: 0.954060164989372
Position 2652: 0.47110184135819716
Position 2741: 0.20549943240781654
Position 2725: 0.18367125194874512
Position 2574: 0.09427565036703994
Position 2683: 0.03272282469786814
Position 986: 0.025128893060884398
Position 1517: 0.018766930529083705
Position 2185: 0.010232575010136549
Position 726: 0.0023302704741101216
Position 942: 0.0010914153042220346
Position 336: 0.0005021035485292439
Position 107: 0.00018370577567340847
Position 885: 0.00016126637760102976
Position 374: 0.00013927153514868497
Position 735: 0.00013240261563892284
Position 25376: 1.2591137776709003e-06
Position 26059: 1.0549267637380148e-06
Position 13095: 2.7731032549432765e-13
Position 12264: 6.923475870506511e-14
Position 11928: 5.303408932367017e-14
Position 10786: 1.2776860491944197e-14
Position 11067: 1.0105577320629035e-14
Position 8376: 4.0795258918415924e-16
Position 5776: 2.0268050808692062e-17
Position 5265: 1.2433593576151289e-17
Position 5583: 9.790516356991774e-18
Position 4815: 8.904774748389776e-18
Position 4767: 6.197057097307554e-18
Position 3447: 5.822658308529515e-18
Position 4247: 4.917508920633124e-18
Position 4357: 4.244403639372687e-18
Position 3090: 3.585797760308774e-18
Position 3945: 2.4574170175129863e-18
Position 3980: 2.398351419522876e-18
Position 3018: 1.7289352671436446e-18
Position 3803: 1.3194897829042772e-18
Position 3015: 1.0736090647115268e-18
Position 3516: 8.777239900217361e-19
Position 3283: 8.541965439320059e-19
Position 2977: 7.762169453028663e-19
Position 3211: 5.306480838522192e-19
Position 2980: 5.14922938005262e-19
