Gene = eIF2beta
index = 1683
Annotated 5SS: [143 746]
Annotated 3SS: [ 345 1053]
SMsplice 5SS: [241 746]
SMsplice 3SS: [ 345 1053]
top_k =  100
Partition function (log Z): -3.2846612413007374

Sorted 5' Splice Sites (High to Low Probability):
Position 746: 0.8132603494831023
Position 241: 0.31789133243913964
Position 235: 0.21598016923613103
Position 143: 0.204718601018158
Position 941: 0.15053188245004176
Position 245: 0.07524680005365349
Position 1406: 0.057074658352586446
Position 290: 0.045509433445213424
Position 166: 0.035152068467275394
Position 265: 0.019564296387699878
Position 751: 0.017256438317099894
Position 219: 0.013384768932748262
Position 213: 0.0124915649157514
Position 785: 0.0065025573426126335
Position 473: 0.005825545760713772
Position 912: 0.0018111200808704148
Position 249: 0.0017318160280629298
Position 1178: 0.0012323130882177244
Position 1200: 0.0010506398830560384
Position 170: 0.0009445066549414831
Position 1309: 0.0008828617067726793
Position 295: 0.0007500470463528165
Position 953: 0.00043304232783432107
Position 239: 0.00041638102006034104
Position 509: 0.00036387720427823156
Position 945: 0.0003500768842551744
Position 869: 0.0002454142041007722
Position 867: 0.00022019339721439447
Position 76: 0.0001948535012296547
Position 192: 0.00010828041310893885
Position 247: 8.504833051839289e-05
Position 229: 7.871272521929269e-05
Position 27: 6.282596173370421e-05
Position 263: 5.913558553201946e-05
Position 67: 3.989829742051981e-05
Position 1549: 2.637399339783747e-05
Position 1520: 2.4755790577466955e-05
Position 19: 1.8699132350621942e-05
Position 91: 1.52919815040551e-05
Position 38: 1.3840627843696869e-05
Position 3: 1.1338409200276367e-05
Position 147: 8.156517483267023e-06
Position 106: 6.637742156133398e-06
Position 43: 2.2119143148574756e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 1053: 0.9767183365735163
Position 345: 0.9281893795082732
Position 1478: 0.05940120213780527
Position 807: 0.011453961176996616
Position 1002: 0.005493869417675517
Position 372: 0.00486705664810851
Position 375: 0.0045628355771120295
Position 815: 0.002719064134304702
Position 867: 0.0022899010250149654
Position 844: 0.0011873343970585043
Position 1373: 0.0010987053810904085
Position 578: 0.0009038508397590316
Position 378: 0.0008386752358371124
Position 897: 0.00046946299567533084
Position 1451: 0.0004447838259629179
Position 975: 0.000342124604254227
Position 1364: 0.00021010427042853722
Position 1616: 0.00016337621650317348
Position 1454: 0.00010619354818617219
Position 381: 6.393209256183042e-05
Position 117: 2.9131133596100853e-05
Position 91: 7.44650277756496e-06
Position 76: 5.966014777138302e-06
Position 67: 4.561681445831137e-06
Position 98: 2.7378479284132056e-06
Position 271: 2.476413142342637e-06
Position 122: 1.682407031934853e-06
Position 384: 6.654447105262803e-07
