Gene = vtd
index = 1932
Annotated 5SS: [  345   712  3718 10050 10359 11171 19647]
Annotated 3SS: [  420  3593  9869 10102 10419 19484 21284]
SMsplice 5SS: [  345   712  3718 10050 10359 11171 19647 20557]
SMsplice 3SS: [  420  3593  9869 10102 10419 19484 20442 20613]
top_k =  100
Partition function (log Z): 2.0688974317845847

Sorted 5' Splice Sites (High to Low Probability):
Position 10359: 0.9999989003696351
Position 11171: 0.9996690908457777
Position 3718: 0.9991114321397053
Position 712: 0.9949817716950985
Position 345: 0.9936959041333243
Position 10050: 0.9921396362652867
Position 19647: 0.7338203782465189
Position 19922: 0.1376161129505361
Position 5002: 0.05081644982222031
Position 8202: 0.04889474232745226
Position 4617: 0.015175961904999001
Position 8229: 0.012203479400611473
Position 10647: 0.007127230172689406
Position 611: 0.005015877499567452
Position 367: 0.004838210473689935
Position 11072: 0.0016722132446251015
Position 10503: 0.0015211228512068589
Position 16279: 0.0014288972456377635
Position 4134: 0.0008977792075932152
Position 11076: 0.0008653751361774093
Position 10754: 0.0006429793866666651
Position 231: 0.0005287893093972477
Position 302: 0.0003750744145304329
Position 36: 0.00026310896646686413
Position 4570: 0.0002085986572166302
Position 180: 0.00016566618918978607
Position 10638: 9.939315403562573e-05
Position 4488: 9.458913585951914e-05
Position 271: 8.585155270170102e-05
Position 4420: 6.252610547988241e-05
Position 12735: 4.640050823404364e-05
Position 4148: 4.142287971486382e-05
Position 11777: 2.1696799836070907e-05
Position 12130: 1.977557895383276e-05
Position 140: 1.3943058278501259e-05
Position 10302: 3.3430007178139156e-07
Position 10191: 1.760053716898528e-07
Position 3722: 6.950729183691401e-08
Position 10559: 5.348596694459816e-08
Position 10215: 1.788071522833658e-08
Position 29: 1.177446265085525e-08
Position 273: 1.0651098874508822e-08
Position 391: 9.751920778144444e-09
Position 716: 8.795876063575323e-09
Position 276: 8.164398661167506e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 9869: 0.9999993961170096
Position 10419: 0.9999982344476912
Position 3593: 0.9999080159467026
Position 10102: 0.9921397448150172
Position 420: 0.9621619560526404
Position 19484: 0.826108116882629
Position 19727: 0.5052438198109747
Position 21284: 0.3987800696788779
Position 20004: 0.07335797088416998
Position 20062: 0.06425814206636621
Position 7635: 0.06109822172806374
Position 436: 0.026081886213231237
Position 4805: 0.02304055535944428
Position 4731: 0.017479767126166574
Position 4227: 0.012127491816909223
Position 4328: 0.006910951869102953
Position 4513: 0.0038857720277382175
Position 10876: 0.0036180461140097324
Position 15712: 0.00307528230015249
Position 520: 0.003045005184398426
Position 573: 0.0029682566811624167
Position 10707: 0.002957242075162694
Position 10697: 0.0026188589528327016
Position 11132: 0.0025375644029392154
Position 634: 0.002216772159378374
Position 4708: 0.001695548330627059
Position 4496: 0.0010921503626802193
Position 457: 0.0010163357331539702
Position 16346: 0.0007298439621471744
Position 16412: 0.0006990532834905884
Position 496: 0.0006674594265266555
Position 499: 0.000586405796075198
Position 558: 0.0005349371507580165
Position 454: 0.00023088946541978674
Position 292: 0.00019427136690169765
Position 11244: 0.00016048753618762307
Position 578: 0.00013214551079258267
Position 655: 0.00012800348853762687
Position 13918: 0.00010514913408456326
Position 13014: 0.00010205582563669211
Position 4632: 0.00010101422463553015
Position 12794: 8.81875398783562e-05
Position 13898: 3.695576987844031e-05
Position 3910: 3.091800537311309e-05
Position 3194: 2.723149070347333e-05
Position 3255: 2.537782742034768e-05
Position 4378: 2.2420908362205867e-05
Position 11841: 2.228583691274436e-05
Position 12037: 2.0794921303168922e-05
Position 12013: 1.622351287315519e-05
Position 3825: 1.4994235786381568e-05
Position 3855: 1.2765636794903242e-05
Position 782: 9.521694814085958e-06
Position 11647: 7.437094367119115e-06
Position 1000: 3.564818045221867e-06
Position 2885: 3.391058792624549e-06
Position 3791: 3.001278586009746e-06
Position 11492: 2.6156621807173724e-06
Position 1558: 2.6055681436695264e-06
Position 3164: 2.5157583664662777e-06
Position 4212: 2.4536001090806367e-06
Position 2731: 2.324781190072108e-06
Position 11431: 1.8334189903904356e-06
Position 10515: 1.6894377550548896e-06
Position 11286: 1.1599918891774513e-06
Position 3093: 1.1512830999659503e-06
Position 975: 1.088078436745286e-06
Position 1334: 1.0846149325997556e-06
Position 2027: 1.0643257347328375e-06
Position 10996: 7.836941510868609e-07
Position 10637: 6.332946967117687e-07
Position 10751: 8.190653404161257e-08
Position 11157: 2.397786329579239e-08
Position 2577: 2.2930089189158593e-09
Position 1359: 2.268785629893766e-09
Position 2150: 1.4732084501547614e-09
Position 2304: 1.3493872239889272e-09
Position 580: 1.0084445116006765e-09
Position 604: 4.4953587114825024e-10
Position 614: 3.5778858115112883e-10
Position 464: 2.3698765628979054e-10
Position 10557: 7.929004179705224e-11
Position 667: 5.486024181347898e-11
Position 80: 4.040098539146004e-11
