Gene = Mob2
index = 1282
Annotated 5SS: [ 9404 20456 35052 36654]
Annotated 3SS: [19398 34890 36556 36719]
SMsplice 5SS: [  340 35052 36654]
SMsplice 3SS: [34890 36556 36719]
top_k =  100
Partition function (log Z): -45.04648823141746

Sorted 5' Splice Sites (High to Low Probability):
Position 340: 0.9997714706319695
Position 710: 0.015250002504793561
Position 3962: 0.010601178451195988
Position 8115: 0.007731138735689575
Position 389: 7.01340872049923e-05
Position 369: 6.402903367834778e-05
Position 75: 3.069260125088056e-05
Position 219: 1.1316395198681785e-05
Position 1730: 1.0859734788733264e-05
Position 349: 9.509425598332825e-06
Position 174: 8.273511267061251e-06
Position 178: 7.8256020452238e-06
Position 166: 6.706735389630545e-06
Position 215: 6.555965062684008e-06
Position 162: 4.987224893933801e-06
Position 421: 4.837595241648422e-06
Position 1368: 3.063876376999802e-06
Position 1364: 2.481484038673377e-06
Position 156: 1.3636484766860624e-06
Position 344: 1.1741410404791834e-06
Position 170: 9.3511511284746e-07
Position 1344: 3.4636831716317135e-07
Position 1038: 3.364978616597106e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 12171: 0.8191061817662516
Position 8114: 0.0972003522785337
Position 9586: 0.047393632365787516
Position 8530: 0.01990786866643509
Position 586: 0.011934195742248332
Position 7178: 0.010771325914834087
Position 7714: 0.0068381190517250515
Position 3636: 0.005483915445678726
Position 3300: 0.00346084942804104
Position 6987: 0.002515615774683008
Position 5040: 0.002183717778690832
Position 419: 0.0018110350859602028
Position 617: 0.0015491014009676423
Position 3072: 0.0012407015303973479
Position 4207: 0.0005045567991218397
Position 4094: 0.00047520115446482664
Position 2942: 0.0004726432665521301
Position 4849: 0.0003957254527527873
Position 4500: 0.00018754339920042874
Position 4228: 9.28476555084714e-05
Position 1222: 2.3470695377809165e-05
Position 1798: 1.0859734788733259e-05
Position 1019: 8.513209148118827e-06
Position 1965: 5.986584109286213e-06
Position 1990: 5.450669526849144e-06
Position 1525: 5.3743980196080895e-06
Position 1428: 5.0021372686254254e-06
Position 840: 3.473948166522e-06
Position 1996: 3.259381576389176e-06
Position 1079: 6.839626763796849e-07
Position 682: 6.484883925459119e-07
Position 1562: 5.025920009324236e-07
Position 1431: 3.231262486526171e-07
Position 1575: 2.241974705961138e-07
Position 623: 6.509670515083488e-09
Position 393: 5.493203236844556e-09
Position 874: 9.373336003117108e-10
Position 387: 2.7782006736671465e-10
Position 142: 2.1779925226426032e-10
