Gene = da
index = 1663
Annotated 5SS: [423]
Annotated 3SS: [1943]
SMsplice 5SS: [423]
SMsplice 3SS: [1943]
top_k =  100
Partition function (log Z): -9.209831934101405

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.9427038776876859
Position 1752: 0.08500393226798988
Position 1783: 0.05602079897614444
Position 2402: 0.03328824557682528
Position 3307: 0.022991788097082026
Position 463: 0.014592455880150863
Position 852: 0.01328268185160244
Position 1585: 0.012861171035562976
Position 1143: 0.008638113685814474
Position 980: 0.006777526813202755
Position 588: 0.00668494964584169
Position 269: 0.006629498892002882
Position 629: 0.0035316895773698405
Position 2512: 0.0025254469271191217
Position 633: 0.002208523652054603
Position 1186: 0.0016457953171237277
Position 533: 0.0015285230450015057
Position 1494: 0.001199360148347157
Position 1266: 0.00107038311770551
Position 565: 0.0010363632231076528
Position 732: 0.000985642111687468
Position 310: 0.0008431772158870673
Position 1353: 0.0006945420576008034
Position 1138: 0.0006342187695371153
Position 174: 0.0006231267607353868
Position 1170: 0.0006220889915523691
Position 116: 0.0003279361670683813
Position 835: 0.0002827787240600175
Position 919: 0.00021322308334585164
Position 926: 0.00014863324999562645
Position 1080: 0.00014287547983079154
Position 148: 0.00010497251021135739
Position 82: 2.9674268211120713e-05
Position 159: 2.76831372377358e-05
Position 103: 1.3606631826431215e-05
Position 126: 1.1064382912482686e-05
Position 146: 7.399099719578663e-06
Position 264: 1.8999018752120256e-06
Position 756: 5.538241510941219e-07
Position 128: 3.4908668505971636e-07
Position 187: 2.3408562432632842e-07
Position 411: 1.265981257054663e-07
Position 443: 2.8775151507699384e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1943: 0.757581398798654
Position 4718: 0.19343028506316265
Position 1265: 0.15547102915136482
Position 1707: 0.043689770094218434
Position 4919: 0.03221298357878087
Position 475: 0.008759398925001393
Position 1907: 0.006509322619305337
Position 1079: 0.005952060011114618
Position 5061: 0.004860835465525553
Position 2566: 0.0042992464280662175
Position 2544: 0.0038538976321953714
Position 1584: 0.0030453443310249997
Position 2004: 0.0023236544533248023
Position 2524: 0.0014721663184643523
Position 1860: 0.0011385262150708398
Position 558: 0.0011351485146359763
Position 229: 0.0008608739849595304
Position 1911: 0.0005322498042162746
Position 1744: 0.0005177749135588475
Position 1448: 0.000401687589167531
Position 1269: 0.00035204818122466916
Position 732: 0.00035127023787087273
Position 184: 0.0002851721452723297
Position 1033: 0.000267078299448116
Position 1231: 0.0002399347885967143
Position 1113: 0.00022365500983988836
Position 965: 0.00010752519735019693
Position 668: 3.755399657389741e-05
Position 324: 2.5042685140220557e-05
