Gene = RanGAP
index = 1408
Annotated 5SS: [ 297 3327 4068 4640 4894]
Annotated 3SS: [2992 3385 4137 4716 4949]
SMsplice 5SS: [2478 3327 4068 4640 4894]
SMsplice 3SS: [2543 3385 4137 4716 4949]
top_k =  100
Partition function (log Z): 5.246954307942772

Sorted 5' Splice Sites (High to Low Probability):
Position 4640: 0.9991388235201802
Position 3327: 0.996541533088469
Position 4894: 0.9837118291704152
Position 4068: 0.9680192010725289
Position 2478: 0.5136523547626616
Position 289: 0.42477672963605806
Position 2482: 0.3432148089011337
Position 4380: 0.24890620787111148
Position 297: 0.2082663516963367
Position 2617: 0.17767153173576078
Position 444: 0.11253610414323034
Position 2685: 0.04178964679957967
Position 2694: 0.03986066690115337
Position 440: 0.03346060402777759
Position 853: 0.019002413499641234
Position 5266: 0.009789311167222193
Position 966: 0.006568204303732112
Position 293: 0.004068857231087501
Position 4197: 0.0038265984526626912
Position 5276: 0.0031440065074331753
Position 3749: 0.0026568286898665584
Position 3482: 0.0016615070423286094
Position 520: 0.001599429748069529
Position 5151: 0.0006469588869342259
Position 4672: 0.0004556585869705387
Position 5273: 0.00023976511058092996
Position 5219: 0.0001325052868474887
Position 4658: 8.006494232396429e-05
Position 5115: 4.77056502360555e-05
Position 270: 2.6510236821790238e-05
Position 5131: 2.5493682676104138e-05
Position 4582: 2.3555491075740006e-05
Position 5103: 2.176819817333997e-05
Position 42: 2.1567211072978278e-05
Position 266: 1.6900891717945175e-05
Position 247: 1.0613637087445709e-05
Position 114: 7.065140279801883e-06
Position 217: 5.395758662403191e-06
Position 95: 5.26977764769177e-06
Position 4888: 2.042241466703565e-06
Position 149: 1.4539091007334367e-06
Position 301: 1.2790148089424015e-06
Position 220: 1.0481762237246627e-06
Position 209: 5.920047292915433e-07
Position 255: 5.286805678988456e-07
Position 146: 5.6417427832517286e-08
Position 295: 2.6564345478901245e-08
Position 4881: 1.873202049051912e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 4716: 0.997979095009542
Position 4137: 0.990762395792121
Position 4949: 0.9799230916838749
Position 2543: 0.8692087381200443
Position 3385: 0.8616334942065972
Position 589: 0.3914759987539681
Position 2992: 0.2407397917880915
Position 4453: 0.2130158632012846
Position 3417: 0.11986118797071621
Position 341: 0.09950899604364628
Position 1043: 0.07710997532931566
Position 2684: 0.07710405981642307
Position 1733: 0.07139178343146227
Position 3249: 0.051906161138595856
Position 959: 0.029949607524805338
Position 4526: 0.027696935502576712
Position 5330: 0.014367191000696588
Position 2721: 0.01155143329258634
Position 4423: 0.007973196887116861
Position 4263: 0.0038265984526626912
Position 370: 0.0032116852949660656
Position 5028: 0.0026439763541842303
Position 5000: 0.001181662017860333
Position 4773: 0.0006495754547449141
Position 4748: 0.0005499906323223838
Position 5126: 0.0002188749279273642
Position 5147: 8.49500590636514e-05
Position 4798: 8.129545565384553e-05
Position 139: 1.6439335131162394e-05
Position 114: 6.980817921674148e-06
Position 187: 3.660098733704331e-06
Position 416: 2.691944783755606e-06
