Gene = ValRS-m
index = 1593
Annotated 5SS: [ 237 2059 2564 3253]
Annotated 3SS: [ 304 2113 2622 3312]
SMsplice 5SS: [ 237 2059 2564 3253]
SMsplice 3SS: [ 304 2113 2622 3312]
top_k =  100
Partition function (log Z): 3.758301045824223

Sorted 5' Splice Sites (High to Low Probability):
Position 237: 0.9998057788549654
Position 2059: 0.9969831859812239
Position 2564: 0.9413306444505738
Position 3253: 0.9381040800990138
Position 2860: 0.09793028398846616
Position 1405: 0.08530500004292367
Position 2724: 0.059806869552967774
Position 919: 0.018484613303341554
Position 969: 0.016284491538560472
Position 3229: 0.014615197519338648
Position 2851: 0.01173377645562501
Position 578: 0.008356784730299415
Position 2412: 0.008100385852356359
Position 988: 0.007894925026186321
Position 1461: 0.00770813384137882
Position 2333: 0.007586950211421614
Position 998: 0.003931231734385159
Position 592: 0.0027235688079017594
Position 556: 0.0018954915569643043
Position 901: 0.001352087657983831
Position 892: 0.0010910479524405387
Position 460: 0.0010749732814260174
Position 57: 0.0009828888921631397
Position 1132: 0.0009729932827935423
Position 2035: 0.0007749532632974256
Position 1016: 0.0007118227174317259
Position 547: 0.0006151904642754159
Position 26: 0.00027290387544575556
Position 168: 4.557492291264499e-05
Position 33: 2.7207854795776004e-05
Position 3435: 2.489837799910358e-05
Position 2568: 1.6925691396090494e-05
Position 952: 1.2394600914498185e-05
Position 2550: 9.390255366398466e-06
Position 80: 8.215887406469165e-06
Position 225: 7.246851919606601e-06
Position 241: 7.0502629820177e-06
Position 2063: 2.1868198947888337e-06
Position 162: 2.100437772749779e-06
Position 206: 1.679193539219663e-06
Position 208: 1.4959953131443852e-06
Position 251: 9.358744309563958e-07
Position 187: 2.4696330478061837e-07
Position 2968: 3.526347772127802e-09
Position 269: 2.0096714372070537e-10
Position 193: 1.327063050303861e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 304: 0.9987182375328519
Position 3312: 0.9556493640360958
Position 2113: 0.9244365961620487
Position 2622: 0.7368450652007745
Position 2644: 0.17203767850930402
Position 2919: 0.1409312450752151
Position 1532: 0.061238892189078756
Position 2168: 0.04951406036919825
Position 2776: 0.03760957457535186
Position 1049: 0.028560540928671576
Position 2482: 0.015297426831609227
Position 1816: 0.014817493057266913
Position 1869: 0.014442127438532758
Position 991: 0.009712600282248822
Position 2395: 0.007984399280316782
Position 2859: 0.007486354550351897
Position 2333: 0.00683753786183333
Position 1620: 0.006667717649034816
Position 1287: 0.006175873391885092
Position 965: 0.0060779190701571225
Position 624: 0.004389316825259009
Position 2799: 0.0036573179765984894
Position 2411: 0.0033373141863605616
Position 2961: 0.003206409375578874
Position 2757: 0.002762283883964418
Position 2654: 0.002524275516304446
Position 2699: 0.0020551829317851985
Position 2594: 0.0019310505343707216
Position 1491: 0.0019115467305190865
Position 1075: 0.0015600548151886804
Position 331: 0.0011154401545594309
Position 2286: 0.0008564618369191697
Position 1027: 0.0008125777218152333
Position 165: 0.000735677354095325
Position 2222: 0.0007262189491367864
Position 507: 0.0007241509458786217
Position 2366: 0.0007060041316926636
Position 3444: 0.0005235907464086708
Position 711: 0.00047732130805408106
Position 168: 0.0003064335990511577
Position 2176: 0.0002921804460185781
Position 525: 0.00022476165869677892
Position 77: 0.00021888512676053018
Position 670: 0.00016160864842493445
Position 534: 0.00011159989154760394
Position 225: 5.729786716199554e-05
Position 1131: 5.277241267831876e-05
Position 2606: 4.8380606238393004e-05
Position 1335: 3.47785539107766e-05
Position 3491: 2.489837799910358e-05
Position 102: 7.183049941157151e-06
Position 180: 2.6601039696613007e-06
Position 334: 5.278344199367428e-07
Position 199: 4.293618481827277e-07
Position 204: 2.9854822787565907e-07
Position 187: 2.1195314254530695e-07
Position 352: 8.287647757906674e-10
