Gene = geko
index = 1714
Annotated 5SS: [ 619 4302]
Annotated 3SS: [4099 5519]
SMsplice 5SS: [ 619 4302]
SMsplice 3SS: [4099 5519]
top_k =  100
Partition function (log Z): -1.7163856089196836

Sorted 5' Splice Sites (High to Low Probability):
Position 4302: 0.9972146506555648
Position 619: 0.9879863868324379
Position 5737: 0.069492403523978
Position 5266: 0.0549490656982727
Position 5022: 0.04637740557166033
Position 5695: 0.04554653825822115
Position 1721: 0.03840935746032973
Position 1989: 0.018600357102712923
Position 513: 0.010732532515010034
Position 1870: 0.009213113586279891
Position 4700: 0.008942421641344648
Position 5727: 0.008854028945531512
Position 289: 0.0077061092036545655
Position 4479: 0.0037235219386537784
Position 1006: 0.0027061522952526724
Position 5760: 0.0022787716169009632
Position 5032: 0.0022517168600786576
Position 5701: 0.0022400551677656116
Position 79: 0.0019972626849566063
Position 51: 0.0015278499526709096
Position 33: 0.0014247211079700462
Position 1145: 0.0011374489975223725
Position 62: 0.0009102955573866161
Position 5896: 0.0008891276555230082
Position 48: 0.0007755606367539904
Position 167: 0.0007362568934739333
Position 197: 0.00046890752836268587
Position 1552: 0.0003214077076701768
Position 90: 0.00030547226531414386
Position 96: 0.0002423037875375431
Position 1503: 0.00013885248489669373
Position 104: 0.00010866292576591943
Position 1071: 0.00010085782415361578
Position 112: 0.00010057335606605052
Position 767: 7.835453021472205e-05
Position 277: 7.108423700427966e-05
Position 128: 6.150037467081926e-05
Position 1104: 6.144704316179049e-05
Position 1125: 5.8436954850928774e-05
Position 936: 4.2606119851264796e-05
Position 191: 3.463133730832714e-05
Position 1154: 2.2116726563539953e-05
Position 171: 1.6233693850838223e-05
Position 68: 1.2558506765672295e-05
Position 4367: 1.2504571185589684e-05
Position 839: 1.6723346081376774e-06
Position 954: 4.404998380811152e-07
Position 350: 2.169703354445499e-07
Position 581: 2.150634323867354e-07
Position 745: 3.7184741792138913e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 5519: 0.9598390034830784
Position 4099: 0.8957044392339317
Position 5818: 0.12689172259854756
Position 4126: 0.07231715898053707
Position 4918: 0.039322575217046095
Position 4436: 0.03063463731282467
Position 1061: 0.028430960034840455
Position 4123: 0.018196450692985432
Position 1614: 0.012417535554777747
Position 5466: 0.011970580002254183
Position 5485: 0.011693085558349513
Position 4946: 0.011548849479563214
Position 377: 0.011417207748694733
Position 4515: 0.011383832842660107
Position 4569: 0.010847177008027406
Position 1205: 0.009533717058007776
Position 1400: 0.009480204163367686
Position 4546: 0.008581466246427926
Position 5021: 0.00835891457256063
Position 4566: 0.0076865731327754915
Position 1648: 0.0054222004806565634
Position 3858: 0.004915231105972647
Position 112: 0.004055973351513694
Position 5945: 0.002664122046605558
Position 3307: 0.002160593406864046
Position 1359: 0.0019401536465864378
Position 3864: 0.0018018759355579426
Position 3938: 0.0013784013397854541
Position 4799: 0.0012246343484845776
Position 5322: 0.0011852039077326869
Position 912: 0.0011193730825064356
Position 350: 0.0009699161373794557
Position 5916: 0.000840517644980478
Position 1415: 0.0007792757673902719
Position 3375: 0.000538233227640716
Position 889: 0.0005272880350434881
Position 5851: 0.0005069872758702327
Position 2267: 0.00035390215063084955
Position 953: 4.7262209087358066e-05
Position 2927: 2.5966983357670708e-05
Position 4349: 2.3954975778612287e-05
Position 3090: 2.3133571557875305e-05
Position 2659: 2.260416705501458e-05
Position 5133: 2.0817031136959883e-05
Position 842: 1.696052151793559e-05
Position 4359: 1.374761941755647e-05
Position 2209: 1.179274736338557e-05
Position 202: 9.495903143651497e-06
Position 4384: 9.377353954827035e-06
Position 288: 8.800978195826324e-06
Position 2455: 5.2607567745259446e-06
Position 517: 1.82023264082285e-06
Position 275: 1.4177631663063998e-06
Position 175: 1.3319358434467832e-06
Position 570: 3.1005516110104916e-07
Position 308: 1.4430417827720543e-07
