Gene = NUCB1
index = 1307
Annotated 5SS: [388]
Annotated 3SS: [2726]
SMsplice 5SS: [388]
SMsplice 3SS: [2726]
top_k =  100
Partition function (log Z): -4.728341458897908

Sorted 5' Splice Sites (High to Low Probability):
Position 388: 0.9910231121313622
Position 2601: 0.18221939359718795
Position 1418: 0.022937383447010334
Position 350: 0.006656871834432351
Position 592: 0.005921937551431516
Position 1308: 0.0035827601355911086
Position 2001: 0.0035430921843068175
Position 1585: 0.0033644684353094888
Position 613: 0.0026097740892151084
Position 644: 0.0024471602541898756
Position 1189: 0.0024162299036958133
Position 392: 0.0023186715180326415
Position 1332: 0.001993613898785643
Position 1883: 0.0017767768710685097
Position 1960: 0.0017209377673285478
Position 11: 0.0016310516362619248
Position 686: 0.0014152246327702128
Position 1855: 0.0013569179966179718
Position 606: 0.0013387369512295822
Position 1255: 0.00116730033584921
Position 641: 0.0008626916696013101
Position 756: 0.0006142380884831906
Position 650: 0.0005581604315381773
Position 1392: 0.0005480385735440975
Position 36: 0.00044526311837602507
Position 631: 0.00039879619469085424
Position 148: 0.0003102913187600759
Position 16: 0.0003038838682711408
Position 109: 0.00015382124065592035
Position 6: 5.0669827054257306e-05
Position 116: 3.647412070884465e-05
Position 157: 8.155471472345898e-06
Position 68: 3.290885077172076e-06
Position 85: 2.362497112752592e-06
Position 316: 8.757269313065624e-07
Position 294: 3.723930463048365e-07
Position 418: 5.29562684728727e-08
Position 60: 2.7122433595889434e-08
Position 345: 2.059567151405237e-08
Position 494: 5.630914406106572e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2726: 0.9530261731597346
Position 479: 0.09674938461648692
Position 2462: 0.08386311712442901
Position 2389: 0.0653618045142309
Position 2357: 0.017108877575397995
Position 954: 0.009817654146135852
Position 1161: 0.003857985810045925
Position 566: 0.0027316547462592493
Position 440: 0.0018876857694407863
Position 1215: 0.001791784989180949
Position 4420: 0.0015199992279679327
Position 73: 0.0014711438836740548
Position 1142: 0.001363383035381254
Position 1336: 0.0013065678337211189
Position 1193: 0.000987582402070661
Position 85: 0.000910875763593674
Position 222: 0.0005601490731488367
Position 1908: 0.00044804905565361096
Position 604: 0.0002837129125702728
Position 661: 0.0002293538771037043
Position 879: 9.626443654311832e-05
Position 1417: 8.887472724440947e-05
Position 1458: 7.960340701300559e-05
Position 1167: 7.611827366850595e-05
Position 671: 6.436765881521227e-05
Position 531: 2.740427123349471e-05
Position 627: 2.622943911637434e-05
Position 142: 1.5857008547888607e-06
Position 109: 7.912883098904457e-07
Position 243: 2.0115624170910658e-07
Position 126: 1.7519794806805796e-07
Position 153: 1.7389962855704893e-07
Position 228: 7.787553387343953e-08
Position 231: 4.7268673870282985e-08
Position 357: 4.354797665547889e-08
Position 354: 3.611979143430633e-09
