Gene = mRpS31
index = 1780
Annotated 5SS: [135 655]
Annotated 3SS: [198 720]
SMsplice 5SS: [135 655]
SMsplice 3SS: [198 720]
top_k =  100
Partition function (log Z): -1.1395288336335196

Sorted 5' Splice Sites (High to Low Probability):
Position 655: 0.9852893856065074
Position 135: 0.9517327399131787
Position 659: 0.007966461416857534
Position 1344: 0.005887522990413329
Position 927: 0.0025545758508066273
Position 633: 0.002229918781011369
Position 790: 0.002004615785524131
Position 10: 0.0009658998970922619
Position 57: 0.0004708805461654561
Position 106: 0.0004622469468703955
Position 907: 0.000402979021453473
Position 33: 0.0003973808942687836
Position 69: 0.00036761252899545564
Position 510: 0.00027390392450199404
Position 990: 0.00024384513644132408
Position 1073: 5.8710254749077145e-05
Position 411: 4.934844708791392e-05
Position 355: 3.5559833023030726e-05
Position 99: 3.180029829711062e-05
Position 657: 3.158132519446127e-05
Position 113: 3.0204820551478995e-05
Position 36: 2.9057164815727194e-05
Position 198: 2.2037533897423524e-05
Position 146: 2.10785194303146e-05
Position 211: 7.5112858675171035e-06
Position 535: 6.050612297865106e-06
Position 227: 3.2316393591339602e-06
Position 899: 1.8781732577385293e-07
Position 467: 1.5947381693600886e-08
Position 175: 3.290458112239966e-09
Position 614: 1.5718109537173715e-09
Position 236: 1.2474346600657897e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 720: 0.9900139166512145
Position 198: 0.8685352181165792
Position 256: 0.08496134735414108
Position 1403: 0.006125794499762475
Position 742: 0.004571900533041898
Position 985: 0.003482843088438133
Position 937: 0.001029529359855466
Position 69: 0.0008135014816707992
Position 760: 0.0006095700201371092
Position 757: 0.0002823842630597331
Position 1294: 0.00024759470300431076
Position 1102: 0.00022313691700083342
Position 587: 0.00013747118575953667
Position 897: 0.00010099857665326603
Position 1252: 7.100295456375264e-05
Position 946: 6.356692018885257e-05
Position 423: 5.785648554631288e-05
Position 168: 5.224548383081824e-05
Position 298: 5.19830311302911e-05
Position 370: 4.522065224998079e-05
Position 570: 3.7459465853826206e-05
Position 584: 2.8702033517030274e-05
Position 484: 1.3814657925535655e-05
Position 310: 8.013007856825904e-06
Position 313: 3.1901040804477845e-06
Position 84: 2.8734310652717585e-06
Position 307: 2.7896411072128984e-06
Position 120: 1.3828366441057183e-06
Position 113: 1.038197798532526e-06
Position 122: 3.949205474830533e-09
