Gene = ndl
index = 1815
Annotated 5SS: [ 287  853 2721 3852 4405 4794 6134 6366 6535 7586 8121 8468 8639 8845]
Annotated 3SS: [ 708  908 2781 3912 4459 4854 6195 6420 6600 7650 8175 8530 8700 8899]
SMsplice 5SS: [ 287  853 2366 2721 3852 4405 4794 6134 6366 6535 7586 8121 8484 8639
 8845]
SMsplice 3SS: [ 708  908 2552 2781 3912 4459 5868 6195 6420 6600 7650 8175 8530 8700
 8899]
top_k =  100
Partition function (log Z): 24.140692781261944

Sorted 5' Splice Sites (High to Low Probability):
Position 7586: 0.9995787531193908
Position 853: 0.9989131407614975
Position 8639: 0.9966597028615973
Position 4405: 0.9890059639073966
Position 6535: 0.9854685693285555
Position 2721: 0.9693509165955727
Position 4794: 0.9269739938217858
Position 6366: 0.8136589383830364
Position 8121: 0.7037667684498741
Position 8845: 0.700006224199978
Position 8484: 0.6865902686009381
Position 287: 0.5712315534129845
Position 2366: 0.4937807720591234
Position 3852: 0.44087074952348004
Position 995: 0.31019244148908826
Position 8468: 0.3004028008047613
Position 3855: 0.24164519382825575
Position 7823: 0.23123325324523109
Position 5197: 0.22776588045640153
Position 5577: 0.18504340511899142
Position 604: 0.1680013837065886
Position 552: 0.12068120903233082
Position 8835: 0.1096351040125655
Position 2860: 0.08558881242592684
Position 5298: 0.08160574560273594
Position 8980: 0.06781952665663879
Position 9346: 0.05525350643196783
Position 6995: 0.04724436508501733
Position 535: 0.04049434487643957
Position 3824: 0.02183462750016327
Position 4608: 0.011684893240365504
Position 4757: 0.00994765227403945
Position 6759: 0.009556122366599005
Position 5265: 0.009309992683720092
Position 4060: 0.00899892701144454
Position 8073: 0.006299611003417039
Position 6894: 0.004925886236876751
Position 28: 0.004821529729869528
Position 9003: 0.004146494803819666
Position 8083: 0.0039150701723123715
Position 401: 0.003713146282436882
Position 8093: 0.0037074947979255325
Position 608: 0.0034593113593306825
Position 197: 0.0028728100635488562
Position 4981: 0.0026767728632073264
Position 6547: 0.002511101238001323
Position 7859: 0.0021890613455227454
Position 1478: 0.00212093269593478
Position 2904: 0.002007512772137591
Position 8635: 0.0019987160441384895
Position 1419: 0.0019039323989178255
Position 1448: 0.0018947551817688594
Position 4252: 0.0016472728133403447
Position 1581: 0.0015270779328532386
Position 523: 0.0014299476754520242
Position 1212: 0.0013612217071494925
Position 3088: 0.0010706357386684742
Position 1256: 0.0006456229635918571
Position 8128: 0.0006135849423884387
Position 857: 0.0005907769254698627
Position 31: 0.0005614501684672727
Position 104: 0.000532355608687778
Position 497: 0.0005067616467416119
Position 233: 0.0005002153132070272
Position 153: 0.00046992329654881363
Position 8776: 0.00037153738931395116
Position 2163: 0.0003384610779833665
Position 56: 0.00024921926378255733
Position 2361: 0.0002272486623424448
Position 418: 0.00021489596411521387
Position 2947: 0.00020211016729432588
Position 615: 0.00019189733167814042
Position 98: 0.00014520647323748153
Position 663: 0.00013846208988282013
Position 840: 0.0001259160568116552
Position 525: 0.00011436075949521909
Position 114: 0.00011167352979365441
Position 7985: 9.928496824619366e-05
Position 478: 9.39476279042196e-05
Position 425: 7.904910451117594e-05
Position 8643: 7.723739394141477e-05
Position 19: 6.961082839660407e-05
Position 291: 5.931393485313305e-05
Position 293: 5.894763224321096e-05
Position 837: 4.485449641078022e-05
Position 7225: 2.6233492608452735e-05
Position 8605: 2.172101272321252e-05
Position 2878: 1.6180589374281087e-05
Position 822: 5.665178586665507e-06
Position 7359: 5.038912388641017e-06
Position 1097: 5.028820738089836e-06
Position 1472: 5.027697184334457e-06
Position 7176: 4.990616487608249e-06
Position 1147: 4.621000771090923e-06
Position 1787: 3.7399429187088603e-06
Position 2111: 2.5791821221033287e-06
Position 861: 1.788240284986395e-06
Position 881: 1.3102563382353417e-06
Position 322: 5.492770193069806e-07
Position 88: 3.4709824731447276e-08
