Gene = anchor
index = 1609
Annotated 5SS: [ 670 4574 4809 5201 5429 5731 5981 6195 6548 6976 7411 7592]
Annotated 3SS: [4283 4668 4868 5262 5490 5788 6040 6454 6602 7035 7465 7960]
SMsplice 5SS: [ 670 4574 4809 5201 5429 5731 5981 6195 6548 6976 7411 7592]
SMsplice 3SS: [4283 4668 4868 5262 5490 5788 6040 6454 6602 7035 7465 7960]
top_k =  100
Partition function (log Z): 44.00032339757186

Sorted 5' Splice Sites (High to Low Probability):
Position 4574: 0.9992762162993816
Position 5731: 0.9987116203206471
Position 7411: 0.9949342425693398
Position 6976: 0.9946388420910915
Position 5981: 0.9944320476419155
Position 670: 0.9821592555401661
Position 5201: 0.9807253169029267
Position 5429: 0.9629821505201793
Position 4809: 0.9627923801021476
Position 6548: 0.9573310778856579
Position 7592: 0.7931807183553159
Position 6195: 0.5552374149989296
Position 7783: 0.38343119896969446
Position 3164: 0.27123685977483847
Position 7787: 0.05914400399773205
Position 6304: 0.044446337670547696
Position 7624: 0.042676285884077785
Position 2485: 0.040593943209590755
Position 6524: 0.03618629522813439
Position 5420: 0.03334896556528621
Position 3229: 0.02809611783416153
Position 3849: 0.027951363875955485
Position 4806: 0.0263854134142505
Position 3114: 0.026153268109947003
Position 8361: 0.024839549508223667
Position 7661: 0.02166780539516232
Position 818: 0.01778911421160185
Position 6299: 0.010992100041138661
Position 4813: 0.008694869921686482
Position 5130: 0.007374325685532267
Position 5134: 0.006306956698337822
Position 2840: 0.005927404837306733
Position 5065: 0.0058304401506435646
Position 7723: 0.005185404858552468
Position 8025: 0.004957465427828689
Position 7666: 0.00494085650922747
Position 5991: 0.004716376873236924
Position 4939: 0.0038283052048574424
Position 7828: 0.0032432175241080413
Position 5158: 0.002888232786228458
Position 7543: 0.002419851841904088
Position 6167: 0.002086047616142693
Position 7228: 0.0018696047777121277
Position 7405: 0.001831989884053771
Position 5193: 0.0018301261497144963
Position 4946: 0.0014779840935271748
Position 7332: 0.0014748010394540082
Position 2530: 0.0013968608237799648
Position 5407: 0.0013872929919335228
Position 3237: 0.0013388667256134985
Position 7236: 0.0011248374871826261
Position 6388: 0.0010870589128863597
Position 6310: 0.00100586631509594
Position 5690: 0.0008179476770509354
Position 5444: 0.0007520934359718062
Position 6139: 0.00073073991953786
Position 5719: 0.0002839169904472876
Position 4755: 0.00026213231111656745
Position 4956: 0.0002546187704221274
Position 6753: 0.00022521530198133294
Position 5294: 0.00014881963492320295
Position 5851: 0.00011341025440987973
Position 4815: 7.090460763899625e-05
Position 6957: 6.0192070693234e-05
Position 5807: 5.702510437757698e-05
Position 5907: 5.174956803908546e-05
Position 771: 5.1630248241243695e-05
Position 5950: 3.851061664625325e-05
Position 5119: 3.764707317951028e-05
Position 7385: 3.3233289637493234e-05
Position 5860: 3.296966124565023e-05
Position 5957: 3.041879581716606e-05
Position 6208: 2.8627827597399874e-05
Position 5491: 1.9229604472096927e-05
Position 5834: 1.4806673920568929e-05
Position 5841: 1.3929718603690367e-05
Position 5895: 1.367153287370114e-05
Position 6356: 1.2792256782337613e-05
Position 4759: 1.17388160669139e-06
Position 6184: 9.073914866861207e-07
Position 6845: 5.423002994953926e-07
Position 5044: 3.560376280035303e-07
Position 4764: 2.673071089175338e-07
Position 6068: 7.964617043594405e-08
Position 6924: 5.6501661578377945e-08
Position 6552: 4.418104581543449e-08
Position 6507: 1.1689854015680764e-08
Position 4715: 8.778903193913747e-09
Position 7506: 5.43454013257126e-09
Position 7675: 5.07972894502152e-09
Position 5393: 4.26346571694451e-09
Position 4709: 2.9412095706619368e-09
Position 5714: 2.759245918993924e-09
Position 5671: 1.7698937338608252e-09
Position 5664: 1.758179618342433e-09
Position 4852: 1.5833899018968743e-09
