Gene = trbl
index = 1918
Annotated 5SS: [1184]
Annotated 3SS: [4133]
SMsplice 5SS: [1184]
SMsplice 3SS: [4133]
top_k =  100
Partition function (log Z): -6.449653715927634

Sorted 5' Splice Sites (High to Low Probability):
Position 1184: 0.9898290102055424
Position 2025: 0.49611729579576686
Position 4031: 0.22523010472002208
Position 4045: 0.13744502242849857
Position 4315: 0.03701779619654123
Position 2893: 0.012194743681452035
Position 260: 0.010799097354672356
Position 2021: 0.007356165638000853
Position 2074: 0.006464907101229949
Position 2990: 0.005904334551428532
Position 133: 0.005398445672973368
Position 58: 0.005267069137603322
Position 4941: 0.005116827262916965
Position 2903: 0.004397998308673996
Position 1544: 0.0036188298905867637
Position 1201: 0.003602254820449657
Position 2701: 0.0035147378760507957
Position 1548: 0.003208593332911922
Position 1564: 0.0026020194214170936
Position 338: 0.0024303115539287116
Position 3213: 0.0022482590840635845
Position 1572: 0.0020675025249447983
Position 3406: 0.0018497464068811084
Position 3410: 0.0016668462764322155
Position 2656: 0.001583719116580115
Position 2559: 0.001530199205703136
Position 97: 0.0008099072571881681
Position 325: 0.0004790414531478482
Position 136: 0.0004656408933937189
Position 227: 0.0004370120089403543
Position 513: 0.0003919882134632933
Position 161: 0.00029407475979246773
Position 1113: 0.0001410592418382234
Position 364: 7.500122054504975e-05
Position 139: 6.078684254512569e-05
Position 299: 5.3097456643326e-05
Position 2642: 3.8101370265055426e-05
Position 35: 3.649102258253161e-05
Position 2192: 3.009243168954893e-05
Position 2964: 2.9517799355050656e-05
Position 2603: 2.9268471767552034e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 4133: 0.942340222017814
Position 1805: 0.6127130443018038
Position 3230: 0.316368062013812
Position 1778: 0.03107063136712102
Position 4528: 0.026343068986332485
Position 860: 0.012917017042501448
Position 4386: 0.01067472721020878
Position 5008: 0.005116827262916965
Position 1499: 0.004278888741379167
Position 432: 0.003327731228329822
Position 222: 0.0030362270401428594
Position 4146: 0.0029350544440497734
Position 839: 0.0018174632916575111
Position 1284: 0.001651372022818985
Position 539: 0.001343884311752629
Position 1397: 0.0010692932964938917
Position 1476: 0.0008750512096417452
Position 2209: 0.0007846696925454807
Position 481: 0.0007698632771791009
Position 986: 0.0006457822256298122
Position 478: 0.0004754358967645967
Position 2423: 0.00028679664260812765
Position 2817: 0.0002525094326446431
Position 950: 0.0001912544143098931
Position 2160: 0.0001806301353753438
Position 1734: 0.00013218627712446014
Position 379: 5.763714447945976e-05
Position 642: 5.6538788257929524e-05
Position 330: 4.283582784265083e-05
Position 441: 4.0505069513838546e-05
Position 396: 2.040509141465813e-05
Position 101: 1.673585551830546e-05
Position 1726: 5.66448442529072e-07
