Gene = REPTOR-BP
index = 1399
Annotated 5SS: [140 509 761]
Annotated 3SS: [423 638 821]
SMsplice 5SS: [509 765]
SMsplice 3SS: [638 821]
top_k =  100
Partition function (log Z): 6.0041202254322625

Sorted 5' Splice Sites (High to Low Probability):
Position 509: 0.9940843349473178
Position 765: 0.91014058756852
Position 961: 0.12605508127855136
Position 969: 0.06033928006432717
Position 761: 0.04790429893642122
Position 140: 0.039174893269973324
Position 744: 0.031051688481142144
Position 224: 0.010607085715164477
Position 210: 0.006012167143181276
Position 551: 0.00425726328439851
Position 731: 0.003779649376408815
Position 137: 0.0025587989587726946
Position 258: 0.001368836099581506
Position 169: 0.0005207645853707946
Position 734: 0.00034654012631177766
Position 228: 0.00028541744068328294
Position 266: 0.0002073548399196639
Position 878: 0.00019169453499903545
Position 278: 0.0001467222706230812
Position 324: 0.00010476607607913833
Position 566: 8.965567398336732e-05
Position 58: 7.221481345819166e-05
Position 115: 4.953800983355455e-05
Position 177: 4.93676281133408e-05
Position 166: 4.671570048246818e-05
Position 1010: 3.6320646059825414e-05
Position 197: 3.096336795879224e-05
Position 376: 2.5710919806213494e-05
Position 64: 2.5659650086513375e-05
Position 710: 2.1254421053373804e-05
Position 574: 1.7146996819474913e-05
Position 77: 1.669097602156268e-05
Position 20: 8.107033760394056e-06
Position 264: 7.511898029383985e-06
Position 842: 6.797233946362045e-06
Position 688: 1.0109470713027722e-06
Position 786: 7.335886831348937e-07
Position 474: 6.443342501733838e-07
Position 222: 1.274891032800806e-07
Position 694: 9.56192898249234e-08
Position 61: 8.254925335566064e-09
Position 50: 7.269979101616999e-09
Position 10: 1.8663702934521943e-09
Position 3: 1.549081068614133e-10
Position 654: 7.978575250039199e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 638: 0.9996977466341842
Position 821: 0.9869260274605346
Position 1035: 0.17152848746103663
Position 426: 0.04269899201552201
Position 1059: 0.015132610372961585
Position 423: 0.009143685933357298
Position 842: 0.005811441473757652
Position 210: 0.004896195819053474
Position 298: 0.001656365889198616
Position 324: 0.0004804323297110268
Position 358: 0.00040955814938270344
Position 316: 0.0003701886835232186
Position 566: 0.00019562360024812255
Position 1068: 0.0001667966227079786
Position 1098: 0.00016630917543624136
Position 933: 0.00010445954314185893
Position 645: 6.819303021258415e-05
Position 1079: 5.52959677342578e-05
Position 246: 4.04313109430488e-05
Position 369: 2.6347437321642546e-05
Position 463: 2.1448569506563377e-05
Position 214: 1.3020208384347969e-05
Position 648: 1.1783281398747725e-05
Position 887: 7.946851059992958e-06
Position 1001: 5.575491751036918e-06
Position 435: 5.453866266406327e-06
Position 574: 2.193547313687976e-06
Position 878: 5.489788635818245e-07
Position 682: 3.497873068901646e-07
