Gene = E(z)
index = 1143
Annotated 5SS: [ 491 1285 1507 1705 2135 2383 3015]
Annotated 3SS: [ 552 1345 1689 2036 2192 2444 3082]
SMsplice 5SS: [  89  491 1285 1507 2135 2383 3015]
SMsplice 3SS: [ 153  552 1345 2036 2192 2444 3082]
top_k =  100
Partition function (log Z): 12.82035539069625

Sorted 5' Splice Sites (High to Low Probability):
Position 2135: 0.9996566347740294
Position 89: 0.9884620291287765
Position 1507: 0.9805089180953678
Position 3015: 0.9548149138379598
Position 1285: 0.9448813692248684
Position 491: 0.9089819726973696
Position 2383: 0.7191009086567235
Position 2697: 0.06271798795150531
Position 1986: 0.045513054235238666
Position 1938: 0.038653081710454174
Position 1705: 0.02279386712915494
Position 2343: 0.020980804732860837
Position 984: 0.017494757932176103
Position 2995: 0.01274680270631814
Position 1305: 0.012459327703172821
Position 656: 0.011606924149065872
Position 1289: 0.011539154665590374
Position 2394: 0.008868440284782762
Position 3220: 0.007874491392635217
Position 695: 0.007386342108637944
Position 2287: 0.007054941040404378
Position 1046: 0.006659946844518263
Position 1848: 0.0041483824781032835
Position 2272: 0.0036439825485490166
Position 3231: 0.0036155776222688914
Position 70: 0.0017845579628275386
Position 1831: 0.0015330339089872954
Position 878: 0.0009008952841029436
Position 3271: 0.0005916163360335401
Position 1859: 0.00040198492507297545
Position 2993: 0.0003954190878557866
Position 599: 0.00028908702579408
Position 1068: 0.0002829899664685661
Position 93: 0.000271018450902293
Position 684: 0.00026275858933530244
Position 788: 0.00019347896076425412
Position 1540: 0.00018197387153334477
Position 73: 0.00014134118024304904
Position 1428: 0.00012117903987282931
Position 2128: 7.469441557938776e-05
Position 60: 7.243389759667928e-05
Position 106: 6.582693887717836e-05
Position 2473: 4.8997360489212325e-05
Position 2291: 1.8416331374185864e-05
Position 2139: 1.5252271237046474e-05
Position 201: 1.4214008925704275e-05
Position 509: 1.0040999880105684e-05
Position 2387: 8.58854767822954e-06
Position 22: 7.027179975531397e-06
Position 333: 6.185100960965548e-07
Position 2676: 5.056203797991427e-07
Position 2584: 4.392381034424232e-07
Position 2522: 2.742316515938898e-07
Position 476: 1.6818038987388746e-07
Position 42: 2.0170245929077826e-12
Position 19: 7.686268136991101e-13
Position 153: 4.521268832786722e-14
Position 215: 4.44405075916578e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 2192: 0.9991608947402201
Position 3082: 0.9861684679210494
Position 1345: 0.9719748061254301
Position 2036: 0.9406398702112665
Position 552: 0.8750585395691298
Position 2444: 0.7500011388422667
Position 153: 0.6773629456118476
Position 257: 0.2824821270277205
Position 1689: 0.13870602055890294
Position 1084: 0.02901705786876413
Position 2800: 0.025167946578957063
Position 2915: 0.025062153757430896
Position 201: 0.01694560888920068
Position 1370: 0.012976367687209302
Position 3345: 0.011963638246750065
Position 1101: 0.01037130149710986
Position 1231: 0.0087042925203867
Position 1978: 0.005277025691218647
Position 1703: 0.004824382033128817
Position 577: 0.004239288866569103
Position 957: 0.0035891049601766405
Position 760: 0.0035241890127560797
Position 2068: 0.0033439874099507098
Position 363: 0.0030050139534500983
Position 242: 0.002920831450869103
Position 1968: 0.002882589711272453
Position 353: 0.002602533848950511
Position 2835: 0.0021247621640399857
Position 2821: 0.0021033648253357576
Position 376: 0.0019946260778781707
Position 1721: 0.0017090112484274024
Position 2071: 0.0011066719461618553
Position 433: 0.0008567590353105252
Position 384: 0.00042919514622487547
Position 2045: 0.0003347322723538442
Position 311: 0.0002992197597794236
Position 2112: 0.00020545407461519764
Position 2350: 0.00017522666330300994
Position 2522: 0.00012858848065568817
Position 3431: 0.00011804710418758017
Position 320: 6.912257516115923e-05
Position 2533: 5.8035517408504383e-05
Position 2486: 5.0096795673633123e-05
Position 437: 2.9181558722926798e-05
Position 294: 2.4923220627743653e-05
Position 395: 2.3467166431910846e-05
Position 279: 2.1279734006808978e-05
Position 2581: 1.9556017145235895e-05
