Gene = Df31
index = 1131
Annotated 5SS: [ 266 2091]
Annotated 3SS: [1722 2174]
SMsplice 5SS: [ 266 2091]
SMsplice 3SS: [1722 2174]
top_k =  100
Partition function (log Z): -3.9190076582409064

Sorted 5' Splice Sites (High to Low Probability):
Position 2091: 0.975791434635587
Position 266: 0.8442622639998714
Position 2361: 0.11074809554840642
Position 3528: 0.07279143887839594
Position 217: 0.03391915845346907
Position 1118: 0.024190603689164678
Position 2079: 0.01972393150265899
Position 48: 0.013971924871943877
Position 3256: 0.008465230022779656
Position 716: 0.008383851707586586
Position 3050: 0.006558345505388725
Position 230: 0.005806537335153651
Position 3343: 0.005578133675728853
Position 560: 0.0034986467934269975
Position 558: 0.0032436945252557257
Position 1009: 0.0018938565467162037
Position 3137: 0.0013055016681769724
Position 2833: 0.0012385445218798313
Position 2294: 0.0009404981432410032
Position 988: 0.0007365601074255791
Position 813: 0.0004934697212599811
Position 296: 0.00012730264533883064
Position 2873: 8.647028367114219e-05
Position 562: 5.504418462729e-05
Position 645: 5.437646848306168e-05
Position 637: 5.0138963669342485e-05
Position 1914: 4.0504152926853876e-05
Position 326: 7.115091502186203e-06
Position 564: 1.9263571780240043e-06
Position 595: 1.714962243159413e-06
Position 641: 5.823140037625535e-07
Position 2321: 1.3040788543874008e-07
Position 165: 5.892395105811575e-09
Position 397: 4.543551643094999e-09
Position 309: 3.170807549506664e-09
Position 270: 7.259675208966731e-10
Position 191: 4.392089444618398e-10
Position 208: 2.1745238139994473e-10
Position 395: 2.0398130460803253e-10
Position 354: 1.2126330898054615e-10
Position 30: 1.0622576710616632e-10
Position 24: 1.0235934304258093e-10
Position 300: 8.303178377271486e-11
Position 38: 2.1737236062061544e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2174: 0.9999614822190352
Position 1722: 0.6641212204460066
Position 1618: 0.14335623310887788
Position 2429: 0.10972796567107901
Position 3578: 0.07338862444375514
Position 453: 0.03313400986745076
Position 922: 0.025551854721559665
Position 1083: 0.01802624671719691
Position 1198: 0.014389774763950066
Position 1439: 0.008710913953258088
Position 3431: 0.0072711462077632615
Position 3394: 0.0066056012551452305
Position 1635: 0.006406006614323218
Position 3136: 0.004769786881141775
Position 1044: 0.004387990278543215
Position 987: 0.0029455107670097362
Position 785: 0.0029359170121633182
Position 1620: 0.002228569621414339
Position 329: 0.002077879107142861
Position 1275: 0.0019011610380813633
Position 958: 0.0016338001496207465
Position 2408: 0.0014456796129338379
Position 3196: 0.0013103562447622792
Position 3184: 0.001254049016838249
Position 2960: 0.0011332004043268088
Position 981: 0.0009289163171276019
Position 1100: 0.000891968093811198
Position 315: 0.0008904724867659496
Position 433: 0.0006909328337054208
Position 369: 0.0006845799587985302
Position 2662: 0.0005028664831938339
Position 906: 0.0003948106594284687
Position 2943: 0.00018932561913495715
Position 3494: 0.00011819073768113345
