Gene = TORIP
index = 1540
Annotated 5SS: [604 793]
Annotated 3SS: [670 847]
SMsplice 5SS: [604 766]
SMsplice 3SS: [670 847]
top_k =  100
Partition function (log Z): -1.2144657303883577

Sorted 5' Splice Sites (High to Low Probability):
Position 604: 0.9868927985142046
Position 766: 0.8953414088379463
Position 202: 0.05822501300916666
Position 778: 0.031051292218335417
Position 722: 0.02495107247979628
Position 793: 0.019747843486859613
Position 331: 0.006316977594752456
Position 1267: 0.0056739616490453955
Position 1061: 0.004300355939602212
Position 42: 0.00427474158526592
Position 383: 0.0020850810572318862
Position 153: 0.0011861403385922764
Position 82: 0.000487420112342619
Position 462: 0.0004290469200591814
Position 1049: 0.0004243816847377342
Position 55: 0.0003338856702124106
Position 596: 0.00028995285053732433
Position 364: 0.0002588174351775906
Position 223: 0.00019134402954949388
Position 1248: 0.00010449589172556213
Position 1238: 8.769083028018511e-05
Position 991: 7.8373631552132e-05
Position 1255: 5.048739196266953e-05
Position 525: 1.0253563524233528e-05
Position 259: 9.775687995342561e-06
Position 33: 3.0286363797435376e-07
Position 120: 1.279121946532563e-10
Position 107: 5.818344755855792e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 847: 0.9886211125280977
Position 670: 0.9670014822659977
Position 274: 0.054252926430038095
Position 1330: 0.0055951314352234716
Position 107: 0.004222015469160976
Position 833: 0.0037209433040190205
Position 433: 0.0034041026775886
Position 425: 0.0026804502118860348
Position 394: 0.0017782499439476082
Position 1112: 0.0017552735871859434
Position 245: 0.00109563061279571
Position 402: 0.0009434065923280645
Position 1290: 0.0007632516083247087
Position 545: 0.0006413893754493937
Position 1133: 0.0006008387559557423
Position 1121: 0.000597651332368965
Position 1185: 0.0005931906602154803
Position 509: 0.00045715898132866003
Position 413: 0.0004049760701945144
Position 452: 0.00039461848886263083
Position 113: 0.0003864172902323523
Position 897: 0.00032874797129476895
Position 449: 0.00030621610722203095
Position 145: 0.0002893521483814581
Position 684: 0.00028683017636825563
Position 1191: 0.00021959411721822198
Position 1168: 0.00021620085995076576
Position 699: 0.0002140037315239904
Position 1135: 0.0001633669602801171
Position 455: 0.0001528947333395419
Position 149: 0.00014530003278000837
Position 1315: 0.00012247927623491902
Position 250: 0.00011939018089693389
Position 223: 9.393783356892084e-05
Position 1304: 9.075321309670054e-05
Position 253: 6.686217729075204e-05
Position 702: 2.9467744796967946e-05
Position 259: 2.5823021396980796e-05
Position 286: 1.923097877877828e-05
Position 1176: 2.0152128508526916e-06
Position 128: 2.2277503038067986e-07
Position 160: 7.729284568787263e-09
Position 198: 8.574022749970541e-10
