Gene = bora
index = 1632
Annotated 5SS: [373]
Annotated 3SS: [430]
SMsplice 5SS: [373]
SMsplice 3SS: [430]
top_k =  100
Partition function (log Z): -5.533555882828635

Sorted 5' Splice Sites (High to Low Probability):
Position 373: 0.9999981372943911
Position 1798: 0.008533205658104939
Position 1185: 0.003723858508044694
Position 729: 0.0029704168745380804
Position 948: 0.001631880505915445
Position 110: 0.0012712795804550529
Position 980: 0.0008324218582860985
Position 1455: 0.0007156794013543022
Position 621: 0.0005312781098518973
Position 633: 0.0005293491591678786
Position 628: 0.0004012280480074867
Position 498: 0.00036208129169761576
Position 1927: 0.00020422058384171563
Position 841: 0.00016585202582542095
Position 611: 0.0001242745523078223
Position 152: 1.9049873811951348e-05
Position 180: 1.7476838207621266e-05
Position 97: 9.175269177396965e-06
Position 281: 3.585914251654398e-06
Position 314: 1.7019205569523594e-06
Position 63: 1.6294224753106251e-06
Position 82: 1.357043472706912e-06
Position 208: 3.2962603412302035e-07
Position 51: 2.1191835989576356e-07
Position 217: 1.974398409402261e-07
Position 271: 1.8707700282950417e-07
Position 166: 1.1303519589411617e-07
Position 33: 4.90085158100137e-08
Position 283: 1.736914110004339e-08
Position 348: 2.4053785781478215e-09
Position 377: 1.286800910181618e-09
Position 384: 8.786873766853571e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 430: 0.945428518709196
Position 476: 0.022093722461889193
Position 676: 0.01019799157548545
Position 1853: 0.009707735676765245
Position 1824: 0.00432285790521837
Position 1788: 0.004261337427631652
Position 800: 0.003710367542487148
Position 1715: 0.003235744606407335
Position 1541: 0.0028619932985597704
Position 991: 0.0026396022448004716
Position 1045: 0.002465048398420629
Position 656: 0.002436604342535321
Position 569: 0.001753953368667119
Position 920: 0.001322925268170235
Position 1549: 0.0010090529262855017
Position 865: 0.0009126484820606623
Position 166: 0.0008948642220272113
Position 2011: 0.0008096910685345799
Position 1940: 0.0005536285274828327
Position 704: 0.0005426110326801849
Position 2016: 0.00021576571677749983
Position 198: 0.00019208134790820784
Position 608: 0.00015531755395271687
Position 201: 0.0001331039036186316
Position 566: 8.861619405435498e-05
Position 186: 7.106007752842198e-05
Position 261: 1.863811631798156e-05
Position 303: 5.567730762838714e-06
Position 332: 4.686429430925225e-06
Position 268: 3.4329823125369424e-06
Position 245: 8.461920326093005e-07
Position 133: 1.0635901524846346e-07
Position 313: 7.82903498880181e-08
Position 94: 4.90085158100137e-08
