Gene = fok
index = 1704
Annotated 5SS: [493]
Annotated 3SS: [2054]
SMsplice 5SS: [493]
SMsplice 3SS: [5597]
top_k =  100
Partition function (log Z): -8.553980850230662

Sorted 5' Splice Sites (High to Low Probability):
Position 493: 0.834050363803235
Position 1996: 0.5967577067003513
Position 2284: 0.5179787547711042
Position 1656: 0.45206935384016655
Position 2282: 0.16847252917527297
Position 1243: 0.08171090662259126
Position 1947: 0.07554968104107028
Position 758: 0.06327330191980883
Position 3136: 0.04257484840362059
Position 3589: 0.03849570731438937
Position 433: 0.010461249689018046
Position 1428: 0.004098968447684784
Position 925: 0.0024751439920755514
Position 1677: 0.0020094569115142037
Position 1020: 0.0015228580971945915
Position 2394: 0.0008745358308291851
Position 996: 0.0004087973805365624
Position 1247: 8.354810336578188e-05
Position 932: 4.413069069332844e-05
Position 147: 1.8855769551933816e-05
Position 125: 1.393619687589042e-05
Position 198: 1.02885286651594e-05
Position 111: 6.969118024405662e-06
Position 164: 4.829230050868132e-06
Position 128: 9.21463198220094e-07
Position 281: 2.641627345859295e-07
Position 94: 6.443036259939482e-08
Position 7: 1.7565863462810642e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2054: 0.8164757271202648
Position 5597: 0.8060375538055561
Position 1813: 0.5329530527291693
Position 1481: 0.24579150861607282
Position 1798: 0.15488412785018793
Position 3206: 0.0678592404232664
Position 993: 0.05456238452908933
Position 1084: 0.04611220042811631
Position 1581: 0.03175238061718629
Position 2654: 0.030210696792367733
Position 1456: 0.020656865349357904
Position 2627: 0.013759317204073383
Position 1173: 0.012250799059665854
Position 1319: 0.012225415845226314
Position 1384: 0.01146278676113541
Position 1122: 0.005996051964928964
Position 2355: 0.00557948293256235
Position 1759: 0.00436505103080946
Position 1284: 0.0036526470906689938
Position 3054: 0.003062850924226198
Position 1774: 0.002838451025976787
Position 1497: 0.0021336006644318757
Position 3674: 0.0020815501842239557
Position 1465: 0.0020429910698127334
Position 1534: 0.0017302314786044823
Position 816: 0.0016559948796423887
Position 1301: 0.00042285411083824853
Position 891: 0.000140502070351585
Position 689: 7.855964219969622e-05
Position 844: 4.933154651377731e-05
Position 328: 4.6420220236385226e-05
Position 715: 4.6325471612164124e-05
Position 1431: 2.5341941896646436e-05
Position 297: 9.726245090740458e-06
Position 995: 7.99605648256218e-06
Position 720: 7.971518002697962e-06
