Gene = pigeon
index = 1836
Annotated 5SS: [ 150  613  978 2200 2489 2763 3058]
Annotated 3SS: [ 207  675 1035 2255 2547 2832 3402]
SMsplice 5SS: [ 150  613  978 2200 2489 2763 3058 3286]
SMsplice 3SS: [ 207  675 1035 2255 2547 2832 3138 3402]
top_k =  100
Partition function (log Z): 22.26941889351062

Sorted 5' Splice Sites (High to Low Probability):
Position 613: 0.9904226781141865
Position 2489: 0.9902651015965911
Position 978: 0.9786525273267118
Position 2200: 0.9716398602449313
Position 2763: 0.9554538654106189
Position 3286: 0.9335634403462729
Position 150: 0.9271516755425262
Position 3058: 0.8665337070278928
Position 1840: 0.1127638686309657
Position 468: 0.061811867089406745
Position 2767: 0.027707766736617262
Position 3073: 0.021216250834965075
Position 982: 0.0197545043615696
Position 2704: 0.009534344820659173
Position 1825: 0.008714487696694417
Position 1844: 0.002221001417758029
Position 373: 0.001815638125220215
Position 1996: 0.0016384318179701871
Position 2735: 0.0015222332487896265
Position 975: 0.0013966359499671848
Position 2741: 0.0011804708629371873
Position 2493: 0.000980169326844826
Position 617: 0.0009057217742817759
Position 1393: 0.0007181335725366763
Position 3557: 0.0006796590744334358
Position 3260: 0.0006349352953907898
Position 624: 0.00046351563046884793
Position 3641: 0.00045819597965237994
Position 2430: 0.00042114612625583864
Position 3027: 0.00035859396050379774
Position 3805: 0.000306709145610018
Position 2643: 0.0002367099069247555
Position 2223: 0.00020681238375656416
Position 154: 0.0002025650078867842
Position 3550: 0.0002017245899166307
Position 2497: 0.0001764158134847084
Position 812: 0.0001281944229641298
Position 3305: 0.00010996861177720733
Position 2512: 0.00010879944727337693
Position 594: 0.0001033669966330773
Position 2384: 0.00010223866519372768
Position 3647: 9.817309290586693e-05
Position 2483: 9.585402711521682e-05
Position 3589: 8.158238930062206e-05
Position 2756: 7.454504027666473e-05
Position 2476: 7.282830532376521e-05
Position 278: 6.354271883891187e-05
Position 2722: 4.28327193021366e-05
Position 484: 3.227743583440423e-05
Position 2676: 2.5842030302942685e-05
Position 191: 1.9865089704871275e-05
Position 2909: 1.7758546721410008e-05
Position 158: 9.983972682132591e-06
Position 195: 9.863653551606795e-06
Position 308: 3.764424609634747e-06
Position 998: 1.141564935913058e-06
Position 60: 8.297602014158624e-08
Position 123: 2.0789189358806802e-08
Position 2997: 1.6653110149059196e-08
Position 2983: 1.4737707302162047e-08
Position 947: 3.0453760554571116e-09
Position 14: 5.117546824864419e-10
Position 45: 4.078328990514738e-10
Position 552: 3.8628526271598467e-10
Position 54: 2.743520181729558e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1035: 0.998695588736249
Position 675: 0.9900761343753725
Position 3402: 0.9886829673140485
Position 2832: 0.98750347295895
Position 2255: 0.968758040043573
Position 2547: 0.9542710111152812
Position 207: 0.8737717947763237
Position 3138: 0.8103263904547939
Position 1896: 0.09451937105627395
Position 527: 0.05909593066579766
Position 2572: 0.035396240984000626
Position 212: 0.0320447063788626
Position 1899: 0.028577489245343212
Position 245: 0.012860399377335486
Position 3363: 0.011013339278774015
Position 3241: 0.009615316291859773
Position 2897: 0.007910561049690767
Position 686: 0.00624270370539852
Position 239: 0.002078294835747382
Position 452: 0.001861647224931903
Position 2894: 0.0018133345736903149
Position 3263: 0.0017873749117191988
Position 2074: 0.0014324753976877188
Position 1062: 0.0011377385756667963
Position 472: 0.0009624113857331144
Position 854: 0.0009008966244080368
Position 2596: 0.0008680826779643408
Position 2399: 0.0008524352057951891
Position 2351: 0.0008176151675271734
Position 683: 0.0008102447351351911
Position 1464: 0.0007181335725366763
Position 3704: 0.0007164015566469011
Position 2841: 0.0007032239547569291
Position 3245: 0.0006470766121498453
Position 2288: 0.0005498432885483817
Position 386: 0.0005354877880258244
Position 2704: 0.0005333585745908951
Position 539: 0.0005167027167804745
Position 3667: 0.0005053038973428245
Position 1874: 0.000409718142921056
Position 338: 0.00033801715554407607
Position 3229: 0.0003285587688144708
Position 209: 0.0003245219135809875
Position 3892: 0.0002712494168219037
Position 3624: 0.0002578549930864009
Position 2445: 0.00023169071846640936
Position 403: 0.0001503660583959616
Position 335: 0.0001482408679566429
Position 400: 0.0001401070237791365
Position 278: 9.51387071858471e-05
Position 3851: 9.115528132069461e-05
Position 691: 3.973634406566961e-05
Position 2927: 3.7662121528717516e-05
Position 443: 3.6006075438248497e-05
Position 860: 3.315225391837289e-05
Position 707: 2.7145040547449487e-05
Position 2987: 1.7741508782223673e-05
Position 581: 1.372389855670722e-05
Position 341: 1.1307073746939408e-05
Position 305: 6.874047039542651e-07
Position 296: 6.058736040120212e-07
