Gene = Tfb4
index = 1555
Annotated 5SS: [  61  299  547 1027]
Annotated 3SS: [ 117  350  607 1090]
SMsplice 5SS: [  61  299  547 1027]
SMsplice 3SS: [ 117  350  607 1090]
top_k =  100
Partition function (log Z): 5.242406492188038

Sorted 5' Splice Sites (High to Low Probability):
Position 299: 0.9889029809222248
Position 547: 0.9526858663269366
Position 61: 0.9402053000912322
Position 1027: 0.9137454385595273
Position 818: 0.025242595908136982
Position 494: 0.024859658485379656
Position 276: 0.007568183718201764
Position 1160: 0.0040332767340117036
Position 808: 0.003683251505573632
Position 688: 0.003118585408646579
Position 531: 0.002374521940091549
Position 853: 0.0011951229880090078
Position 977: 0.0010541783375955
Position 219: 0.001005790280992465
Position 676: 0.0009262694554234271
Position 303: 0.000609169038963067
Position 771: 0.0005022172829353706
Position 273: 0.000446469417912587
Position 1031: 0.00034312557217871425
Position 945: 0.00027132996932288786
Position 789: 0.00026208789751983855
Position 439: 0.00024042888117294876
Position 989: 0.0002231070320741535
Position 321: 0.0001379733250071518
Position 408: 0.00012714889216914837
Position 1172: 0.0001000311433276845
Position 500: 5.125962113088803e-05
Position 67: 3.555484137108734e-05
Position 141: 1.1109300851409027e-06
Position 177: 1.00277692000026e-06
Position 519: 9.731178107720988e-07
Position 427: 5.28025026802071e-07
Position 397: 3.946082335719069e-07
Position 417: 7.221772915238071e-09
Position 147: 4.307411946054738e-09
Position 697: 2.892256347917485e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 350: 0.9892418698709093
Position 607: 0.9689585016609003
Position 117: 0.9364672602848868
Position 1090: 0.9063532036012204
Position 877: 0.03764349607611505
Position 374: 0.0074080434746692375
Position 613: 0.0054663028987223744
Position 1103: 0.004992541744371128
Position 1229: 0.004260604618753963
Position 1127: 0.0029051329177878556
Position 377: 0.002226087116496179
Position 808: 0.001810672036398855
Position 170: 0.0016153693440474398
Position 194: 0.0010893081815207789
Position 914: 0.0010525188922137045
Position 1069: 0.0009865703756897313
Position 724: 0.00035465790509177814
Position 1056: 0.00021042074644031012
Position 185: 0.00019945783478971245
Position 665: 0.00017901091887396914
Position 688: 0.00011074331111493757
Position 637: 0.00010703455379229333
Position 1217: 7.905482904410667e-05
Position 1169: 4.851995089409274e-05
Position 1005: 4.7826649924191e-05
Position 414: 3.559804315562915e-05
Position 435: 3.1243019448870187e-05
Position 1172: 2.9310482295949186e-05
Position 215: 2.9207134252668475e-05
Position 251: 1.0052964454664177e-05
Position 254: 5.228673999365567e-06
Position 260: 9.474128073082483e-08
