Gene = jp
index = 1736
Annotated 5SS: [  318 11117 11467 12751 12948 13163 15034 16547]
Annotated 3SS: [10351 11251 12481 12810 13021 13223 16345 17084]
SMsplice 5SS: [  318 11117 11467 12751 12948 13163 15034 16547]
SMsplice 3SS: [10351 11251 12481 12810 13021 13223 16345 17084]
top_k =  100
Partition function (log Z): 20.866330761572918

Sorted 5' Splice Sites (High to Low Probability):
Position 11467: 0.9975457391552887
Position 11117: 0.9963585359741451
Position 13163: 0.9944858813351652
Position 15034: 0.9887707749413108
Position 16547: 0.988065595200879
Position 12751: 0.9419974043687344
Position 12948: 0.9317313629072078
Position 318: 0.47287239194275577
Position 17661: 0.3130208887604721
Position 210: 0.30901476155843804
Position 1747: 0.1338549889311629
Position 17650: 0.13222747340085006
Position 17343: 0.10770152829704678
Position 104: 0.09016253166771965
Position 16272: 0.08227364869459636
Position 12964: 0.066146058350379
Position 17254: 0.05707942670037994
Position 15477: 0.05304769461792457
Position 736: 0.034212080240655376
Position 13706: 0.03338511842365883
Position 13909: 0.015640384315632055
Position 15339: 0.014617775432746255
Position 15218: 0.009152222486083416
Position 13286: 0.00590565389381595
Position 12611: 0.005720110246357894
Position 16529: 0.004910717698544734
Position 14063: 0.004885114276953006
Position 13102: 0.004832080529159222
Position 13305: 0.0048315695142415425
Position 13534: 0.004436990135711621
Position 13939: 0.003178371661996107
Position 11136: 0.0031144504894782938
Position 16019: 0.0027040051607229833
Position 16541: 0.0016885306169859698
Position 12118: 0.0016065925088588019
Position 16472: 0.0013549718866411912
Position 12962: 0.001336962699689577
Position 13514: 0.001288043224765436
Position 694: 0.001243737033636566
Position 12772: 0.0010385227039536613
Position 11858: 0.000995281395088383
Position 12700: 0.0007932583480860829
Position 11544: 0.0006573069798838909
Position 12713: 0.0005867585557235172
Position 11480: 0.0005660964404442822
Position 12755: 0.0004954079295020719
Position 12402: 0.00046482158903104944
Position 11402: 0.00035623149140693206
Position 609: 0.000337373619605751
Position 16579: 0.00033711559427645473
Position 12049: 0.0002927206636248186
Position 12978: 0.00025136989967243723
Position 603: 0.00021967261927256532
Position 10936: 0.00019040545214842996
Position 12076: 0.00018183305612324877
Position 322: 0.00015226648294849418
Position 11952: 0.00012853962608937492
