Gene = fwe
index = 1710
Annotated 5SS: [ 137  475 2992 3165]
Annotated 3SS: [ 353 2783 3056 5561]
SMsplice 5SS: [ 475 2992 3165]
SMsplice 3SS: [2783 3056 5561]
top_k =  100
Partition function (log Z): 1.1185576457241106

Sorted 5' Splice Sites (High to Low Probability):
Position 2992: 0.9873408845157953
Position 3165: 0.9667166202784796
Position 475: 0.9263903628493295
Position 4076: 0.05228489989601063
Position 705: 0.03699253985929918
Position 694: 0.03256915338848221
Position 796: 0.030927011611554037
Position 84: 0.021674682542659654
Position 5234: 0.020588284412923027
Position 3874: 0.019259088336741302
Position 2151: 0.018950750516229038
Position 137: 0.018462134332049643
Position 3963: 0.017371147160010272
Position 3671: 0.014583094675015744
Position 4307: 0.012582933696139114
Position 5347: 0.010568129035170192
Position 5218: 0.008907388049656064
Position 248: 0.008681558534400889
Position 894: 0.008492450817889904
Position 3976: 0.008434907038910928
Position 3362: 0.0077281076010066695
Position 2996: 0.007659428147833704
Position 428: 0.007610006112375772
Position 3581: 0.006798448670655249
Position 3403: 0.006011268770930823
Position 5758: 0.004291986008084791
Position 3169: 0.0036674469526087727
Position 1110: 0.0033306580205500953
Position 482: 0.002925274996423057
Position 2948: 0.0028761995316091294
Position 843: 0.002854609259623026
Position 4924: 0.002698383410938533
Position 3816: 0.00201104447795333
Position 2927: 0.0019011472800167296
Position 4376: 0.0014221137922990946
Position 4334: 0.0013839796890499267
Position 4185: 0.0013724063345590546
Position 221: 0.001356835372829675
Position 75: 0.0013466402496047495
Position 3893: 0.00109711359369178
Position 4144: 0.0009711387384257095
Position 37: 0.0009481792648606841
Position 68: 0.0007360093843517507
Position 291: 0.0005814499018201804
Position 202: 0.0004123328179906708
Position 225: 0.00029438883928907327
Position 3325: 0.0002456402554028706
Position 246: 0.00018732169927380675
Position 2965: 0.0001782657674493804
Position 90: 0.00016469645289389167
Position 61: 0.00014450091941326277
Position 275: 0.00010756262401572247
Position 63: 9.045658305387328e-05
Position 141: 8.766837623327673e-05
Position 425: 7.1496506084868e-05
Position 223: 5.629692396189166e-05
Position 3194: 5.122668234369684e-05
Position 186: 3.576076117076786e-05
Position 177: 2.9049839293160188e-05
Position 14: 1.8492095120160072e-05
Position 619: 1.2650713256206612e-05
Position 3136: 1.165603025981016e-05
Position 915: 5.2918894660105115e-06
Position 3133: 1.1071872275495642e-06
Position 3153: 6.370264408060173e-07
Position 3366: 1.4554015649297559e-07
Position 445: 6.949792320513788e-08
Position 625: 2.334494291433818e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3056: 0.9989600050128
Position 2783: 0.9852194707942684
Position 5561: 0.918004973404353
Position 3512: 0.19343953658190008
Position 622: 0.06970526718899527
Position 5016: 0.03987052651096842
Position 1897: 0.01475743502970026
Position 353: 0.013441704276946942
Position 526: 0.009077335934586926
Position 1038: 0.008864692212718406
Position 1544: 0.00885606858317524
Position 131: 0.006864245703105443
Position 5531: 0.006293680309820823
Position 2832: 0.0033557288452542695
Position 3558: 0.0026915796311785087
Position 368: 0.0026324663165796618
Position 4892: 0.0022136398939023496
Position 140: 0.0019221220860451405
Position 5905: 0.0016170628201580375
Position 5922: 0.0014736971323417703
Position 5255: 0.0014236248146829555
Position 5821: 0.0012012260555849888
Position 3037: 0.0010317957505386697
Position 5400: 0.0009363948647294828
Position 2045: 0.0006161442751374311
Position 678: 0.0006151027755024202
Position 2243: 0.0005701283825272584
Position 4270: 0.00043321218319216753
Position 3272: 0.00032236865138115145
Position 4168: 0.00023338026079941068
Position 4185: 0.00022215585407617575
Position 3225: 0.0001820417487908605
Position 3366: 0.0001451545507147422
Position 4121: 0.0001398635149306837
Position 3214: 9.921889837632168e-05
Position 3344: 8.28166863088301e-05
Position 3317: 2.0243312656999048e-05
Position 3243: 1.8633431759707427e-05
Position 144: 4.415615289007438e-06
Position 628: 3.5868635877416308e-06
Position 3098: 1.1746365661189738e-06
Position 509: 6.905898502586892e-07
Position 3110: 2.485282951785019e-09
