Gene = eIF3e
index = 1684
Annotated 5SS: [198 685]
Annotated 3SS: [291 770]
SMsplice 5SS: [198 685]
SMsplice 3SS: [291 770]
top_k =  100
Partition function (log Z): -3.2162519650387247

Sorted 5' Splice Sites (High to Low Probability):
Position 685: 0.9905354384844239
Position 198: 0.6556575016315642
Position 506: 0.1283739537536458
Position 68: 0.041871637345880654
Position 929: 0.025564436806548095
Position 218: 0.007704855147300799
Position 91: 0.0036126997278411346
Position 689: 0.0024419721073604176
Position 247: 0.00226462956386241
Position 232: 0.0015792173249040613
Position 1262: 0.0014666979537538334
Position 1001: 0.001344671831423689
Position 466: 0.0011781131577851434
Position 80: 0.0009381511386340328
Position 45: 0.0006994117594900695
Position 939: 0.0002975168204771372
Position 1166: 0.0002518277302902794
Position 185: 0.00024871662021768234
Position 989: 0.00018445032799704523
Position 240: 0.00013644072677062102
Position 568: 7.398987918079448e-05
Position 334: 1.7544416665835017e-05
Position 29: 8.10480777323241e-06
Position 66: 4.580817328544584e-06
Position 274: 1.387045032950801e-06
Position 603: 1.0230105565501292e-06
Position 179: 9.900414032030075e-07
Position 648: 9.76285408514169e-07
Position 615: 4.012033689345144e-07
Position 14: 1.1351582020885535e-08
Position 143: 1.4264249297957284e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 770: 0.9949334636883781
Position 291: 0.6932335744295721
Position 567: 0.11065392469417516
Position 1019: 0.018945275771916695
Position 549: 0.010344339910641242
Position 143: 0.009788026908805085
Position 154: 0.008093974578419007
Position 1062: 0.007982618349163547
Position 552: 0.0052069321830893
Position 1316: 0.002929679909591212
Position 797: 0.0007111207408245905
Position 995: 0.0005507278654386365
Position 330: 0.0004524720778280123
Position 1118: 0.00033948844457722317
Position 306: 0.0003073730310454625
Position 1094: 0.0002546636904980176
Position 886: 0.00022799257028146403
Position 630: 0.00021895934549731393
Position 594: 0.0002050330645697221
Position 396: 0.00020241768156278758
Position 392: 0.00019009749260098232
Position 303: 0.0001718542421596338
Position 453: 0.00016914196257888705
Position 959: 0.00016334312714376458
Position 309: 9.89686401356721e-05
Position 378: 6.258837492489937e-05
Position 91: 1.3157289736011795e-05
Position 342: 5.040083129110898e-06
Position 99: 2.5783743467347406e-06
Position 736: 1.7506921442723091e-06
Position 179: 5.399682233772358e-07
Position 194: 1.7579474584657544e-07
Position 197: 5.385499223287102e-08
