Gene = Ndfip
index = 1313
Annotated 5SS: [289]
Annotated 3SS: [5033]
SMsplice 5SS: [289]
SMsplice 3SS: [5033]
top_k =  100
Partition function (log Z): -12.63147332332201

Sorted 5' Splice Sites (High to Low Probability):
Position 289: 0.8586570770997966
Position 3450: 0.40699676510222915
Position 3722: 0.2172560820391345
Position 1344: 0.11076639408609795
Position 1825: 0.1061614314394193
Position 59: 0.026857690654403413
Position 465: 0.02585817508800019
Position 475: 0.004337648399300802
Position 473: 0.004018297499336305
Position 469: 0.0027432526302014573
Position 631: 0.0019687461609262965
Position 479: 0.0004819543058093945
Position 219: 0.00023111052557803894
Position 349: 0.00012014096798015463
Position 462: 9.850652898652572e-05
Position 776: 5.059843897335598e-05
Position 161: 3.9153539667827505e-05
Position 28: 1.3189518086446957e-06
Position 94: 7.21606623917944e-07
Position 89: 6.626064427404091e-07
Position 150: 2.1304442783041135e-07
Position 25: 1.4846638375603145e-07
Position 22: 9.394554968457011e-08
Position 68: 4.276203595243311e-08
Position 36: 9.91439324614851e-09
Position 182: 6.777012162488699e-11
Position 167: 1.031229568930086e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5033: 0.6753212908001083
Position 3319: 0.40699676510222915
Position 3520: 0.40581151692865824
Position 3653: 0.06331671587985803
Position 1400: 0.05202127710266784
Position 4832: 0.04782694309229693
Position 354: 0.0337692493696636
Position 529: 0.027909148552580535
Position 1419: 0.022967335078686653
Position 1738: 0.007507843589776758
Position 797: 0.007282925685085516
Position 698: 0.004420288487872245
Position 1693: 0.0028047575536493826
Position 406: 0.001634724920427317
Position 1824: 0.0015764042738982214
Position 1212: 0.0013234913186996682
Position 1250: 0.0011857477280459562
Position 853: 0.0009362448218340694
Position 828: 0.000640080468075115
Position 2461: 0.0005909459077413802
Position 1505: 0.00036115007583365074
Position 360: 0.0001739896529113867
Position 130: 0.00010815493424087922
Position 503: 8.307434007106209e-05
Position 448: 5.333128522898298e-05
Position 150: 2.1169669187852118e-05
Position 94: 7.348126818194559e-07
Position 156: 6.083996807155946e-07
Position 110: 1.947045607913364e-07
Position 182: 5.063445688679693e-08
Position 280: 3.653678815557919e-08
Position 277: 2.8934423117280323e-08
Position 99: 9.264843390879307e-09
Position 223: 3.6009054089550063e-09
Position 240: 2.373921636034139e-09
