Gene = nrm
index = 1822
Annotated 5SS: [  395  4072  9128  9336 12649 13225 13446 14450 14668 14934 15579 15823
 16191 16377 17191 20726 20879 21096 21241 22471 25798 26748 27816 28296
 31560 33830 36016]
Annotated 3SS: [ 3680  8955  9186 12477 13065 13368 14350 14507 14821 15396 15646 16058
 16260 16805 20595 20782 20936 21157 22283 25656 26713 27171 27935 31464
 32446 35121 39639]
SMsplice 5SS: [  143  9128  9336 12649 13225 13446 14668 14934 15579 15823 16191 17191
 20726 20879 21096 21241]
SMsplice 3SS: [ 8955  9186 12477 13065 13368 14350 14821 15396 15646 16058 16260 20595
 20782 20936 21157 41419]
top_k =  100
Partition function (log Z): -6.440771281930098

Sorted 5' Splice Sites (High to Low Probability):
Position 17191: 1.0000000000000038
Position 9128: 1.0000000000000029
Position 9336: 1.0000000000000029
Position 21241: 0.999740705364034
Position 20879: 0.997236348998354
Position 20726: 0.990827677984125
Position 15579: 0.9882501676635842
Position 21096: 0.979459826888399
Position 16191: 0.9436331079907081
Position 13446: 0.9084345063836625
Position 14934: 0.8523002017285539
Position 14668: 0.8027104226728307
Position 13225: 0.5925025875394493
Position 15823: 0.59063246836474
Position 12649: 0.5180750976475816
Position 4072: 0.4916280973128642
Position 16377: 0.3427585244938838
Position 143: 0.2700730238479043
Position 395: 0.24720000322295865
Position 151: 0.23584603264034146
Position 15987: 0.22169495770100314
Position 12786: 0.14525251675401238
Position 15897: 0.14498434753909317
Position 22471: 0.13522984595710708
Position 960: 0.07311439411159146
Position 203: 0.05529213718605111
Position 464: 0.039712702945251005
Position 1222: 0.039408819117371874
Position 259: 0.037774952384931504
Position 16934: 0.030906300485338246
Position 23546: 0.027337066621611422
Position 16195: 0.014612340859838683
Position 16708: 0.01235461129613587
Position 16187: 0.011283988384749139
Position 15827: 0.010835054690439928
Position 22153: 0.008702728492929412
Position 21080: 0.0069250679363545
Position 20675: 0.0062844493111020375
Position 15771: 0.005662349982435838
Position 21089: 0.004606778340067688
Position 15851: 0.004301296645778761
Position 15768: 0.004236623303312871
Position 15763: 0.0033700332033158036
Position 15835: 0.002925802665479413
Position 15842: 0.0020949069646939624
Position 22168: 0.0018474781067102661
Position 15846: 0.000993680149579167
Position 22608: 0.0009234925455277598
Position 1613: 0.000903278847962891
Position 483: 0.0006746556956382755
Position 21100: 0.0006448252541508148
Position 21102: 0.00011154444780863777
Position 16477: 8.620408144354969e-05
Position 20851: 5.3015161353098674e-05
Position 16302: 5.1075533759703565e-05
Position 21515: 7.305845562834052e-06
Position 21305: 1.3992467859628054e-07
Position 21288: 2.428238172373152e-08
Position 20950: 1.0721270271410235e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 9186: 1.0000000000000029
Position 8955: 1.0000000000000024
Position 20595: 0.9989227980470899
Position 20782: 0.998164003441209
Position 15646: 0.9950881372160378
Position 20936: 0.9939018001424644
Position 16058: 0.9851452024700951
Position 21157: 0.9451346981354283
Position 15396: 0.8976890442208616
Position 16260: 0.8754952135703777
Position 14821: 0.8408413357430113
Position 13065: 0.8344422556393953
Position 13368: 0.758060331900057
Position 14350: 0.7226037950420326
Position 27935: 0.693026955381471
Position 12477: 0.663327614401594
Position 3680: 0.4743540644746568
Position 16805: 0.4328073061040556
Position 24171: 0.19780224435361854
Position 22283: 0.13298938789680928
Position 15416: 0.09324253968038224
Position 21162: 0.046738000293714596
Position 25656: 0.03709893564466965
Position 16986: 0.03090630048533822
Position 23306: 0.020597015375715785
Position 23879: 0.01989693230689317
Position 22067: 0.01834707103119576
Position 16789: 0.01823490139005353
Position 2345: 0.017274032838207356
Position 25614: 0.015303390742217222
Position 22923: 0.010079729246781495
Position 21626: 0.007625241945053559
Position 16061: 0.007059196862114069
Position 22666: 0.0059273510385303135
Position 22323: 0.0038163162909886587
Position 22385: 0.0036536344128288573
Position 22287: 0.0033748637024216778
Position 21015: 0.0029887297210091364
Position 22217: 0.002067475828747327
Position 22711: 0.0009173504064463031
Position 21318: 0.0004580522847633823
Position 21544: 0.00038326599089611054
Position 21363: 0.0003397840555568177
Position 20950: 0.00013544029352385013
Position 21044: 0.00011089528093644489
Position 21366: 8.378920493689476e-05
Position 20916: 5.301516105820959e-05
Position 21238: 1.106629993054318e-07
Position 21186: 2.968885583808682e-08
Position 21180: 2.4174696269083748e-08
