Gene = Exn
index = 1158
Annotated 5SS: [  528 13850 15327 21249 22286 22537 23626 23901]
Annotated 3SS: [10545 15222 21000 21310 22346 22603 23695 23964]
SMsplice 5SS: [  528 15327 20867 21249 22286 22537 23626 23901]
SMsplice 3SS: [15222 20488 21000 21310 22346 22603 23695 23964]
top_k =  100
Partition function (log Z): 20.42539345328405

Sorted 5' Splice Sites (High to Low Probability):
Position 22286: 0.9995137714849833
Position 23901: 0.9990209215262715
Position 23626: 0.9985313578606076
Position 15327: 0.9931371917135542
Position 21249: 0.9843923922056649
Position 22537: 0.978988504760994
Position 528: 0.8868856294571338
Position 20867: 0.43585151815437817
Position 20851: 0.22805261697329704
Position 20863: 0.1679649368325637
Position 326: 0.11139563702378795
Position 10726: 0.10007718160097306
Position 22541: 0.019398491002139615
Position 16549: 0.011062640763685566
Position 24239: 0.010581159061608279
Position 22916: 0.007792293564314585
Position 23173: 0.00666949767906592
Position 24125: 0.003208364445127369
Position 23180: 0.002078129860980134
Position 69: 0.001718733519070107
Position 24218: 0.0009013823515778264
Position 23630: 0.0007937090813846835
Position 23474: 0.0005214895968267638
Position 24260: 0.0004444031478547084
Position 22290: 0.00028302670998664166
Position 23807: 0.00023480411476406587
Position 24004: 0.00022799636368542127
Position 24202: 0.00022286479757963393
Position 22560: 0.0002034076804896937
Position 24285: 0.0001954374790125592
Position 24185: 0.000172295472489255
Position 23916: 0.00010583310205446837
Position 22515: 0.00010494988191145385
Position 23922: 8.277001234400639e-05
Position 24243: 7.960790742938283e-05
Position 22480: 7.932326177150188e-05
Position 22460: 7.122347360508327e-05
Position 23905: 6.468659265367105e-05
Position 24000: 6.44837477782153e-05
Position 22489: 6.409650481103544e-05
Position 22434: 5.2401054631582544e-05
Position 15331: 3.980606467839728e-05
Position 23617: 3.530371862663291e-05
Position 22003: 3.529998178226551e-05
Position 22264: 3.218355564842676e-05
Position 24048: 2.9629494797598073e-05
Position 22464: 2.2164293558496396e-05
Position 23176: 1.5042339152431719e-05
Position 22233: 9.56905653258976e-06
Position 21377: 9.176585823640516e-06
Position 22111: 4.697971827201186e-06
Position 21385: 2.8235848624896637e-06
Position 21451: 2.3218491348089157e-06
Position 21389: 1.0481955968398115e-06
Position 21771: 9.720766401248918e-07
Position 21642: 9.386724082234301e-07
Position 23870: 3.2347545516757807e-07
Position 22564: 2.507398936261646e-07
Position 23810: 2.5014951014819606e-07
Position 23830: 1.0321580792492357e-07
Position 22496: 2.6802952854784284e-08
Position 23873: 2.4521522887583468e-08
Position 23459: 1.991989029938973e-09
Position 23287: 1.2526652815653692e-09
Position 23846: 5.431976427525777e-10
Position 23919: 4.3557499917033967e-10
Position 23879: 1.8063936935087957e-10
Position 21438: 1.7629582307997673e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 22346: 0.999975105532045
Position 23964: 0.9992524888160742
Position 22603: 0.9981050294466963
Position 23695: 0.9921744810372664
Position 15222: 0.9782335492368873
Position 21000: 0.9675470433154999
Position 21310: 0.965718005348604
Position 20488: 0.8385153689212205
Position 10545: 0.1000771816009731
Position 20968: 0.021077525950941742
Position 24326: 0.015086037015155379
Position 14607: 0.01494344854134508
Position 21370: 0.012332911575130064
Position 16417: 0.00941312026251034
Position 23495: 0.006382951810037813
Position 23725: 0.005752188759471705
Position 22986: 0.005318722099317011
Position 20948: 0.004729133772574143
Position 21321: 0.0028837201163839335
Position 23728: 0.0017915641812780393
Position 22989: 0.0016833680868453106
Position 15608: 0.0016495205011752443
Position 23547: 0.0015135064235982404
Position 21539: 0.001171528050639606
Position 21417: 0.0009138275064660597
Position 23244: 0.0009022883048966633
Position 22616: 0.00082546307694269
Position 23474: 0.0007497970977417892
Position 21495: 0.0006675301032190862
Position 21355: 0.0006078524841456898
Position 24285: 0.00048096228674470923
Position 24340: 0.00019316121727183213
Position 22969: 0.0001595794430527995
Position 24185: 0.0001524927219039547
Position 24289: 9.717343835407102e-05
Position 24260: 9.236351670455608e-05
Position 24295: 9.11543951703074e-05
Position 23975: 8.98111013230833e-05
Position 24212: 7.902768248939787e-05
Position 22801: 3.337293157367794e-05
Position 23740: 2.928185654510819e-05
Position 24359: 1.8981824926362137e-05
Position 22367: 1.454953053379325e-05
Position 23873: 3.7881361521871956e-06
Position 22383: 3.1513436702913103e-06
Position 24003: 1.2349919541896034e-08
