Gene = ref(2)P
index = 1855
Annotated 5SS: [ 521 2634]
Annotated 3SS: [1151 2688]
SMsplice 5SS: [ 521 2634]
SMsplice 3SS: [1151 2688]
top_k =  100
Partition function (log Z): -3.7789176550916035

Sorted 5' Splice Sites (High to Low Probability):
Position 2634: 0.9981179939500607
Position 521: 0.8844312200911392
Position 502: 0.061187564460498355
Position 1402: 0.05112660382447252
Position 1847: 0.04831943367720676
Position 2805: 0.048221797091704495
Position 263: 0.025872211194487137
Position 2814: 0.02279005301612451
Position 624: 0.016702104777159242
Position 1503: 0.006128412971362741
Position 980: 0.005756952549448964
Position 1075: 0.0050989742376768964
Position 2867: 0.002550395655742012
Position 549: 0.002358409796335273
Position 318: 0.002029304979906053
Position 82: 0.0019270199434363708
Position 840: 0.0018227788042034256
Position 2771: 0.0015476515946133839
Position 1032: 0.0012952004418419066
Position 282: 0.0008707041034034477
Position 142: 0.000776860481354152
Position 2775: 0.00037916428142774496
Position 2534: 0.0003583575354664668
Position 630: 0.0001209506868316526
Position 210: 9.20835706577404e-05
Position 555: 8.953841329350625e-05
Position 821: 8.640075429794409e-05
Position 174: 4.779239771972343e-05
Position 133: 3.0683121484648077e-05
Position 240: 2.9052884557914067e-05
Position 213: 2.183033498025366e-05
Position 60: 5.361403454808723e-06
Position 322: 4.3566362766812455e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 2688: 0.9759282866600709
Position 1151: 0.6514250515133965
Position 1948: 0.11897911920039456
Position 1013: 0.10255391407112568
Position 2885: 0.07109354439973359
Position 2422: 0.06554838203825827
Position 2001: 0.032714432467903135
Position 1582: 0.029914587384211554
Position 2737: 0.021189280187826547
Position 318: 0.01991322961290165
Position 1237: 0.01660635562875047
Position 1526: 0.015008842814918483
Position 1909: 0.01404569516390785
Position 1435: 0.01015979168778875
Position 334: 0.0076329168325051395
Position 711: 0.0068178083870283615
Position 575: 0.0062135432219226575
Position 2922: 0.004996875684194992
Position 1178: 0.00471993311127931
Position 1198: 0.003481225864496478
Position 381: 0.002717571327512347
Position 1049: 0.002095834866338878
Position 1213: 0.0014104098732336014
Position 809: 0.0013769847286692618
Position 669: 0.0009390993490899568
Position 980: 0.0008109908473004529
Position 2822: 0.00039280815355312456
Position 604: 0.00036795932847707167
Position 745: 0.00036787269313971895
Position 2934: 0.00023865193965711388
Position 2900: 0.0002075032553303398
Position 3061: 0.00015270242304536423
Position 165: 9.751355318319992e-05
Position 360: 3.7761319642207844e-05
Position 477: 3.7450073513239945e-05
Position 126: 2.899445308995109e-06
Position 432: 1.5674477353369636e-07
Position 142: 1.3905859049921093e-07
Position 213: 3.1896396227659286e-08
Position 234: 1.9526845447011064e-08
Position 133: 1.8395177669455058e-08
Position 210: 1.518640915476074e-08
Position 116: 9.744822584584115e-09
