Gene = TSG101
index = 1541
Annotated 5SS: [ 383  583  739 1085 1437 1845]
Annotated 3SS: [ 497  672  808 1215 1497 1912]
SMsplice 5SS: [ 383  583  739  940 1085 1437 1845]
SMsplice 3SS: [ 497  672  808 1002 1215 1497 1912]
top_k =  100
Partition function (log Z): 22.732351009767843

Sorted 5' Splice Sites (High to Low Probability):
Position 1845: 0.9987834870573903
Position 1085: 0.9945799602056294
Position 383: 0.9875139456183969
Position 583: 0.9779263858052929
Position 1437: 0.9515182830609374
Position 739: 0.8129978767999014
Position 940: 0.8102282524177746
Position 918: 0.05918231945753817
Position 1411: 0.046739941880726936
Position 219: 0.01202898935298935
Position 910: 0.01190137773938543
Position 632: 0.010832226374347784
Position 840: 0.005929378511154009
Position 72: 0.0038547538825331267
Position 37: 0.0032715511024621253
Position 578: 0.003111267582045201
Position 788: 0.0025682864468363218
Position 1415: 0.0015268713668428128
Position 833: 0.0011183673608973956
Position 1089: 0.0009500246936568566
Position 99: 0.00078141691467416
Position 2145: 0.0007571049843942184
Position 370: 0.0007362307300517212
Position 1603: 0.0004863533109925041
Position 60: 0.00035811598285112026
Position 1091: 0.0002013900579095785
Position 2199: 0.00017959064850332714
Position 1591: 0.00017765518718802824
Position 1096: 0.000176976489941846
Position 155: 0.00016670341525049217
Position 347: 0.00015411410816697338
Position 232: 0.00013039473969118318
Position 2125: 0.00010448699852474202
Position 3: 9.644095300059876e-05
Position 2158: 7.354214743771774e-05
Position 2069: 6.441580180033819e-05
Position 729: 5.9268399446525806e-05
Position 1862: 5.5410801933540454e-05
Position 400: 5.501653195298891e-05
Position 1441: 5.400681395869013e-05
Position 2019: 5.3156763097672756e-05
Position 275: 4.397475038643773e-05
Position 1987: 3.8134367900459674e-05
Position 207: 3.483830542390488e-05
Position 1816: 3.161177786744372e-05
Position 62: 3.095138467002299e-05
Position 2148: 3.063488376643874e-05
Position 503: 2.007515842265964e-05
Position 324: 1.6733499122668062e-05
Position 1856: 1.6580495012734115e-05
Position 79: 1.5049744298816779e-05
Position 1849: 1.5024637931168218e-05
Position 65: 1.0711408299606464e-05
Position 6: 1.0052773456415592e-05
Position 136: 8.106701117110844e-06
Position 180: 6.213593435605454e-06
Position 1003: 5.970579767197873e-06
Position 1104: 4.577252600804582e-06
Position 2119: 2.963525325442683e-06
Position 2086: 2.5462821705111276e-06
Position 638: 1.5557695535793392e-06
Position 1975: 1.350084897638648e-06
Position 636: 4.5410409675234097e-07
Position 726: 1.1093357030817148e-08
Position 1733: 5.375052651762702e-09
Position 183: 4.261313682857402e-09
Position 124: 1.110469384291836e-09
Position 1611: 8.614034102091742e-10
Position 1667: 8.277215800005002e-10
Position 1291: 7.507974872405645e-10
Position 1307: 6.519153651024368e-10
Position 1653: 2.06378990962892e-10
Position 392: 2.219301441709312e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1912: 0.9988098114659606
Position 1497: 0.9938460787920212
Position 497: 0.989152204970492
Position 672: 0.9441414850755436
Position 1002: 0.878708325415952
Position 808: 0.7599111964289239
Position 1215: 0.6181207397994323
Position 1275: 0.3683325715044496
Position 903: 0.06323289702264225
Position 861: 0.02771211399783967
Position 969: 0.014538192474840929
Position 1229: 0.008713453527314927
Position 713: 0.005252232718769029
Position 275: 0.004626651977409894
Position 299: 0.0045187178728736815
Position 124: 0.004373298284593375
Position 1514: 0.004244792717903395
Position 688: 0.002525154167398825
Position 2264: 0.001383376571284403
Position 1483: 0.0011526787692415117
Position 158: 0.0010710540267941729
Position 1194: 0.0010111392343210364
Position 177: 0.000830264663671685
Position 503: 0.0007348559157951121
Position 301: 0.0007283404778294284
Position 1562: 0.0007093264320288911
Position 524: 0.0005604185655685808
Position 105: 0.0005501127247278295
Position 315: 0.000394719151347217
Position 1650: 0.00034400974385284503
Position 556: 0.0003161532908375474
Position 636: 0.00022642303407578195
Position 1690: 0.00020542288888548152
Position 196: 0.00019685742711217667
Position 155: 0.00016027365345958514
Position 909: 9.978809239526168e-05
Position 1647: 7.805993041399081e-05
Position 200: 7.671706308450838e-05
Position 695: 7.637782866431037e-05
Position 58: 6.0255810278905026e-05
Position 333: 2.390380301228489e-05
Position 1725: 2.30883421384981e-05
Position 1938: 1.758455429219315e-05
Position 521: 1.2178782528236541e-05
Position 540: 7.140670861775984e-06
Position 2206: 6.380538962045379e-06
Position 2119: 6.335179144662922e-06
Position 1249: 5.237980497094466e-06
Position 575: 5.062490268796612e-06
Position 1128: 1.8885895632617678e-08
