Gene = GlyP
index = 1192
Annotated 5SS: [ 442 4155 5832]
Annotated 3SS: [3625 4224 5917]
SMsplice 5SS: [ 442 4155 5832]
SMsplice 3SS: [3625 4224 5917]
top_k =  100
Partition function (log Z): -0.9283549676724228

Sorted 5' Splice Sites (High to Low Probability):
Position 442: 0.9984380981962201
Position 5832: 0.9831325298172628
Position 4155: 0.8538615102215551
Position 5154: 0.3487247584988314
Position 2959: 0.0752147136408201
Position 3485: 0.052356225639760355
Position 2930: 0.022843412769114082
Position 5676: 0.007787638406435881
Position 4027: 0.003215158938755997
Position 262: 0.0015619018362481004
Position 3055: 0.0013977788340996595
Position 4419: 0.00010614047907939884
Position 6197: 8.280528418420681e-05
Position 4909: 7.654905434283465e-05
Position 4452: 9.364287779609248e-09
Position 3102: 4.865878986379342e-11
Position 52: 7.850434050868308e-12
Position 46: 3.4785956223776053e-12
Position 280: 1.642149820299137e-12
Position 107: 5.278163702397389e-13
Position 244: 4.3418743954293707e-13
Position 58: 4.341304489778361e-13
Position 36: 1.3401004508253286e-13
Position 33: 4.967164847505244e-14
Position 40: 3.6260910430455346e-14
Position 63: 3.090025401414917e-14
Position 76: 2.918711700204315e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 5917: 0.9990187640414828
Position 3625: 0.8302963594240711
Position 4224: 0.7721501193547999
Position 5221: 0.4404126349452489
Position 2675: 0.14664035905614767
Position 5153: 0.04929639760534807
Position 3288: 0.028721294291757644
Position 2647: 0.017349147892404014
Position 4247: 0.016443454395876703
Position 3596: 0.009332411183705716
Position 3473: 0.008508249376510442
Position 3700: 0.0060930611851363345
Position 3892: 0.004577446027929947
Position 3889: 0.003973587576655872
Position 2514: 0.003409949077157458
Position 3007: 0.002962634367489339
Position 3570: 0.002484983168210511
Position 2800: 0.0011523271679483547
Position 2710: 0.0011402046749519616
Position 2783: 0.0010870955895315225
Position 2691: 0.001066010961520617
Position 2622: 0.000795365757152066
Position 2870: 0.0005693324282541965
Position 2223: 0.00047078051931069564
Position 1933: 0.0004573988492993757
Position 5964: 0.00023124019858311725
Position 6241: 8.280528418420681e-05
Position 2897: 3.786814398404555e-05
Position 2331: 3.683278254284024e-05
Position 504: 4.5274783291303497e-07
Position 507: 3.5623212619512885e-07
Position 1100: 3.0669003376842153e-07
Position 324: 3.097104736242558e-11
Position 237: 1.2509218065557954e-11
Position 347: 3.635204671462177e-12
