Gene = ImpL2
index = 1231
Annotated 5SS: [  245 11221]
Annotated 3SS: [10440 11295]
SMsplice 5SS: [  245 11221 11537]
SMsplice 3SS: [10440 11295 11657]
top_k =  100
Partition function (log Z): -3.4168655862373893

Sorted 5' Splice Sites (High to Low Probability):
Position 11221: 0.9981501886289714
Position 245: 0.9894312854134926
Position 11537: 0.6191265671957529
Position 9902: 0.15816148284786036
Position 11698: 0.09218555893565578
Position 12005: 0.06605303991433169
Position 10704: 0.060623830532760214
Position 11370: 0.054703966359542854
Position 10711: 0.04042058715695157
Position 752: 0.012955049427441185
Position 9574: 0.011820755327515794
Position 3738: 0.006192123827318594
Position 275: 0.0032640450140556743
Position 11136: 0.00040597603727422196
Position 625: 0.00028493472527783793
Position 11374: 0.00016243568589754037
Position 11547: 6.039919125343617e-05
Position 11478: 5.6246832627146195e-05
Position 10845: 3.182911505835597e-05
Position 83: 8.560794754761408e-06
Position 11498: 6.933847219951905e-06
Position 11528: 5.7166281966304075e-06
Position 212: 4.797735629865717e-06
Position 495: 4.446247049598985e-06
Position 174: 1.912611847521154e-06
Position 257: 1.7630450367404059e-06
Position 118: 1.5602733142501385e-06
Position 194: 1.3748612879328632e-06
Position 218: 7.045194161920804e-07
Position 273: 6.186260766813024e-07
Position 142: 5.49828528469846e-07
Position 188: 4.2289671352358404e-07
Position 398: 3.595785669203114e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 11295: 0.9995739626924915
Position 10440: 0.9873874499774481
Position 11657: 0.3848327962109474
Position 11601: 0.21534059086227636
Position 9674: 0.15816148284786036
Position 11774: 0.11910009449321084
Position 10758: 0.10001082474603562
Position 12065: 0.06553707838481697
Position 11611: 0.014841137498474544
Position 10468: 0.012587336607777777
Position 7839: 0.011820755327515794
Position 11428: 0.009949495956090255
Position 12040: 0.005777096638929664
Position 11627: 0.005351175189060981
Position 11508: 0.004901861195782199
Position 11705: 0.003004998397642312
Position 498: 0.002974782279599842
Position 3461: 0.0018737888250172996
Position 12089: 0.0015750661402337625
Position 3421: 0.0015565483396760534
Position 3575: 0.0014835012151817586
Position 3405: 0.0012782854474434819
Position 450: 0.0010242655759838957
Position 11663: 0.0009265635534336363
Position 584: 0.0007969337377678081
Position 525: 0.0006017992529339912
Position 587: 0.0005646053353109704
Position 11919: 0.0004349616838641971
Position 11477: 0.0003617464788740929
Position 12046: 0.00023864842017479963
Position 12105: 0.00019745068318049967
Position 11339: 6.293966764295863e-05
