Gene = ND-B14.5B
index = 1299
Annotated 5SS: [321 544]
Annotated 3SS: [399 598]
SMsplice 5SS: [321 544]
SMsplice 3SS: [399 598]
top_k =  100
Partition function (log Z): 2.855949068362381

Sorted 5' Splice Sites (High to Low Probability):
Position 544: 0.9982072274394187
Position 321: 0.9593449708266005
Position 303: 0.03828450157050629
Position 10: 0.0011504888082698992
Position 126: 0.0011465557898555515
Position 710: 0.0005363249010461661
Position 349: 0.00033712292897152566
Position 8: 0.00029849090236930417
Position 537: 0.00023433787354043995
Position 344: 0.00019451407361261087
Position 686: 0.000171232106625089
Position 817: 0.00014248068387969672
Position 823: 0.00013105008909220056
Position 548: 6.0147597629211e-05
Position 689: 5.8618146098417415e-05
Position 759: 3.954109029627584e-05
Position 258: 2.6319828045088165e-05
Position 311: 2.1539809323923598e-05
Position 629: 2.02425489689431e-05
Position 14: 1.6807373058872406e-05
Position 640: 1.2864073150808369e-05
Position 146: 1.0609262658667724e-05
Position 269: 1.0574710708130563e-05
Position 649: 8.17053254717771e-06
Position 634: 7.178471990534381e-06
Position 325: 5.087535736968729e-06
Position 70: 4.650124673663327e-06
Position 45: 3.3279924061306937e-06
Position 130: 2.0778269460939325e-06
Position 109: 1.5943380585173022e-06
Position 75: 9.709357633229795e-07
Position 100: 7.737700096816324e-07
Position 313: 3.8435177962753947e-07
Position 473: 1.3822720961430556e-07
Position 58: 2.656361668730291e-08
Position 495: 1.815816227930724e-08
Position 173: 2.3384010073384788e-11
Position 168: 1.817506604170872e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 598: 0.9977727372800178
Position 399: 0.996946969580632
Position 70: 0.001167093839920488
Position 407: 0.0010444643627522136
Position 205: 0.0009409007673817465
Position 774: 0.0006636739788220804
Position 802: 0.0006239083444809378
Position 873: 0.0004562595964825163
Position 93: 0.00023728894777057008
Position 410: 0.00015826372449213971
Position 444: 0.00015737303712695124
Position 606: 0.0001022923662702529
Position 464: 6.595890052631574e-05
Position 168: 3.396597872356207e-05
Position 461: 3.0065952189301688e-05
Position 75: 2.7867764164013123e-05
Position 130: 2.1003089492161188e-05
Position 847: 1.8538427465000064e-05
Position 736: 7.417490103479473e-06
Position 619: 5.766128771553989e-06
Position 487: 4.458601331136689e-06
Position 701: 2.0413014529541157e-06
Position 542: 1.3374645049712684e-06
Position 109: 1.261878641468466e-06
Position 307: 5.250067010347968e-08
