Gene = mu2
index = 1806
Annotated 5SS: [ 137  396  937 1828 2039 2212 2366 3599 3696 3861 4223]
Annotated 3SS: [ 194  455  990 1883 2093 2269 2422 3653 3752 3919 4278]
SMsplice 5SS: [ 137  396  937 1828 2039 2212 2366 3599 3696 3861 4223]
SMsplice 3SS: [ 194  455  990 1883 2093 2269 2422 3653 3752 3919 4278]
top_k =  100
Partition function (log Z): 30.090124160544285

Sorted 5' Splice Sites (High to Low Probability):
Position 2366: 0.9994742827046087
Position 3599: 0.9904345093034576
Position 3696: 0.9902792602332682
Position 3861: 0.9893412409161666
Position 396: 0.9816339732665258
Position 2039: 0.977790051703368
Position 1828: 0.9750662798975797
Position 137: 0.9641758748012106
Position 2212: 0.9611812209999538
Position 937: 0.9539828977296184
Position 4164: 0.06687778116873681
Position 2813: 0.03600452092161742
Position 1542: 0.03398662470260545
Position 910: 0.03315124760902791
Position 3328: 0.029093039957428967
Position 1967: 0.01832558452405697
Position 336: 0.014285191108540008
Position 754: 0.013736875970628561
Position 4125: 0.012908247307401597
Position 2216: 0.012813819420011871
Position 4107: 0.009280826407180096
Position 4496: 0.00795535351637027
Position 1770: 0.00765385086999881
Position 4407: 0.0027497180910686196
Position 4346: 0.0027241022143030644
Position 3865: 0.0019232227046828121
Position 729: 0.0018595318254740786
Position 4141: 0.0018593301501798154
Position 858: 0.001573802020421727
Position 4198: 0.0010122144385963149
Position 35: 0.0009848088375868525
Position 4003: 0.000822651911275264
Position 609: 0.000759221068507019
Position 2005: 0.0006375078819520836
Position 738: 0.0006267202525782154
Position 374: 0.0005978747885431444
Position 3226: 0.0004309121638839839
Position 3993: 0.000425116949959497
Position 4092: 0.00040046939503473835
Position 1396: 0.0003931488075368939
Position 2124: 0.0002535952179258142
Position 3558: 0.00022321860350550576
Position 1137: 0.00021074080351543085
Position 1066: 0.00020623782100194903
Position 941: 0.00018815397586388003
Position 3277: 0.00017139142318292928
Position 2954: 0.00016012425492284996
Position 1133: 0.0001591969733401868
Position 357: 0.00011395606305492649
Position 806: 8.377883205746814e-05
Position 2944: 4.722613020306835e-05
Position 1911: 4.349717531892258e-05
Position 3167: 4.087383476900352e-05
Position 2579: 3.586182274335687e-05
Position 2626: 3.1755060581451676e-05
Position 3669: 2.9846519382389888e-05
Position 2761: 2.2144883225527322e-05
Position 3803: 1.638005701783611e-05
Position 3463: 1.342628411256042e-05
Position 54: 1.2966580889208665e-05
Position 3850: 1.1455131404914715e-05
Position 2623: 8.897503697112482e-06
Position 2530: 7.015401136854481e-06
Position 3763: 5.8233510310322575e-06
Position 3964: 4.29863797219553e-06
Position 3767: 3.820011925115995e-06
Position 1227: 2.9789706693130816e-06
Position 2611: 2.8736689090057318e-06
Position 1287: 2.775186616894958e-06
Position 1333: 2.6648594155891863e-06
Position 3951: 2.085654735102732e-06
Position 741: 1.8463709554245058e-06
Position 2552: 1.5956959468025001e-06
Position 611: 1.480263247398004e-06
Position 238: 1.3117350931230747e-06
Position 2533: 1.2913912109706685e-06
Position 2318: 1.162116968065918e-06
Position 716: 8.652691439287011e-07
Position 261: 8.586340650748221e-07
Position 2519: 7.342500289421684e-07
Position 4051: 3.5146213694699323e-07
Position 243: 1.6271304083108564e-07
Position 3887: 8.794124100924311e-08
Position 297: 1.0920500330376021e-08
Position 1812: 5.371157895455222e-09
Position 2009: 4.396538239794753e-09
Position 2007: 3.423029611149776e-09
Position 300: 7.367475138993333e-10
Position 2347: 6.344520088418071e-10
Position 43: 5.465487458309232e-10
Position 3: 1.942851885453873e-10
Position 2276: 7.13138281273028e-11
Position 3704: 6.457058781874898e-11
Position 240: 4.4923857472516484e-11
Position 3842: 2.7303066512965482e-12
Position 2170: 3.74327034447911e-16
Position 2181: 3.535090605694388e-16
Position 194: 1.2101237976017485e-20

Sorted 3' Splice Sites (High to Low Probability):
Position 3653: 0.9975899645478047
Position 3752: 0.9899842007863316
Position 2093: 0.9843554048349767
Position 455: 0.9838421259921987
Position 2269: 0.9716972238318722
Position 2422: 0.9634838402035635
Position 194: 0.9624613541778081
Position 990: 0.9597336876673984
Position 3919: 0.7636686190266772
Position 1883: 0.7529886570609269
Position 4278: 0.2807236264829289
Position 1946: 0.14537643852826218
Position 1901: 0.08276792553970966
Position 1617: 0.03163644868081324
Position 2873: 0.02772326194761337
Position 2470: 0.024438040006635946
Position 3951: 0.019823822657483992
Position 3424: 0.014717428405476301
Position 815: 0.014540170470478288
Position 4546: 0.013237383025115833
Position 2102: 0.012098925009378939
Position 4291: 0.011940355624294722
Position 2433: 0.008791113516158543
Position 1596: 0.007342678819439911
Position 857: 0.007065008387044089
Position 3437: 0.005953866465813195
Position 3472: 0.005678029968383546
Position 1724: 0.005439835351450439
Position 1140: 0.005241450878656975
Position 1671: 0.0048897323765529415
Position 1566: 0.004010668969436455
Position 4024: 0.003820965107778924
Position 4254: 0.003317770924162763
Position 741: 0.0032633298352117137
Position 3377: 0.0030791996552401264
Position 2280: 0.0027700570901446975
Position 1587: 0.0024879479454451136
Position 2473: 0.0023721776518591826
Position 423: 0.0023673852910751276
Position 3326: 0.001220303519633948
Position 520: 0.0011341146229922557
Position 1458: 0.0010945342664985549
Position 4406: 0.0009918043515164308
Position 219: 0.0009762486315845969
Position 3039: 0.0009162232124321656
Position 1629: 0.0008299040546584425
Position 4003: 0.0008000669342532163
Position 680: 0.0007781901857635559
Position 2134: 0.0007671506345990966
Position 1192: 0.0006545331812218344
Position 1919: 0.0004737825395592862
Position 287: 0.0003989757720576661
Position 2017: 0.0003796145519998293
Position 788: 0.0003490859052093899
Position 203: 0.0002972308691386628
Position 237: 0.00028660311133156036
Position 3802: 0.00023637670468489868
