Gene = Mrtf
index = 1286
Annotated 5SS: [ 4914 37892 38117 41860]
Annotated 3SS: [37066 37975 41793 42477]
SMsplice 5SS: [  279 37892 38117 41860]
SMsplice 3SS: [37066 37975 41793 42477]
top_k =  100
Partition function (log Z): -51.55032027710034

Sorted 5' Splice Sites (High to Low Probability):
Position 279: 0.7944974261676266
Position 911: 0.3900567739752687
Position 402: 0.19861057286589348
Position 356: 0.004319634235118019
Position 345: 0.0008222077256571944
Position 360: 0.0006623107003699023
Position 330: 0.0005116012063108411
Position 269: 0.00029770548561761415
Position 340: 8.194509615210062e-05
Position 334: 5.9078331691740005e-05
Position 110: 2.9223264930114086e-05
Position 27: 2.6449018183668733e-05
Position 32: 1.7825865617512537e-05
Position 10: 1.6576939893266208e-05
Position 351: 1.2727502616610873e-05
Position 134: 1.0794242990370066e-05
Position 38: 9.883788497102394e-06
Position 332: 8.361285105701378e-06
Position 50: 5.668820212374489e-06
Position 2938: 1.271606438026905e-08
Position 954: 1.1170231676312827e-08
Position 1136: 1.0175385032699337e-08
Position 2048: 8.60961699950694e-09
Position 772: 3.737796983097322e-09
Position 958: 1.0651230008380138e-09
Position 932: 6.664182464250212e-10
Position 1086: 4.307876058862444e-10
Position 1531: 7.113426705878318e-11
Position 904: 1.2610145736435122e-11
Position 868: 6.358360915239538e-12
Position 906: 6.29623967169168e-12
Position 876: 4.7035923076367066e-12
Position 646: 4.639641037494899e-12
Position 783: 2.684627864111851e-12
Position 699: 2.6336363281546e-12
Position 141: 2.275893022049398e-13
Position 119: 1.5359983819006334e-13
Position 147: 1.4691792516704313e-13
Position 79: 5.185376858699453e-14
Position 349: 4.4506207968938645e-14
Position 149: 4.045660477337097e-14
Position 310: 3.1888536273355525e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 17913: 0.9999845656840243
Position 464: 0.3877388343179198
Position 738: 0.0023182128128253644
Position 8286: 1.3758765197940385e-05
Position 7706: 1.2125413385616435e-06
Position 1041: 4.6029339173419613e-08
Position 3795: 3.8066228858654184e-08
Position 1759: 3.49082371332619e-08
Position 2591: 3.2374627248465026e-08
Position 3028: 2.728565826970537e-08
Position 1206: 2.044058312038865e-08
Position 1292: 1.4987468080236037e-08
Position 1638: 5.914131726378309e-09
Position 2123: 3.391549089206987e-09
Position 2312: 3.194846855164e-09
Position 468: 1.1870318755064008e-09
Position 1493: 1.1330459464809639e-09
Position 992: 8.43001088410074e-10
Position 405: 5.967550835413799e-10
Position 771: 5.470253733875666e-10
Position 79: 6.312635788601668e-11
Position 345: 6.126094136844772e-11
Position 340: 3.4000758270495037e-11
Position 759: 1.5071792909478004e-11
Position 173: 3.2143339804640308e-12
Position 206: 1.5664159565601269e-12
Position 176: 1.5639860333742774e-12
Position 470: 2.656401227361952e-13
