Gene = hid
index = 1727
Annotated 5SS: [  850 12595 13582]
Annotated 3SS: [12086 13268 15549]
SMsplice 5SS: [  850 12595 13582]
SMsplice 3SS: [12086 13268 15549]
top_k =  100
Partition function (log Z): -4.1978804793296565

Sorted 5' Splice Sites (High to Low Probability):
Position 850: 0.9991970502848558
Position 12595: 0.9726367220926554
Position 13582: 0.9686114578346088
Position 15884: 0.1049249248030964
Position 4574: 0.10431164679215699
Position 1036: 0.06528555044549281
Position 4469: 0.04135376749957448
Position 1133: 0.02399349742764643
Position 1653: 0.02131573225776146
Position 14713: 0.019270774726428144
Position 14654: 0.016528252907943297
Position 14060: 0.015390027877727617
Position 28: 0.014929057495092966
Position 3427: 0.0037906591730540802
Position 13645: 0.003649058526726484
Position 322: 0.0025884087391190975
Position 15646: 0.0025740360887671456
Position 14782: 0.0023482576224882726
Position 13631: 0.002055512064772275
Position 14666: 0.001549693520567921
Position 14002: 0.00150027460417973
Position 369: 0.0006912943629961431
Position 818: 0.0004816604025072118
Position 256: 0.00025327705984382927
Position 900: 0.0002403654291420789
Position 194: 9.985827042189167e-05
Position 70: 5.2122929839048315e-05
Position 59: 5.0958051345775846e-05
Position 259: 3.97086567423583e-05
Position 150: 3.5833977173200463e-05
Position 157: 2.3565293515374493e-05
Position 254: 1.8378523411127407e-05
Position 847: 1.4906069750221243e-05
Position 35: 1.1029715865587551e-05
Position 904: 8.838625894291704e-06
Position 822: 3.3495563260999163e-06
Position 898: 2.4334167294873682e-06
Position 830: 2.4285133192426426e-06
Position 854: 1.4612517217395303e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 12086: 0.9759477788413287
Position 15549: 0.9690666513690941
Position 13268: 0.9441132985076611
Position 4339: 0.14202439145274276
Position 947: 0.09252912020574354
Position 13792: 0.04746137548623777
Position 17096: 0.041018996909546586
Position 15957: 0.04073295071590933
Position 13713: 0.026966505407274226
Position 16181: 0.01979920491465352
Position 13230: 0.018404370153021057
Position 925: 0.011953669891257823
Position 418: 0.009565255195044038
Position 13242: 0.009189508979712279
Position 386: 0.006929241941610271
Position 16617: 0.0037253871261750163
Position 3582: 0.0036410235315627315
Position 16533: 0.003285350865384137
Position 1329: 0.0022383666463246816
Position 16444: 0.002112357462063906
Position 912: 0.002099470659484159
Position 3165: 0.001995664180186544
Position 176: 0.0019077863905990766
Position 1201: 0.0018788866619696477
Position 15941: 0.0017818225470948184
Position 15133: 0.0015376764217083726
Position 15558: 0.001536973019884625
Position 15707: 0.00146292078937779
Position 15753: 0.0011111152993893583
Position 14896: 0.0008224356680616402
Position 3112: 0.0006839029160974223
Position 2727: 0.0006800323169707665
Position 13775: 0.00044022908517023256
Position 1428: 0.00011994528101940678
Position 14148: 0.00011624652704249681
Position 369: 0.00010571012782247544
Position 13904: 0.0001001841915262527
Position 13949: 9.471398478345706e-05
Position 415: 9.354129232129715e-05
Position 1528: 9.32876041700673e-05
Position 13841: 9.237584283390142e-05
Position 100: 8.920356782229876e-05
Position 1079: 8.782154991863946e-05
Position 13653: 8.541500155016631e-05
Position 405: 8.051957949128549e-05
Position 12669: 3.314678261834838e-05
