Gene = Nelf-E
index = 1314
Annotated 5SS: [ 217  793 1049]
Annotated 3SS: [ 274  881 1112]
SMsplice 5SS: [ 217  793 1049]
SMsplice 3SS: [ 274  881 1112]
top_k =  100
Partition function (log Z): 8.287944367301275

Sorted 5' Splice Sites (High to Low Probability):
Position 1049: 0.9993053155119642
Position 793: 0.9976085880655149
Position 217: 0.9963380341770008
Position 50: 0.03064309644864523
Position 12: 0.0010885177670656634
Position 195: 0.0008658282127596214
Position 1160: 0.00022905996376396776
Position 647: 0.00018024384704088995
Position 816: 0.00017464394548837996
Position 1203: 0.00014896751115155217
Position 797: 0.00011188020422376376
Position 973: 7.082855629280394e-05
Position 810: 5.2517132028595934e-05
Position 363: 4.389990954938201e-05
Position 108: 2.93920327145077e-05
Position 368: 2.6127629055110335e-05
Position 716: 2.1255820408963304e-05
Position 18: 2.095583974662349e-05
Position 1240: 2.0172347059505056e-05
Position 555: 1.808079504844598e-05
Position 764: 1.6362155902224138e-05
Position 93: 1.117851347908884e-05
Position 1038: 9.449070395819933e-06
Position 1053: 8.451755037896902e-06
Position 1134: 5.86977449288553e-06
Position 339: 5.014979628825914e-06
Position 1060: 4.909723172675592e-06
Position 1062: 4.0492484269815336e-06
Position 87: 3.418659290160388e-06
Position 139: 1.716283118455643e-06
Position 1258: 1.7035657855277252e-06
Position 952: 8.158871496030669e-07
Position 1033: 5.584340696923045e-10
Position 1026: 5.387158993280055e-10
Position 703: 3.9484520681201933e-13
Position 978: 2.2112326070689115e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1112: 0.9989125660646824
Position 274: 0.9949070161319873
Position 881: 0.964860692539891
Position 122: 0.025527662528262902
Position 972: 0.023605319913922403
Position 849: 0.008638841793275868
Position 119: 0.004669033659911498
Position 280: 0.0024417243658546627
Position 90: 0.0009850992637077463
Position 919: 0.0006177280824097599
Position 1240: 0.0003563132530645801
Position 93: 0.00017169785542946398
Position 1258: 0.00016936024957153267
Position 1137: 0.0001433688329080749
Position 1132: 0.00012378188343229715
Position 715: 0.00011219158871829835
Position 978: 8.74759688845207e-05
Position 172: 8.319864721417499e-05
Position 526: 7.717862520528868e-05
Position 1033: 7.347578550399038e-05
Position 1216: 7.085662137990715e-05
Position 912: 5.833576218118639e-05
Position 415: 5.163758385780891e-05
Position 948: 5.160717421995416e-05
Position 260: 4.963305357425428e-05
Position 1324: 3.543597580151651e-05
Position 1339: 2.8158096211631564e-05
Position 508: 2.5750883939835728e-05
Position 412: 2.4001020968544283e-05
Position 337: 2.338280310907779e-05
Position 1246: 1.7529287660475546e-05
Position 1119: 1.244819676151008e-05
Position 1370: 1.0625316400376188e-05
Position 445: 9.09995816502039e-06
Position 613: 7.47014607457965e-06
Position 290: 5.868905412798285e-06
Position 418: 5.805296198784327e-06
Position 298: 4.4032959592439295e-06
Position 1189: 3.681292244003261e-06
Position 1175: 3.0094059157676667e-06
Position 455: 2.5635518885977315e-06
Position 999: 1.6116679625431395e-06
Position 739: 1.235475023068097e-06
Position 174: 1.169867690956909e-06
Position 307: 7.230845933448714e-07
Position 189: 3.6661288029967204e-07
Position 195: 1.7361519264767892e-07
Position 210: 3.5444738078668734e-08
Position 201: 1.7933038146083505e-13
Position 177: 1.482394126221604e-13
