Gene = ND-SGDH
index = 1305
Annotated 5SS: [268 569 747]
Annotated 3SS: [338 639 805]
SMsplice 5SS: [268 569 747]
SMsplice 3SS: [338 639 805]
top_k =  100
Partition function (log Z): 4.881647623159161

Sorted 5' Splice Sites (High to Low Probability):
Position 569: 0.9918974532371078
Position 268: 0.987160435271768
Position 747: 0.98508533148769
Position 559: 0.0018142671312026775
Position 952: 0.0012222980910284722
Position 449: 0.0009861597487170139
Position 415: 0.000981358717838626
Position 1002: 0.0007963710459640594
Position 294: 0.0006494305036249131
Position 101: 0.0005708877168645705
Position 610: 0.0003175706934445598
Position 109: 0.00017848084902587986
Position 974: 0.00016306577569401244
Position 424: 0.00012481135015889535
Position 90: 9.664659868595015e-05
Position 1004: 7.471502766581248e-05
Position 186: 7.241263803126263e-05
Position 990: 6.531834968582637e-05
Position 156: 5.492191369513329e-05
Position 257: 4.09848637552026e-05
Position 887: 1.9227057867584674e-05
Position 190: 1.0820058396212026e-05
Position 103: 9.997446360693108e-06
Position 20: 9.399017944217724e-06
Position 221: 8.954505609010327e-06
Position 782: 8.49967861898887e-06
Position 116: 4.6333141044960366e-06
Position 822: 2.143072523207518e-06
Position 461: 1.3163615331653498e-06
Position 503: 6.35949913289104e-07
Position 62: 2.5354408625807735e-08
Position 143: 1.1434193407095902e-08
Position 199: 1.0646590688182018e-09
Position 240: 4.4761067874955344e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 805: 0.9979978649162591
Position 639: 0.9752659671465415
Position 338: 0.8768682487928907
Position 352: 0.09748282268691884
Position 415: 0.010885852746294408
Position 687: 0.005986414359355568
Position 470: 0.0024564515528214537
Position 517: 0.0013710660578162214
Position 1061: 0.0011872149533853108
Position 179: 0.000744849151075595
Position 1081: 0.0006822851657138
Position 360: 0.0006502250183717431
Position 1064: 0.0003701227481176154
Position 400: 0.00018743818409188852
Position 1002: 9.731611993307515e-05
Position 143: 7.789360782051166e-05
Position 857: 4.958758729015293e-05
Position 620: 3.467120133448819e-05
Position 815: 9.66915194242986e-06
Position 82: 9.336734115396241e-06
Position 978: 6.199433279174908e-06
Position 723: 4.8814084338864996e-06
Position 221: 1.032222506665311e-06
Position 196: 4.0520997113437644e-07
Position 249: 3.459161979616402e-07
Position 160: 2.4703643326393335e-07
Position 229: 1.636172591035345e-07
Position 101: 1.2490824849950173e-08
Position 251: 1.555469003598855e-10
