Gene = l(2)k05819
index = 1748
Annotated 5SS: [ 294  983 1755 1977 2711 4879 5104 5405]
Annotated 3SS: [ 348 1039 1813 2613 2772 4940 5157 5464]
SMsplice 5SS: [ 294  983 1755 2711 4879 5104 5405]
SMsplice 3SS: [ 348 1039 1813 2772 4940 5157 5464]
top_k =  100
Partition function (log Z): 4.505174344753833

Sorted 5' Splice Sites (High to Low Probability):
Position 294: 0.9999528624189916
Position 2711: 0.996194491567567
Position 4879: 0.9826583030178763
Position 5405: 0.9788808573316916
Position 5104: 0.9635423051500152
Position 983: 0.9009384951189594
Position 1755: 0.49881766935278576
Position 1977: 0.11572204030754915
Position 3645: 0.053601130750388595
Position 2234: 0.05332874851528212
Position 2833: 0.04004519444913723
Position 1494: 0.03878997302517861
Position 3307: 0.03613162505688875
Position 1932: 0.032599162463612504
Position 3560: 0.025643979186546307
Position 3355: 0.025567712789111095
Position 2003: 0.014488682561002867
Position 5409: 0.009467832697442218
Position 5684: 0.007553284896035293
Position 2839: 0.00685199578947878
Position 3322: 0.006195238138528206
Position 5908: 0.0036076158871788423
Position 5791: 0.003456925908737244
Position 5580: 0.002170818673893954
Position 5642: 0.0019309495055262315
Position 6213: 0.001235398087497573
Position 1445: 0.0007775245345868077
Position 5666: 0.0004058758448385379
Position 3110: 0.0003925433914478894
Position 1529: 0.0003263797033707219
Position 1451: 0.0002729304202773295
Position 2859: 4.669892184171651e-05
Position 1581: 3.53165289999801e-05
Position 3116: 2.3611719267465153e-05
Position 385: 2.1889968943592434e-05
Position 5266: 9.769414201505415e-06
Position 5365: 9.731850185469543e-06
Position 1938: 8.369779295503254e-06
Position 1915: 6.0952381635301056e-06
Position 298: 5.125903893256881e-06
Position 2573: 3.1952297556377218e-06
Position 217: 2.3719539695917876e-13
Position 91: 2.3553845626057103e-13
Position 256: 7.478989148689352e-14
Position 230: 2.40368685907537e-14
Position 79: 2.3031760557654284e-14
Position 164: 1.6429432433757144e-14
Position 95: 8.395372657214593e-15
Position 182: 4.240738619453908e-15
Position 5: 1.1984546347833296e-15
Position 11: 1.0383609784065388e-15
Position 132: 3.693616758976687e-16
Position 30: 1.167145882434324e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 2772: 0.999981302724053
Position 5464: 0.9888047372333388
Position 4940: 0.9663372413508651
Position 5157: 0.9439519463223698
Position 348: 0.9255480069145238
Position 1039: 0.6385037666011885
Position 1813: 0.6375870709582453
Position 2613: 0.08040889317305452
Position 2070: 0.07540263680241727
Position 2312: 0.06173488458891355
Position 1550: 0.05581638040152943
Position 3407: 0.05446970694690045
Position 3727: 0.04808572438209949
Position 2910: 0.046810659420527125
Position 3706: 0.04491954909201554
Position 670: 0.04299486514383999
Position 1377: 0.03955594138941075
Position 5253: 0.03518031367407821
Position 2260: 0.029933648846925655
Position 2475: 0.02050891493249082
Position 2451: 0.019121088915574194
Position 2007: 0.014924657741106143
Position 5975: 0.007816532612364905
Position 5732: 0.005799798089332756
Position 6246: 0.0036328822213790527
Position 5636: 0.002170818673893954
Position 423: 0.0020838674972201367
Position 845: 0.0014222258851892223
Position 455: 0.001260901266958467
Position 6274: 0.0012353980874975734
Position 639: 0.0011112686070498328
Position 897: 0.0007614998033374957
Position 1276: 0.000610588263111311
Position 542: 0.0004979398749496177
Position 616: 0.00038263884014893266
Position 946: 0.0003784471496249925
Position 393: 0.0003601438155382682
Position 1354: 0.00034009864466034696
Position 382: 0.0003382023611588921
Position 587: 0.00028135701138626935
Position 3189: 0.00023278762703941248
Position 420: 0.000160568991773137
Position 973: 0.00010975357450104906
Position 970: 2.7771445320468634e-05
Position 435: 2.644335655297252e-05
Position 523: 2.4317401155402385e-05
Position 821: 2.0926589600263105e-05
Position 556: 1.8736557039923866e-05
Position 784: 1.6926028346691273e-05
Position 595: 1.3573264998346382e-05
