Gene = Ir31a
index = 1236
Annotated 5SS: [ 335  873 1738 2086 2421]
Annotated 3SS: [ 387  933 1798 2280 2480]
SMsplice 5SS: [ 873 1738 2212 2421]
SMsplice 3SS: [ 933 1798 2280 2480]
top_k =  100
Partition function (log Z): 2.0175712351295063

Sorted 5' Splice Sites (High to Low Probability):
Position 1738: 0.9987215451257753
Position 2212: 0.8660083268529761
Position 873: 0.84382182226292
Position 335: 0.705464132982696
Position 2421: 0.6662233668894173
Position 1298: 0.25608370228771987
Position 2086: 0.14288580151395305
Position 569: 0.10201451125868714
Position 2378: 0.09164379747330433
Position 513: 0.04826040311013059
Position 618: 0.012026159073255252
Position 2024: 0.006854501409636471
Position 2427: 0.006115031529405062
Position 1567: 0.005967737791973578
Position 203: 0.005919281665623434
Position 363: 0.00548305618321255
Position 877: 0.005230209180032764
Position 182: 0.002735004325528919
Position 49: 0.0012511152055162443
Position 1742: 0.000820393895857256
Position 2408: 0.0005516068316936939
Position 2013: 0.00043062202643542045
Position 65: 0.0003232331186791062
Position 2393: 0.00026125131343150324
Position 268: 0.00017264895914818833
Position 236: 0.00017136294576642193
Position 1958: 0.00014255372938420325
Position 96: 0.00011673089883800216
Position 287: 8.105921510821528e-05
Position 292: 4.845594607508422e-05
Position 251: 1.814395436246797e-05
Position 265: 1.8033875244093613e-05
Position 2115: 9.485659815551515e-06
Position 280: 3.37202024792066e-06
Position 1295: 3.567790981073973e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2280: 0.989584829347677
Position 1798: 0.8790055256673927
Position 933: 0.8433005787391179
Position 2480: 0.7441100268163595
Position 387: 0.26371673132887813
Position 1364: 0.23573779729036629
Position 693: 0.17961881687760675
Position 441: 0.12110919464230646
Position 457: 0.08832022766530079
Position 1881: 0.08347380720981686
Position 1500: 0.06576957875219024
Position 668: 0.05014408747445002
Position 1967: 0.03505575924142875
Position 1091: 0.025539165091577776
Position 555: 0.024092483035449367
Position 2446: 0.02312003214510466
Position 396: 0.022886964898655212
Position 568: 0.018710819962322267
Position 2148: 0.015849622718674596
Position 904: 0.01289712063953718
Position 590: 0.011002833057497479
Position 1546: 0.009442232324224193
Position 726: 0.007840164198699229
Position 1648: 0.005964717210900541
Position 2084: 0.005540145679616638
Position 2296: 0.0034195879061794036
Position 911: 0.0023948502272445695
Position 765: 0.0019460791562652606
Position 523: 0.0019278110840278819
Position 1824: 0.0016686888409256661
Position 103: 0.000861579730044723
Position 287: 0.0005570547090956446
Position 334: 0.00048663978730755793
Position 223: 0.0002568715443107264
Position 133: 0.00019488005201577735
Position 203: 6.369280556161152e-05
Position 2242: 5.448154158715084e-05
Position 1832: 5.4138350703573064e-05
Position 170: 4.824454476114363e-05
Position 229: 3.428974089606114e-05
Position 167: 2.7484849100810055e-05
Position 292: 2.258948219551725e-05
Position 136: 2.0888728019739814e-05
Position 259: 4.469509337906825e-06
Position 303: 8.759427980641648e-07
