Gene = Eaf6
index = 1146
Annotated 5SS: [214 495 749]
Annotated 3SS: [280 616 834]
SMsplice 5SS: [214 495 749]
SMsplice 3SS: [280 616 834]
top_k =  100
Partition function (log Z): 6.020667993217148

Sorted 5' Splice Sites (High to Low Probability):
Position 749: 0.9985367437662495
Position 495: 0.9936363352050496
Position 214: 0.9647002785654984
Position 499: 0.001164083267719488
Position 1033: 0.001065909513534639
Position 565: 0.0007228712460752486
Position 1070: 0.00045355068389268537
Position 533: 0.00033531031986637933
Position 563: 0.00010119006120464832
Position 463: 9.625048342513768e-05
Position 433: 5.540392514270116e-05
Position 597: 3.371417040871829e-05
Position 967: 1.8723997135490978e-05
Position 1031: 6.229734506691713e-06
Position 83: 6.108204836681046e-06
Position 518: 5.963359912982442e-06
Position 898: 4.977258413912475e-06
Position 520: 4.874076364465176e-06
Position 177: 2.9428865662468677e-06
Position 531: 1.952593831668651e-06
Position 349: 1.4387175334698427e-06
Position 988: 1.2152608071328093e-06
Position 346: 1.149459359864537e-06
Position 91: 5.150805933949897e-07
Position 10: 4.160230112769746e-07
Position 123: 3.1137080219848334e-07
Position 40: 1.8598739648529926e-07
Position 18: 1.8118498364698085e-07
Position 801: 7.235201020044517e-10
Position 265: 1.1906977704813166e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 834: 0.9992091402957977
Position 280: 0.9585255997030653
Position 616: 0.8585493762283297
Position 583: 0.10416098124483789
Position 561: 0.015912900618929735
Position 545: 0.01069161801158776
Position 655: 0.0037186076152059397
Position 307: 0.003061370084216039
Position 558: 0.0018718577723911205
Position 1125: 0.0011310861591101932
Position 687: 0.0009756687016743405
Position 672: 0.0005953878781542755
Position 397: 0.0005880258487004596
Position 662: 0.0004344302112212933
Position 335: 0.0003706256242116212
Position 1102: 0.00036297589735026677
Position 346: 0.00021228696437659736
Position 796: 0.0001453241423856228
Position 898: 0.00013133759447961623
Position 1111: 7.813549741450937e-05
Position 967: 5.823791528316587e-05
Position 862: 5.051739462751244e-05
Position 301: 3.9415188871106276e-05
Position 629: 2.5677339375278583e-05
Position 867: 2.207572237517465e-05
Position 412: 1.3036714748542431e-05
Position 801: 7.91641958302831e-06
Position 151: 4.960446100415342e-06
Position 621: 3.877847286810592e-06
Position 857: 2.8303256385210484e-06
Position 421: 1.1342734302527693e-06
Position 468: 7.734743353300511e-07
Position 463: 6.401410103328887e-07
Position 247: 4.5303456138158633e-07
Position 95: 3.1574779343753555e-07
Position 114: 8.015844872630185e-08
Position 433: 3.143297581313329e-08
Position 123: 2.6957712680308507e-08
Position 439: 2.3572075341491906e-08
Position 83: 2.033483275873594e-08
Position 376: 1.4328287674195035e-08
Position 322: 1.1772006185501254e-08
Position 137: 9.661480728093754e-09
Position 120: 5.5597932310606106e-09
Position 442: 1.1742600693829468e-09
Position 337: 1.0872402124218384e-09
Position 52: 8.520724786405851e-10
Position 177: 8.454939330557932e-10
Position 71: 8.446983875476684e-10
Position 448: 1.4826875656147906e-10
Position 368: 1.264405259172218e-10
Position 195: 7.892478207919156e-11
Position 726: 4.8158722541462746e-11
Position 198: 3.813014796285412e-11
Position 201: 2.788076087019396e-11
