Gene = Chs2
index = 1071
Annotated 5SS: [  77  381  612 1207 1515 2178 2851 3917 5955]
Annotated 3SS: [ 138  438 1079 1307 2001 2286 3666 4724 6100]
SMsplice 5SS: [  77  381  612 1207 1515 2178 2851 3917 5955]
SMsplice 3SS: [ 138  438 1052 1307 2001 2286 3666 5829 6100]
top_k =  100
Partition function (log Z): 8.646113480145464

Sorted 5' Splice Sites (High to Low Probability):
Position 2178: 0.9955531002136573
Position 5955: 0.9726515712051437
Position 381: 0.9639144547992894
Position 77: 0.9184195164163028
Position 2851: 0.8334960191018691
Position 1515: 0.8198783986520937
Position 1207: 0.8067163585976033
Position 612: 0.7327837162592167
Position 3917: 0.7242654281026979
Position 2416: 0.29024899889541045
Position 5623: 0.11126902214298852
Position 2447: 0.09211222100462252
Position 4679: 0.07283778568605481
Position 3195: 0.061459957323611834
Position 4359: 0.06003868061318714
Position 7192: 0.03085395466515967
Position 7245: 0.02248212378166151
Position 565: 0.021709671610382633
Position 3921: 0.017739184466322007
Position 81: 0.014929986246651011
Position 3751: 0.008608879061996028
Position 3088: 0.007114408624666016
Position 1558: 0.007094236098744787
Position 633: 0.00683438219308159
Position 616: 0.005918215843337815
Position 385: 0.005200760347697725
Position 733: 0.005176767878925959
Position 365: 0.005082236275187438
Position 376: 0.0034471480052384366
Position 603: 0.0033917527311311544
Position 659: 0.00283029113760188
Position 2134: 0.0027700912859485393
Position 55: 0.002606853343511024
Position 2895: 0.0024853766283537723
Position 73: 0.0014574559954137558
Position 342: 0.001170610814552377
Position 4801: 0.00011718150761332009
Position 367: 0.00010581158008039859
Position 390: 9.001246552452386e-05
Position 119: 1.85662697119983e-05
Position 85: 1.8470695388830246e-05
Position 1550: 5.217365205221804e-06
Position 281: 1.45162929288984e-07
Position 301: 1.131517230924969e-07
Position 359: 1.0551538164623325e-07
Position 105: 8.18063283706338e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2286: 0.9852980189413477
Position 6100: 0.9319453031259458
Position 3666: 0.8863008136650081
Position 138: 0.8616786172031417
Position 438: 0.839973452211699
Position 1307: 0.783314737524335
Position 2001: 0.6823378919813765
Position 4724: 0.5982513743003408
Position 5829: 0.47526974922774295
Position 1052: 0.3352276909717517
Position 441: 0.13748836481024873
Position 1905: 0.137160467234522
Position 1079: 0.13567607447080912
Position 2469: 0.12204034817066128
Position 1627: 0.08146471530375991
Position 862: 0.08007211650639846
Position 178: 0.06899895344823205
Position 2938: 0.0545272509653429
Position 2718: 0.031348733027495586
Position 1653: 0.030786989166295266
Position 796: 0.030571022568032912
Position 6073: 0.028982687693445048
Position 7454: 0.023943171678954593
Position 1256: 0.02203763812003989
Position 884: 0.019646365175718772
Position 6022: 0.01928544814134702
Position 2509: 0.019069870331893887
Position 1677: 0.018614873316580325
Position 2478: 0.017972239245678135
Position 7337: 0.016007706734113634
Position 2501: 0.014608728120988767
Position 968: 0.014285927321374148
Position 4234: 0.012372606994600174
Position 7312: 0.01227739512063394
Position 2547: 0.010543348465060524
Position 6117: 0.01050934224554518
Position 1569: 0.009595381468371264
Position 924: 0.008471817183604128
Position 2475: 0.006918724731608783
Position 2976: 0.0055673302097505395
Position 2229: 0.0051198953266240145
Position 2245: 0.004824293473755653
Position 2320: 0.00435117524739256
Position 890: 0.0041979322228701595
Position 842: 0.0028453896166845136
Position 142: 0.0027643368719118297
Position 4220: 0.0027578058221297296
Position 2969: 0.0024653169224873265
Position 993: 0.0022037490067535128
Position 769: 0.002202433904643146
Position 1690: 0.0021357000505884114
Position 984: 0.0020163978487854443
Position 715: 0.0018848024916281565
Position 1586: 0.0017614298796565578
Position 3505: 0.0017144159369508506
Position 119: 0.001674314230255465
Position 2986: 0.0016681518552889235
Position 895: 0.0012752004474028608
Position 7521: 0.0011078049131189815
Position 952: 0.0010104384373321523
Position 929: 0.0009900581666964317
Position 832: 0.000937306875625213
Position 411: 0.0007999085085192805
Position 839: 0.0007681381909182127
Position 2894: 0.0003251251652262362
Position 2325: 0.00017291119261038902
Position 2357: 0.0001260282012099759
Position 145: 0.00010313567123729937
Position 2261: 7.677209613475534e-05
Position 253: 6.991598094446216e-05
Position 196: 4.285992952473512e-05
Position 2344: 3.09055209225613e-05
Position 808: 1.8605636704322555e-05
Position 341: 8.319221726474826e-06
Position 244: 6.542784161717839e-06
Position 226: 4.174017804524573e-06
Position 459: 2.6179091449540384e-07
