Gene = Diap1
index = 1135
Annotated 5SS: [577]
Annotated 3SS: [10968]
SMsplice 5SS: [577]
SMsplice 3SS: [10968]
top_k =  100
Partition function (log Z): -13.835631194808844

Sorted 5' Splice Sites (High to Low Probability):
Position 577: 0.999995757665225
Position 10597: 0.18149053831706163
Position 4550: 0.0017293790584677407
Position 3814: 3.3088820212845714e-05
Position 1173: 5.246023645305445e-06
Position 29: 2.489192727616906e-06
Position 26: 1.8206378554987101e-06
Position 339: 8.437591353981138e-07
Position 15: 2.2105394949927705e-07
Position 17: 6.936785802989705e-08
Position 33: 5.919520912257925e-08
Position 403: 3.0104267277233035e-08
Position 81: 2.6165711409601385e-08
Position 157: 1.2895487982376365e-08
Position 581: 1.1749458354614425e-08
Position 367: 5.483443130050503e-09
Position 417: 5.088472961892048e-09
Position 373: 3.1300444582062627e-09
Position 595: 2.9244038961277706e-09
Position 412: 2.052511246045612e-09
Position 552: 1.612443690833646e-09
Position 483: 1.3860728925581466e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 10968: 0.6956245753233392
Position 10115: 0.2706067953332576
Position 10349: 0.14620764809092654
Position 7916: 0.03200367510517185
Position 9421: 0.020002971962574237
Position 7962: 0.006716884691051007
Position 7968: 0.002711566419833836
Position 6343: 0.0025661250825617502
Position 6639: 0.0017611444467761125
Position 4134: 0.001257069145403247
Position 7575: 0.001094467761635747
Position 6273: 0.0008418902656708776
Position 6928: 0.0006399111033268358
Position 4200: 0.00021380883352104744
Position 3345: 0.00017432008968635518
Position 4337: 0.00014943778769531497
Position 5591: 0.00014351146313085772
Position 4103: 0.00013737575744436983
Position 3301: 0.000118915935937318
Position 3742: 8.680777318616086e-05
Position 4736: 8.113373044553129e-05
Position 622: 3.2296101064652067e-05
Position 1166: 2.531515069826903e-05
Position 676: 1.8730894404006145e-05
Position 2592: 1.2370307787457923e-05
Position 1238: 6.996576665676775e-06
Position 832: 4.7555250639418325e-06
Position 123: 4.439493095318369e-06
Position 746: 3.919894298048016e-06
Position 1559: 3.013091795360165e-06
Position 1553: 2.891526154725216e-06
Position 1419: 1.2328298680250292e-06
Position 928: 9.010938914032942e-07
Position 1207: 8.449287446846123e-07
Position 884: 7.015317396787651e-07
Position 1422: 5.23409002130592e-07
Position 397: 2.2847801582294298e-07
Position 433: 1.30408498789932e-07
Position 257: 1.2076972876129922e-07
Position 128: 7.03449814935235e-08
Position 103: 4.1859699194242614e-08
Position 449: 2.350688233551254e-08
Position 130: 8.077022888147027e-09
Position 480: 7.477828320833391e-09
Position 81: 5.170576812588904e-09
Position 275: 4.741753408830497e-09
Position 235: 4.636502278568857e-09
Position 334: 1.7553268365321511e-09
