Gene = dpr19
index = 1674
Annotated 5SS: [ 386 1221 1775 2054 2232 2697]
Annotated 3SS: [1079 1628 1842 2119 2322 2754]
SMsplice 5SS: [ 717 1775 2054 2232 2697]
SMsplice 3SS: [1628 1842 2119 2322 2754]
top_k =  100
Partition function (log Z): 5.169577755864271

Sorted 5' Splice Sites (High to Low Probability):
Position 1775: 0.9969742121444848
Position 2697: 0.9797833551770811
Position 2054: 0.9069358506355113
Position 2232: 0.8685901697016307
Position 717: 0.7370597309164415
Position 1349: 0.13943792873179986
Position 1221: 0.08879007174059153
Position 273: 0.08564778607829007
Position 386: 0.08507819059739259
Position 2259: 0.06467021950165035
Position 2964: 0.024341457235386672
Position 153: 0.02134016828893924
Position 2250: 0.019630272707134314
Position 3018: 0.015879064393297865
Position 2591: 0.013950917299172602
Position 52: 0.006132361665576493
Position 3138: 0.0042393081995302844
Position 789: 0.0023524238175914747
Position 743: 0.001993574641637044
Position 509: 0.0017991381638959407
Position 3525: 0.001095101202814217
Position 3317: 0.000979220552640899
Position 1416: 0.0009034445535762761
Position 532: 0.0008745919297303365
Position 3541: 0.0008038883961556276
Position 1099: 0.0007423896509318013
Position 1988: 0.0006971246040740715
Position 2000: 0.0005621565242161232
Position 1757: 0.0004713678077393841
Position 2096: 0.00022648156602260154
Position 572: 0.00015197259939930146
Position 578: 0.00012660601672662058
Position 2224: 0.00012012428343914743
Position 2050: 9.97056345825702e-05
Position 2032: 9.617567184207102e-05
Position 566: 7.863541007186886e-05
Position 355: 6.856245252748585e-05
Position 1665: 3.361362282154469e-05
Position 2007: 2.953082847079739e-05
Position 594: 2.247923041194503e-05
Position 2681: 1.4525903918097859e-05
Position 107: 1.1843823245445089e-05
Position 2615: 4.100703713235832e-06
Position 2125: 1.6322650484812416e-06
Position 2595: 1.4565547961668702e-06
Position 2606: 6.23359280638179e-07
Position 2597: 4.872649072660927e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 2754: 0.9934877546422565
Position 1842: 0.9842776404766032
Position 1628: 0.9835577118341989
Position 2322: 0.9672307936415363
Position 2119: 0.815963346458318
Position 2122: 0.0639994403258714
Position 1079: 0.05080582357741123
Position 1206: 0.03520227238020131
Position 1013: 0.02620413474247124
Position 3084: 0.023922913988628218
Position 869: 0.01441976059550923
Position 1823: 0.011922438551891545
Position 643: 0.011856565748412564
Position 597: 0.010534807018965846
Position 2287: 0.010426018185644792
Position 3087: 0.009797474286469241
Position 475: 0.008248970757220806
Position 509: 0.0068485219911490905
Position 838: 0.006016078087471595
Position 3607: 0.005437574011167585
Position 3342: 0.0048374156248062955
Position 1280: 0.0032055230860309485
Position 3098: 0.0022671401531679986
Position 1069: 0.002101735410093565
Position 1230: 0.0020530572913924476
Position 608: 0.0016483461196665674
Position 2334: 0.0016304226429516185
Position 340: 0.0013702985606325615
Position 1592: 0.0013235706771766052
Position 669: 0.0012602231878553847
Position 313: 0.001159138618518118
Position 1872: 0.0011550386835669558
Position 2360: 0.0010912761617626133
Position 3538: 0.0010755219155861929
Position 2401: 0.0009109818018851664
Position 1416: 0.0007346900685849082
Position 1514: 0.0007024199654536143
Position 1348: 0.0006934984849014535
Position 1859: 0.0006515621743901826
Position 2128: 0.0006365825440161113
Position 1901: 0.0006099674274216816
Position 1680: 0.0004937848846215163
Position 250: 0.00031919391609013605
Position 2673: 0.000279308066454971
Position 683: 0.0001883176158577933
Position 1904: 0.0001854137008989552
Position 2038: 4.015964441569471e-05
Position 153: 1.1768050708099845e-05
Position 401: 1.111674470677979e-05
Position 150: 1.1093711821650125e-05
Position 874: 9.932662576886791e-06
Position 889: 9.555085786738576e-06
Position 2777: 5.229409614988914e-06
Position 2141: 3.3677782162507184e-07
Position 205: 1.6526793176866939e-07
Position 386: 1.546495715589557e-07
Position 2421: 6.196000212607804e-08
