Gene = dos
index = 1673
Annotated 5SS: [ 139 3073 3906 4086 4388 5052]
Annotated 3SS: [2747 3138 3973 4146 4450 5107]
SMsplice 5SS: [ 139 3073 3906 4086 4388 5052]
SMsplice 3SS: [2747 3138 3973 4146 4450 5107]
top_k =  100
Partition function (log Z): 11.49247498640489

Sorted 5' Splice Sites (High to Low Probability):
Position 5052: 0.9992274135562249
Position 4388: 0.9932903753775953
Position 3906: 0.98028440996778
Position 3073: 0.9754700930518394
Position 4086: 0.9713509287598258
Position 139: 0.8717933522634908
Position 4562: 0.047260314425272315
Position 332: 0.04602398410249371
Position 4587: 0.0444696703537141
Position 189: 0.03380757983647245
Position 3350: 0.03099753736921719
Position 4082: 0.026644121245305415
Position 1471: 0.0173237357560731
Position 3012: 0.013124389095691864
Position 4726: 0.01243480358387547
Position 163: 0.009860095666054553
Position 478: 0.005575559116654123
Position 185: 0.004822686017215062
Position 502: 0.004242492983935248
Position 3561: 0.003976986823889953
Position 193: 0.0039605448699190655
Position 474: 0.0033112241904004153
Position 4338: 0.0027054102458207384
Position 2200: 0.002695797724686067
Position 1157: 0.002675124173102851
Position 5291: 0.0026555212452677333
Position 1093: 0.0025016073579019723
Position 5192: 0.002330134031373937
Position 2434: 0.0019943929499244366
Position 46: 0.0018023381337733187
Position 2154: 0.0018004357587785025
Position 2187: 0.0014767918993184388
Position 3063: 0.0008236268929461012
Position 5629: 0.0007090673747691658
Position 3294: 0.0005595303013730772
Position 5453: 0.0005442888965039842
Position 5395: 0.0005022170801027113
Position 3365: 0.0004098950391469892
Position 5746: 0.0003098953189727034
Position 5287: 0.00026793932280037424
Position 5854: 0.0002561050554124039
Position 4153: 0.0002493719864245619
Position 5451: 0.0002257564245294642
Position 5780: 0.00021396651929770838
Position 3850: 0.0001882527373848534
Position 5668: 0.00010604741735416296
Position 5793: 9.305425020724603e-05
Position 5411: 6.323872007059781e-05
Position 4090: 5.0368729914598465e-05
Position 4392: 5.005694605994307e-05
Position 4123: 4.9675347138777374e-05
Position 4126: 2.7760346663719037e-05
Position 1371: 1.658923334032168e-05
Position 4306: 3.2142936629912813e-06
Position 3832: 2.5759050313474825e-06
Position 203: 7.796302251315408e-07
Position 187: 2.1465597558692522e-07
Position 143: 1.8291337237686748e-07
Position 4506: 1.7228550423682685e-07
Position 5030: 1.2847350528310117e-07
Position 195: 7.505175034023585e-08
Position 4950: 7.437552164925596e-08
Position 11: 6.642918443863188e-08
Position 4475: 5.9301449301254636e-08
Position 108: 5.406261734742173e-08
Position 15: 4.540091974620102e-08
Position 5056: 4.435309496968894e-08
Position 5171: 2.6196326017234798e-08
Position 4887: 2.0170263311993107e-08
Position 26: 1.711498320873978e-08
Position 197: 1.4174091422089978e-08
Position 31: 9.533681338104974e-09
Position 4759: 9.504865795865336e-09
Position 4863: 2.1849088447312864e-09
Position 4956: 2.0905884998510097e-09
Position 4894: 1.1941322208144522e-09
Position 4051: 6.934163604905818e-10
Position 4981: 1.2060696145970412e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 5107: 0.9970942911224023
Position 3973: 0.9835389997630498
Position 2747: 0.9803140639108936
Position 3138: 0.9473362385911808
Position 4450: 0.9459301997857317
Position 4146: 0.9370670084989253
Position 4647: 0.13733426940680976
Position 4211: 0.05073493709478987
Position 3481: 0.047351264397740976
Position 3413: 0.01436884618661023
Position 2500: 0.014039458764480576
Position 4797: 0.011778817810425599
Position 4171: 0.005866513270413324
Position 4472: 0.005678202855674002
Position 5507: 0.005280135231618283
Position 1302: 0.0050112967513164285
Position 3762: 0.003506814192755364
Position 2337: 0.0032494520360579994
Position 5254: 0.0028083147506868375
Position 1262: 0.002334033402131422
Position 4135: 0.0023003560929014794
Position 3410: 0.002207485637880456
Position 3617: 0.00211719387633618
Position 1287: 0.0019177174524471908
Position 231: 0.001880117773587528
Position 3437: 0.001775236646047446
Position 3614: 0.0014681533629566771
Position 5850: 0.0014546268785521573
Position 3999: 0.0011876723751887124
Position 787: 0.0010885860810849945
Position 3237: 0.0010311021452817863
Position 3057: 0.0009659276060689547
Position 1202: 0.0008615982026269114
Position 1339: 0.0007562949107834811
Position 4153: 0.0006825838970170511
Position 1138: 0.0005382211121854798
Position 1081: 0.0004793274755890384
Position 1188: 0.00044158635008748916
Position 4847: 0.00043449635323550046
Position 1872: 0.0004320966206109897
Position 2286: 0.00035628485379464995
Position 5733: 0.0002878743847268822
Position 5694: 0.00026933273312291324
Position 5973: 0.0002561050554124039
Position 4029: 0.00024019077252788033
Position 275: 0.00023908259074677124
Position 2080: 0.00023626936139960994
Position 1583: 0.00015942910824351882
Position 4986: 0.00015842451552926096
Position 4236: 0.00015657011487017937
Position 4257: 0.0001081452354860722
Position 4239: 0.00010278782840154946
Position 4232: 7.066242226143278e-05
Position 4595: 6.799314641119229e-05
Position 5274: 6.627128392630818e-05
Position 4561: 5.583067213038345e-05
Position 5210: 5.1131645176196656e-05
Position 4281: 4.945453196963915e-05
Position 4126: 3.896693208581536e-05
