Gene = Pi3K21B
index = 1379
Annotated 5SS: [ 524 2039]
Annotated 3SS: [1152 4145]
SMsplice 5SS: [ 524 2039 4823]
SMsplice 3SS: [1152 4145 4883]
top_k =  100
Partition function (log Z): -8.543291125041549

Sorted 5' Splice Sites (High to Low Probability):
Position 2039: 0.9869302438123569
Position 524: 0.5348447831215726
Position 190: 0.29109976300483414
Position 3252: 0.2592174415232481
Position 194: 0.23184091714015703
Position 365: 0.06847280097963515
Position 995: 0.05913375372313249
Position 304: 0.04704682892479234
Position 75: 0.03157388963978095
Position 3134: 0.01638607722539582
Position 688: 0.014986570100859558
Position 278: 0.008998027714691683
Position 90: 0.00834572795108787
Position 2670: 0.006790345387011717
Position 1412: 0.0030945869155224516
Position 1247: 0.0012235092602860618
Position 286: 0.0010774813741102785
Position 565: 0.0010580989555382396
Position 243: 0.0010018157645692834
Position 669: 0.0007011351364583086
Position 77: 0.00026533454475749345
Position 2030: 3.117923644617752e-05
Position 404: 2.8441106320396146e-05
Position 407: 1.0833170275546638e-05
Position 136: 2.351246637058554e-06
Position 18: 4.5018412142551763e-07
Position 40: 1.8439017211458316e-07
Position 113: 2.0086723453879413e-08
Position 110: 1.454437976671072e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1152: 0.9922866394918963
Position 4883: 0.43264648623119323
Position 243: 0.2649339305004487
Position 3009: 0.2115669426831431
Position 7149: 0.15849260523898365
Position 4145: 0.1479345074217003
Position 7350: 0.07778399852951315
Position 3410: 0.05459880004436465
Position 2100: 0.04985598796404588
Position 850: 0.020705720583070717
Position 2867: 0.02014671004812351
Position 4103: 0.01840765572216031
Position 4197: 0.017312680984897737
Position 3072: 0.01670796305020298
Position 3357: 0.012132556061097442
Position 3553: 0.011767226677582714
Position 4849: 0.009260562932117094
Position 2130: 0.00905656836491622
Position 253: 0.008421650555705361
Position 2669: 0.007960746326399053
Position 796: 0.005960615729690565
Position 2162: 0.004439253974298723
Position 3192: 0.004030775319958693
Position 3962: 0.003946834225127781
Position 1766: 0.0035003796584238194
Position 1193: 0.0027020539957755252
Position 147: 0.0019564367551746053
Position 470: 0.001930257644162859
Position 426: 0.0008474098133444236
Position 2357: 0.0008101953173447518
Position 121: 0.0004447788170731929
Position 2919: 0.0004320280265655905
Position 1745: 0.00042821054251420386
Position 302: 0.00027017527239730593
Position 1472: 0.00020397557192189817
Position 1475: 0.000185530402948591
Position 2798: 6.420204072462703e-05
Position 958: 2.775220795296758e-05
Position 438: 9.051706021338244e-07
Position 340: 8.564174524396111e-07
Position 180: 2.6759822557732688e-08
Position 190: 9.528422169178592e-14
