Gene = l(2)gd1
index = 1747
Annotated 5SS: [ 179 1865 2355 2565 3307]
Annotated 3SS: [ 265 1922 2412 3161 3372]
SMsplice 5SS: [ 179 1865 2355 2565 3307]
SMsplice 3SS: [ 265 1922 2412 3215 3372]
top_k =  100
Partition function (log Z): 16.386631648819233

Sorted 5' Splice Sites (High to Low Probability):
Position 3307: 0.9996735347573612
Position 2355: 0.999004465661726
Position 2565: 0.9970673636229538
Position 1865: 0.9959917775013445
Position 179: 0.9902972944887207
Position 3018: 0.31570143771180753
Position 3474: 0.08379460133351022
Position 2160: 0.043970057484099496
Position 2868: 0.021966554942201028
Position 3528: 0.021226744312002117
Position 2117: 0.019154457541907012
Position 1100: 0.00969724834527698
Position 3573: 0.006666376707678146
Position 2883: 0.005102502464278077
Position 3167: 0.004886072219771201
Position 3471: 0.004132767379954076
Position 2660: 0.001448814621555788
Position 3394: 0.0013695379071543173
Position 3678: 0.0009808917683086435
Position 1103: 0.0009509166289044845
Position 806: 0.000835036605809706
Position 3608: 0.0008285573454667496
Position 2872: 0.000822030474080512
Position 3478: 0.0007594371315863157
Position 1114: 0.0007090527440299211
Position 42: 0.0006694754908778297
Position 1050: 0.0006553811959654879
Position 3569: 0.0006471142901930425
Position 198: 0.0005977751153023543
Position 1082: 0.0004592595305070819
Position 2705: 0.0003555787809287644
Position 1417: 0.0003395371406314777
Position 3311: 0.00029423918530012075
Position 2334: 0.0002810304745347977
Position 2328: 0.0002443932044140031
Position 2060: 0.00018297562950835857
Position 423: 0.000170380552282372
Position 2257: 0.00016223696670847375
Position 2198: 0.00014868823591644194
Position 315: 0.0001438597776310127
Position 812: 0.0001373365731854723
Position 1836: 0.0001144165459577004
Position 2544: 9.020947686194537e-05
Position 73: 5.7046604616955185e-05
Position 2719: 5.052602647460004e-05
Position 2722: 5.0058887732542716e-05
Position 2507: 4.3441593800432666e-05
Position 24: 4.129815503537016e-05
Position 4: 3.44254825500943e-05
Position 2485: 1.830959499572294e-05
Position 3282: 1.708031487733989e-05
Position 2339: 1.5197764691206763e-05
Position 27: 1.2709519067291041e-05
Position 2379: 1.062879861794295e-05
Position 18: 7.381087566608899e-06
Position 3250: 4.100057796781167e-07
Position 208: 1.0469688534675955e-07
Position 2100: 1.5957604680226232e-08
Position 3542: 1.3570103904869098e-08
Position 93: 2.839165975202179e-09
Position 1593: 1.29332446797104e-09
Position 1560: 1.2620498162583275e-09
Position 2316: 1.197988440076362e-09
Position 2215: 1.9562775839286797e-10
Position 2271: 1.3330872302355078e-10
Position 242: 1.846555415065426e-11
Position 110: 3.431951191716842e-12
Position 124: 2.5498230367191955e-12
Position 233: 1.0604506669386986e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 3372: 0.995402946436516
Position 1922: 0.9933238746211661
Position 2412: 0.9644925726636061
Position 265: 0.8683137036549022
Position 3215: 0.7117885522419196
Position 2946: 0.48145744140375274
Position 3589: 0.08900159228711986
Position 2871: 0.05228304859907537
Position 1163: 0.04139725245708078
Position 2218: 0.03624375771606197
Position 3637: 0.02815271131455004
Position 2913: 0.027194889811579838
Position 2244: 0.024544595758840652
Position 2427: 0.021157801085338754
Position 1469: 0.020844948089259602
Position 287: 0.020265557843671542
Position 1556: 0.019493098246038985
Position 3161: 0.016960652084571298
Position 2621: 0.01479572710423484
Position 2447: 0.013842460974439452
Position 2624: 0.012600493007394558
Position 2799: 0.008794438802864811
Position 303: 0.00830961226374908
Position 3217: 0.008140814313290539
Position 3737: 0.0054002133203544635
Position 1832: 0.004293475814085517
Position 2695: 0.0036650543171413796
Position 2213: 0.0035235955946100756
Position 649: 0.003296094575008801
Position 3167: 0.003168003505692603
Position 1196: 0.0025446398859792878
Position 2976: 0.0021589572936603707
Position 2907: 0.002060311157254108
Position 1334: 0.0018148036966424165
Position 1072: 0.0016455364297799817
Position 2745: 0.0014529382535417087
Position 1277: 0.0014288189569519009
Position 3447: 0.0012873009803338823
Position 3608: 0.0011444260405104767
Position 2253: 0.0011006932007722615
Position 2950: 0.0010764448411232596
Position 1274: 0.0009758529870052343
Position 832: 0.0009424618347019063
Position 1571: 0.0009015022933149155
Position 1945: 0.0008802675203500238
Position 443: 0.0008731108252134626
Position 1202: 0.0008520356667391254
Position 2180: 0.0007345292835417139
Position 104: 0.0006611865996092129
Position 1337: 0.0006345206371888958
Position 2198: 0.0006250524166341174
Position 1199: 0.0006091669474124548
Position 2001: 0.0005990176745148558
Position 900: 0.0004401127905455203
Position 756: 0.00040205786209036745
Position 2130: 0.0004011217397278914
Position 1430: 0.00032098665745516176
Position 1306: 0.00029220395180291794
Position 423: 0.0002835453372789986
Position 670: 0.0002797344572855134
Position 1002: 0.0002504704796916215
Position 1959: 0.00024994375331928095
Position 2484: 0.00018559394833780182
Position 806: 0.00018354283775525332
Position 601: 0.00015952940046242575
Position 1956: 0.00014608481996855577
Position 93: 8.233437659221423e-05
Position 2312: 7.925688288186367e-05
Position 2459: 7.361991683073363e-05
Position 132: 6.39239614617891e-05
Position 2449: 2.002103443798247e-05
Position 82: 1.0310758173476886e-05
Position 3390: 6.276924876421465e-06
Position 120: 2.5611864232610544e-06
Position 2456: 1.2489015041171698e-06
Position 2561: 9.723853622223079e-07
Position 63: 8.941578446426738e-07
Position 73: 8.314065156571923e-07
Position 136: 1.824153215048738e-07
Position 2496: 1.1949435205336628e-07
Position 139: 3.434073326134311e-08
Position 159: 2.0241414569884553e-09
Position 156: 1.137103610023206e-09
Position 143: 2.0460408878363586e-10
