Gene = Sec61alpha
index = 1480
Annotated 5SS: [ 252  542 2605]
Annotated 3SS: [ 473 1512 2677]
SMsplice 5SS: [ 252  542 2605]
SMsplice 3SS: [ 473 1512 2677]
top_k =  100
Partition function (log Z): 1.717270552529632

Sorted 5' Splice Sites (High to Low Probability):
Position 2605: 0.9994975940543547
Position 542: 0.772081024535884
Position 252: 0.613669985280391
Position 1337: 0.12296569908932964
Position 1290: 0.0929826511008297
Position 2841: 0.08671028411350426
Position 2340: 0.07083021550106464
Position 161: 0.05454373872009424
Position 2116: 0.042605621119648586
Position 1741: 0.03987364528151328
Position 556: 0.021082634135414745
Position 1658: 0.019601418422285098
Position 3074: 0.01505667604799249
Position 1198: 0.005851434127472182
Position 399: 0.00502004050218792
Position 2847: 0.0026076525573807984
Position 1655: 0.0023764686349586326
Position 124: 0.0016069483492612093
Position 256: 0.0013182119291087768
Position 780: 0.0009274741699822418
Position 566: 0.0008911885144361585
Position 3080: 0.0008048886987479018
Position 363: 0.000478579728675988
Position 383: 0.00033393202805891175
Position 48: 0.0003023001243430336
Position 106: 0.00020608111264338013
Position 438: 0.00019438896667364986
Position 235: 0.00016758073914119914
Position 303: 0.00016471077396061192
Position 115: 0.0001517712341959149
Position 546: 0.0001421963441461795
Position 37: 0.0001212508222467763
Position 154: 0.00011425490356048146
Position 295: 9.743555545054944e-05
Position 394: 8.844779649517293e-05
Position 189: 7.992879102975855e-05
Position 142: 6.940382595517363e-05
Position 182: 5.061094275736617e-05
Position 176: 4.818261944924819e-05
Position 609: 4.1415054324352704e-05
Position 309: 4.0264096822966175e-05
Position 98: 3.578023767415818e-05
Position 60: 3.347445401983998e-05
Position 311: 3.235838357372407e-05
Position 316: 2.521736100774516e-05
Position 1676: 1.2962068985342579e-05
Position 575: 6.7726477604745585e-06
Position 2456: 5.108119343494142e-06
Position 1845: 3.71193447507201e-06
Position 89: 3.4985743603379462e-06
Position 95: 3.198116098412326e-06
Position 149: 2.2165945492226965e-06
Position 1913: 1.2227086200716942e-06
Position 1745: 9.377109521521885e-07
Position 1592: 6.850772004456705e-07
Position 17: 2.724951614427142e-07
Position 19: 3.4714902658129584e-08
Position 11: 3.041749517808362e-08
Position 657: 1.9116148585385513e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2677: 0.9999553734767513
Position 1512: 0.9688335938947419
Position 473: 0.5141285931704448
Position 2482: 0.13225932248029
Position 2899: 0.06848291157771709
Position 1081: 0.05781678641816246
Position 2319: 0.041563306020983154
Position 1197: 0.039801569661300815
Position 696: 0.02813887961855844
Position 994: 0.028040682663362165
Position 1713: 0.021953553183303755
Position 3128: 0.01847170168894183
Position 214: 0.017987661966208227
Position 2902: 0.011783875908088711
Position 2905: 0.0039039591260728083
Position 903: 0.003681270597704154
Position 1523: 0.0031279257800705396
Position 507: 0.002596849331875181
Position 316: 0.0025817735729484165
Position 221: 0.0019481298061349115
Position 375: 0.0017955082679162154
Position 1818: 0.0014997957245743727
Position 3131: 0.0013768769033968883
Position 185: 0.0013301433303731641
Position 300: 0.0008438670802439493
Position 3074: 0.0008127194003200962
Position 272: 0.0008099848346966723
Position 3171: 0.00023672647341422995
Position 3382: 0.0001107303396737602
Position 226: 4.0022683859879726e-05
Position 478: 2.362442631540585e-05
Position 154: 2.1152598833123486e-05
Position 2689: 6.840145836673136e-06
