Gene = vls
index = 1928
Annotated 5SS: [ 621 1055]
Annotated 3SS: [ 677 1106]
SMsplice 5SS: [ 621 1055]
SMsplice 3SS: [ 677 1106]
top_k =  100
Partition function (log Z): -4.474637846673593

Sorted 5' Splice Sites (High to Low Probability):
Position 621: 0.9722214764706509
Position 1055: 0.47564280247919605
Position 1040: 0.03023818435811532
Position 925: 0.025625403310804235
Position 483: 0.013473239490448843
Position 705: 0.011852351702637645
Position 1061: 0.005739792644657822
Position 610: 0.005577184730010907
Position 633: 0.004608970910519937
Position 1273: 0.003986525599801315
Position 396: 0.003149156569848811
Position 625: 0.00300065369026859
Position 963: 0.002184004870162128
Position 1341: 0.0014538162308890936
Position 308: 0.0010051467675861155
Position 405: 0.0009898568945231091
Position 1353: 0.0002900837587140025
Position 876: 0.00018038571509840573
Position 167: 8.245385252606414e-05
Position 71: 6.899051441723746e-05
Position 743: 5.979621451236955e-05
Position 793: 4.9943315545279006e-05
Position 644: 4.805340292659081e-05
Position 532: 2.458125269649934e-05
Position 435: 1.9764068303214222e-05
Position 519: 1.0845533441722205e-05
Position 9: 8.07632945646124e-06
Position 317: 7.2947303951321296e-06
Position 23: 6.002867666113663e-06
Position 564: 5.783691382912008e-06
Position 591: 4.75552503889383e-06
Position 51: 1.5508861782446156e-06
Position 320: 1.2614599386086227e-06
Position 467: 1.083964919751644e-06
Position 120: 7.967027278748495e-07
Position 497: 7.234416086943147e-07
Position 786: 3.773891172386523e-07
Position 984: 3.7425450448458616e-07
Position 799: 2.3442408106219433e-07
Position 892: 2.2921253297072885e-07
Position 774: 1.732547430256766e-07
Position 54: 1.4209748255088218e-07
Position 851: 9.406443594906929e-08
Position 107: 2.9013197452575646e-08
Position 527: 5.646441376058258e-09
Position 357: 5.435713461473259e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 677: 0.9931460913463073
Position 1106: 0.55358760689511
Position 553: 0.003887175353718453
Position 1415: 0.0032335169154698224
Position 461: 0.0022383187375437934
Position 1378: 0.002178553031153465
Position 768: 0.0016293376882998705
Position 1333: 0.00044405251399338226
Position 532: 0.00043871693808696777
Position 482: 0.00039110447307925023
Position 1389: 0.00011462162279925708
Position 1164: 8.304529130251252e-05
Position 497: 7.18015860544455e-05
Position 377: 5.924000240243361e-05
Position 131: 5.905136516556405e-05
Position 572: 3.3130488745719693e-05
Position 97: 1.551677095579501e-05
Position 603: 6.130241492685299e-06
Position 244: 5.4275281574195995e-06
Position 632: 1.9950025562081258e-08
