Gene = MESR3
index = 1265
Annotated 5SS: [  469 14519 32372]
Annotated 3SS: [14486 32341 42952]
SMsplice 5SS: [469]
SMsplice 3SS: [42952]
top_k =  100
Partition function (log Z): -40.70190098854509

Sorted 5' Splice Sites (High to Low Probability):
Position 469: 0.9999999999303536
Position 11865: 2.5538053768543063e-05
Position 8195: 3.1836160471156183e-07
Position 7411: 2.3163891841416033e-07
Position 7638: 1.5520087723509547e-07
Position 607: 7.680948252241139e-08
Position 4281: 2.464992980316429e-09
Position 967: 4.099255970694011e-10
Position 1219: 1.286856084098941e-10
Position 1636: 1.0843937060740643e-10
Position 463: 4.170900226530327e-11
Position 586: 2.6566063096987157e-11
Position 789: 2.209203511388175e-11
Position 599: 1.8845018339224202e-11
Position 591: 1.829143644257872e-11
Position 157: 1.1432289328527418e-11
Position 594: 1.0707835724977223e-11
Position 456: 6.118820764617351e-12
Position 39: 4.261662248567276e-12
Position 63: 2.6085833452985987e-12
Position 473: 2.1664343181469267e-12
Position 151: 1.937423916112958e-12
Position 34: 1.3663107990880093e-12
Position 376: 1.3053565740666766e-12
Position 374: 1.0474810378302406e-12
Position 370: 9.567201293141313e-13
Position 372: 8.505452090178874e-13
Position 69: 8.280077181045579e-13
Position 174: 7.91561919679135e-13
Position 380: 7.559931269252721e-13
Position 368: 4.4308629210874054e-13
Position 738: 3.1859263101079664e-13
Position 92: 2.62022108756716e-13
Position 748: 2.415680742906644e-13
Position 253: 7.526050162743437e-14
Position 161: 3.753430094762815e-14
Position 386: 3.1908769680848076e-14
Position 389: 3.001331878531678e-14
Position 51: 2.0904019434929423e-14
Position 383: 1.0936814435590516e-14
Position 497: 1.4741913553339595e-15
Position 77: 5.850665072112672e-17
Position 236: 5.784324379705972e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 21293: 0.9952363459745439
Position 16713: 0.0034069969892464185
Position 14486: 0.001302983327108754
Position 12073: 4.0126642666345544e-05
Position 11659: 3.6898985730439187e-05
Position 8532: 1.1722879027042602e-06
Position 7784: 1.1700884223021076e-06
Position 6926: 4.687680480931643e-07
Position 518: 7.854469220424192e-08
Position 6981: 2.781890502386778e-08
Position 5591: 8.908423566098989e-09
Position 4483: 8.302503449779341e-09
Position 533: 5.0217892875122066e-09
Position 5892: 4.533613026865027e-09
Position 4346: 4.16049808662802e-09
Position 4705: 4.118124546699922e-09
Position 4166: 3.276617158403464e-09
Position 4666: 2.448712674057004e-09
Position 4728: 2.2654984946205934e-09
Position 2924: 1.3526293723103705e-09
Position 2286: 1.2075885943985458e-09
Position 4514: 1.0801672621939359e-09
Position 1602: 1.0588431478750634e-09
Position 1572: 9.416577108060982e-10
Position 3656: 9.103412417880709e-10
Position 657: 8.273720403090341e-10
Position 4373: 7.455856978509218e-10
Position 3954: 4.981276518372091e-10
Position 3622: 4.2901537923788245e-10
Position 1983: 3.473256038217716e-10
Position 3467: 2.8649191916264236e-10
Position 3226: 2.7153496559501835e-10
Position 1032: 2.6978656592489583e-10
Position 1700: 2.6022311914024393e-10
Position 1487: 1.669475375940892e-10
Position 2012: 5.18768766384206e-11
Position 803: 4.1353960967877194e-11
Position 1315: 4.024162495683277e-11
Position 554: 1.540983045102938e-11
Position 219: 1.0666413181761198e-11
Position 328: 2.088109997230927e-12
Position 449: 1.9051603743392246e-12
Position 110: 1.1294619874393372e-12
Position 122: 4.4140722916620385e-13
Position 383: 3.972727406074351e-13
Position 119: 3.5083220243552834e-13
Position 422: 3.0168564045571727e-13
Position 244: 1.9263157123039712e-13
Position 125: 8.019318554215932e-14
Position 557: 2.4940880723310346e-14
