Gene = NijB
index = 1319
Annotated 5SS: [256 513]
Annotated 3SS: [357 565]
SMsplice 5SS: [256]
SMsplice 3SS: [357]
top_k =  100
Partition function (log Z): -1.9845697121494617

Sorted 5' Splice Sites (High to Low Probability):
Position 256: 0.9868335144834249
Position 513: 0.33924722048540124
Position 517: 0.3188068055106891
Position 700: 0.09826836283835577
Position 264: 0.008457637474290644
Position 728: 0.006401882344039743
Position 459: 0.00480585340656775
Position 693: 0.0037600299505832187
Position 114: 0.002085969126153686
Position 437: 0.0020604291501171022
Position 287: 0.00140215620922498
Position 474: 0.0013109998443868018
Position 246: 0.0007202036417508513
Position 302: 0.0006358506605438049
Position 644: 0.0006090653162390792
Position 521: 0.00034089969550549286
Position 620: 0.00030887638912827683
Position 489: 0.0001425615387681173
Position 15: 8.873548613662231e-05
Position 594: 3.289636956629127e-05
Position 163: 2.6366065366532172e-05
Position 55: 2.1333325898145405e-05
Position 64: 5.6857276405990276e-06
Position 88: 4.303771258326765e-06
Position 199: 2.764002224165914e-06
Position 82: 9.448115217361431e-07
Position 327: 5.378413315148918e-07
Position 143: 7.611441530546537e-08
Position 73: 2.6865412628189457e-08
Position 398: 1.687886091444104e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 357: 0.9925715650712014
Position 565: 0.5577222005785557
Position 789: 0.19986506276912377
Position 585: 0.01876129909819105
Position 594: 0.0027430978953295253
Position 577: 0.0021854144274878976
Position 163: 0.0006359590888337075
Position 513: 0.0003311188816658975
Position 398: 0.0003112463108563398
Position 644: 0.00024701055083404687
Position 372: 0.0001989299472682713
Position 309: 0.00018659480662146054
Position 448: 0.0001613277590959168
Position 194: 8.914728665751056e-05
Position 800: 8.231674986023137e-05
Position 205: 6.502390971949342e-05
Position 302: 3.70066176873942e-05
Position 219: 3.6832347986121915e-05
Position 861: 3.119496899389004e-05
Position 428: 2.444058528020469e-05
Position 113: 2.0241818711509765e-05
Position 73: 1.5901757039672167e-05
Position 97: 1.336459137092567e-05
Position 482: 1.3039150224951041e-05
Position 174: 1.1258476315764403e-05
Position 154: 1.0994132592462953e-05
Position 64: 5.7021274454389455e-06
Position 226: 2.344068053769548e-06
Position 249: 1.056892015891203e-06
Position 135: 8.371026583870105e-07
Position 143: 4.5118611196626944e-07
Position 124: 2.4371014085248627e-08
