Gene = byn
index = 1638
Annotated 5SS: [ 331 4654 5702 5979 6846 7657]
Annotated 3SS: [4307 5580 5834 6046 7271 7734]
SMsplice 5SS: [ 331 4654 5702 5979 6846 7657]
SMsplice 3SS: [4307 5580 5834 6046 7271 7734]
top_k =  100
Partition function (log Z): 19.492738111227915

Sorted 5' Splice Sites (High to Low Probability):
Position 5979: 0.9999678654109873
Position 5702: 0.9870921662961126
Position 331: 0.9851677267019621
Position 4654: 0.9692928800783291
Position 7657: 0.886481541399577
Position 6846: 0.8690753450018871
Position 5478: 0.5492435686466515
Position 202: 0.0950345300425082
Position 6182: 0.09341459304888262
Position 2948: 0.054036053089049296
Position 2960: 0.03529876390356949
Position 6202: 0.03277294638874372
Position 3298: 0.02916169042463378
Position 5279: 0.02774601519435936
Position 4658: 0.02630443794851845
Position 6407: 0.02526723487400627
Position 2208: 0.02339283916649112
Position 5070: 0.021880430953466073
Position 1689: 0.019551063127298016
Position 2229: 0.011829293514740886
Position 335: 0.008563222338056668
Position 7670: 0.008470177598797892
Position 5683: 0.008407037200922802
Position 2204: 0.0076046758884793205
Position 7126: 0.004313140448326686
Position 5694: 0.0038561812682661348
Position 8123: 0.002537277146337743
Position 8103: 0.0021281163562561585
Position 5417: 0.0021202649032970736
Position 1876: 0.0013421428602616438
Position 206: 0.0008858527778124548
Position 6098: 0.0007268698590163808
Position 6070: 0.00034550972507238064
Position 5743: 0.000263644528252196
Position 5770: 0.00019807442084912927
Position 171: 0.00016268202112766563
Position 4920: 6.365174755557559e-05
Position 5706: 3.507445542317416e-05
Position 5943: 3.1607641885898394e-05
Position 4932: 3.01908303446103e-05
Position 219: 2.092435453589488e-05
Position 5209: 1.904707562486893e-05
Position 122: 1.881470150106419e-05
Position 156: 1.0294022447444613e-05
Position 5653: 7.728296493576321e-06
Position 224: 5.477256381048415e-06
Position 19: 4.010564082141326e-06
Position 217: 3.66983110476589e-06
Position 191: 2.1493031457371535e-06
Position 6158: 2.0089788293048996e-06
Position 7661: 1.8863139663010335e-06
Position 6092: 3.346659804814402e-07
Position 6081: 1.5485548723025928e-07
Position 5933: 5.368351972429294e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 6046: 0.9986353511413828
Position 5834: 0.998408214042239
Position 4307: 0.995867057271045
Position 5580: 0.969793915948085
Position 7271: 0.874903788041674
Position 7734: 0.8695223070730511
Position 5336: 0.260505718127318
Position 5039: 0.11713248769266801
Position 268: 0.07583112583236423
Position 2057: 0.07190437833142513
Position 5235: 0.05473778247814969
Position 5131: 0.04528941203593578
Position 2343: 0.04314680711910417
Position 4878: 0.03951121070790269
Position 3199: 0.03207737613772762
Position 6910: 0.032036942061248415
Position 4979: 0.025333170548989224
Position 6465: 0.024031117653953587
Position 7189: 0.021499360536968673
Position 6762: 0.020773613104647603
Position 5602: 0.017954606763202582
Position 1922: 0.016413543098626637
Position 5091: 0.016126687675806512
Position 271: 0.014021226044426365
Position 6358: 0.012151706539167003
Position 4935: 0.011474268617152705
Position 6495: 0.010848879589520197
Position 7774: 0.010375515293109337
Position 4990: 0.01024691008159272
Position 7332: 0.009382535507438658
Position 6759: 0.009134046185572413
Position 892: 0.007975223978368341
Position 4883: 0.00714782840804058
Position 5069: 0.0068662564682616225
Position 8174: 0.006804214359602189
Position 7702: 0.006570130899703552
Position 1545: 0.005761900025629021
Position 471: 0.0049438623375882
Position 7792: 0.004740768665661498
Position 7154: 0.004656773110970239
Position 5416: 0.0041568895027869705
Position 4850: 0.004083403079478271
Position 6239: 0.0035755899468415606
Position 5098: 0.002644238183813901
Position 7362: 0.0018171847227683921
Position 5006: 0.0018034082466020604
Position 5059: 0.0017598876433011076
Position 6148: 0.0013351267496374264
Position 5849: 0.001326386925906927
Position 7246: 0.0011170996793286028
Position 8023: 0.0009597940218180129
Position 3084: 0.0007734954799898489
Position 8209: 0.0006514233077663998
Position 3208: 0.0004191445963843971
Position 1447: 0.00037208866265967135
Position 1305: 0.00035162480371908936
Position 1322: 0.0003352841716254918
Position 1614: 0.00031291634018469324
Position 2066: 0.00030741455921069397
Position 507: 0.00022614138478962883
Position 1611: 0.00022318566582216749
Position 754: 0.00017050142957779766
Position 5762: 0.0001616435085529947
Position 428: 0.00015790577382313178
Position 2276: 0.00011906467189051402
Position 1030: 0.00011182328027221939
Position 1594: 9.355552610113403e-05
Position 474: 8.647415370698582e-05
Position 5855: 7.200753335696367e-05
Position 1512: 6.575317524873632e-05
Position 5853: 1.499371853501123e-05
Position 217: 1.4117420112682966e-05
Position 183: 1.2884617761956399e-05
Position 6112: 9.991592808721824e-06
Position 5943: 6.19522496980777e-06
Position 6070: 3.7433741667907066e-06
Position 5948: 2.4772907320080873e-06
