Gene = ppl
index = 1847
Annotated 5SS: [322 656]
Annotated 3SS: [376 716]
SMsplice 5SS: [322 656]
SMsplice 3SS: [376 716]
top_k =  100
Partition function (log Z): 2.037797628695957

Sorted 5' Splice Sites (High to Low Probability):
Position 656: 0.9910993837973369
Position 322: 0.9860873670988152
Position 589: 0.007372722029563369
Position 103: 0.0017418486488353863
Position 105: 0.0008807478278488311
Position 804: 0.0007860797394134527
Position 153: 0.0005360853593776541
Position 577: 0.000389133109996001
Position 871: 0.00035091405765505225
Position 98: 0.00031506593354627675
Position 565: 0.00016039638767468179
Position 436: 0.00015005268386612564
Position 877: 8.438738969747915e-05
Position 47: 5.881225610342025e-05
Position 530: 5.874175996568455e-05
Position 610: 5.754874389417572e-05
Position 781: 3.518037885201607e-05
Position 667: 3.145188081548099e-05
Position 24: 2.4144719134686277e-05
Position 402: 2.265057357716451e-05
Position 855: 1.1077151153449492e-05
Position 547: 9.957566915290377e-06
Position 412: 9.4475702805898e-06
Position 641: 8.770137620825698e-06
Position 107: 8.239450194372306e-06
Position 207: 7.562107599681063e-06
Position 14: 2.6990868292208872e-06
Position 567: 2.5639429076836086e-06
Position 631: 1.9287369511608606e-06
Position 109: 1.2211363337445068e-06
Position 177: 2.640620861240886e-07
Position 186: 2.605325546449102e-07
Position 4: 3.7913666551422046e-08
Position 415: 1.208125352091821e-08
Position 259: 9.820499148711448e-10
Position 475: 9.638173561208707e-10
Position 363: 4.363005911343073e-10
Position 333: 4.074086425592823e-10
Position 581: 1.0988734558784458e-10
Position 731: 2.8522158307139674e-11
Position 478: 3.700249633062078e-12
Position 279: 6.295973288884156e-13
Position 261: 4.3048215485595094e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 716: 0.997765264517499
Position 376: 0.9845579771852916
Position 177: 0.00290205419690938
Position 730: 0.0016404341399888563
Position 858: 0.0007329314282454255
Position 496: 0.0005385217287320951
Position 229: 0.000470718164708827
Position 962: 0.0004467821000538487
Position 425: 0.0004232139363200132
Position 459: 0.0002404087763997189
Position 449: 9.788347609015142e-05
Position 439: 6.194036304943819e-05
Position 638: 5.8855415809668325e-05
Position 581: 5.452493174824096e-05
Position 894: 5.024342226026795e-05
Position 101: 4.6363573065237465e-05
Position 242: 4.11380097112289e-05
Position 881: 3.9865617693596446e-05
Position 402: 2.6738113574900282e-05
Position 986: 1.9876851886747797e-05
Position 436: 1.685371628565117e-05
Position 588: 1.164790077999417e-05
Position 284: 1.1347090043628186e-05
Position 641: 1.1171068027767302e-05
Position 654: 9.92516427454628e-06
Position 516: 7.838114022589085e-06
Position 844: 6.145670245356208e-06
Position 742: 4.893953727869588e-06
Position 254: 3.2857306572056103e-06
Position 751: 3.144945313104931e-06
Position 801: 2.4049784125913394e-06
Position 259: 1.9880870106913718e-06
Position 315: 2.520865291610521e-07
Position 307: 1.2433069436084576e-07
