Gene = serp
index = 1869
Annotated 5SS: [ 596 1791 2207]
Annotated 3SS: [1617 1956 5516]
SMsplice 5SS: [ 596 1791 2207]
SMsplice 3SS: [1617 1956 5516]
top_k =  100
Partition function (log Z): 8.521177456334435

Sorted 5' Splice Sites (High to Low Probability):
Position 2207: 0.9998327983091919
Position 1791: 0.9982108583172957
Position 596: 0.9406024316098988
Position 5304: 0.2013419971727955
Position 5237: 0.1137996230907226
Position 785: 0.06701245738646738
Position 2652: 0.03688679958835225
Position 443: 0.03442968068758324
Position 855: 0.014495876622236394
Position 375: 0.013491681821510516
Position 1200: 0.011360541365299683
Position 2563: 0.00939316222878587
Position 5327: 0.009018867787400832
Position 3550: 0.0075267179773262985
Position 287: 0.005022078310882504
Position 255: 0.001776464496491222
Position 1780: 0.0012331152751499574
Position 851: 0.000989797904479127
Position 339: 0.0004850243817070489
Position 1048: 0.00044888905105331577
Position 426: 0.00043794445330341564
Position 1819: 0.0003771449735898232
Position 552: 0.0003162524544357158
Position 601: 0.000273872583311403
Position 2479: 0.00024958797390439534
Position 351: 0.00019939333369753886
Position 363: 9.633652998015543e-05
Position 447: 8.250355614407023e-05
Position 1812: 7.864214369738649e-05
Position 328: 7.615946420501801e-05
Position 445: 5.011453396550547e-05
Position 373: 4.390770954976424e-05
Position 1795: 3.918914767223802e-05
Position 2309: 3.490791859573911e-05
Position 428: 3.340559893774509e-05
Position 1815: 2.9158844046570515e-05
Position 2297: 2.0144287731575137e-05
Position 1831: 1.9018575254692774e-05
Position 2316: 1.521780470415218e-05
Position 188: 1.2391605928079039e-05
Position 160: 1.0609404541222554e-05
Position 270: 5.4975666222790685e-06
Position 204: 5.456190845672483e-06
Position 559: 4.928878881048498e-06
Position 326: 4.787666501176066e-06
Position 31: 3.971231128678959e-06
Position 1740: 3.945878949823068e-06
Position 1727: 3.2580871890345956e-06
Position 285: 3.1608345589105944e-06
Position 1770: 3.0477150802337524e-06
Position 2251: 1.0431200458961253e-06
Position 1730: 1.0304295447145743e-06
Position 2211: 7.359859177972838e-07
Position 490: 1.1439711078444037e-07
Position 2032: 1.978169909201337e-08
Position 2204: 1.556131814642879e-08
Position 2307: 1.1929978036750473e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1956: 0.998452140960701
Position 1617: 0.9875551897575491
Position 5516: 0.9539441943309349
Position 5119: 0.33922010510002326
Position 528: 0.04322265398338184
Position 2380: 0.027413245127776226
Position 639: 0.017746325814190615
Position 5437: 0.014441604007643865
Position 731: 0.011657182723594428
Position 1000: 0.011530470927955882
Position 1459: 0.00808478158147166
Position 5382: 0.007686777142082916
Position 2525: 0.007222605207405799
Position 443: 0.006096517240994345
Position 2499: 0.005277219763030002
Position 5325: 0.004361751253746569
Position 2538: 0.003910532929057279
Position 2798: 0.0036070872605676245
Position 2387: 0.0026422120247266445
Position 3389: 0.0018077214555651923
Position 2007: 0.0013928061665049892
Position 3316: 0.0013233086129131432
Position 3550: 0.001167616612915634
Position 949: 0.0011629155297206955
Position 2261: 0.0011261946859431333
Position 455: 0.0011059950057694375
Position 2278: 0.0009999927423853124
Position 2590: 0.00096507463404385
Position 1621: 0.0008074350534559612
Position 1649: 0.0006398214731062858
Position 497: 0.0005551540002503687
Position 1430: 0.0004965101443053995
Position 646: 0.0003293547815102541
Position 490: 0.00028168311383356206
Position 2999: 0.0002262192707604768
Position 1655: 0.00016600459106952062
Position 4222: 0.00015580591159639368
Position 4277: 0.00015086503095741702
Position 2010: 0.00014798913962593588
Position 1244: 0.00014507926356983571
Position 3342: 0.00011184623794230253
Position 2535: 9.211247851926442e-05
Position 3837: 8.396771013728259e-05
Position 2807: 8.34236293111171e-05
Position 922: 7.46699495619525e-05
Position 1395: 5.7588461494862695e-05
Position 2838: 3.488515455248862e-05
Position 3036: 3.106957615798447e-05
Position 2695: 2.798555750799968e-05
Position 910: 2.785914178570707e-05
Position 878: 1.9264522457998743e-05
Position 2326: 5.818932183202504e-06
Position 1834: 4.332308320155392e-06
Position 254: 2.843502962060412e-06
Position 507: 2.7283539420060516e-06
Position 782: 2.1520046261681766e-06
Position 366: 1.755786966331691e-06
Position 540: 1.0617134779491568e-06
Position 1966: 1.0135065530768488e-06
Position 2025: 7.472684102988812e-07
Position 2004: 7.075223491504791e-07
Position 478: 5.574600149405741e-07
Position 393: 2.3788300138628804e-07
Position 332: 2.290422950059702e-07
Position 2608: 2.0878262085755659e-07
Position 1874: 1.3870400377353006e-07
Position 2316: 1.384884470788774e-07
Position 1850: 1.0735550184560795e-07
Position 463: 9.256178503548153e-08
Position 2250: 4.108531446918481e-08
Position 698: 2.9490515246631258e-08
Position 2106: 1.9781699092013343e-08
Position 830: 1.3226141941632426e-08
