Gene = A16
index = 1
Annotated 5SS: [1082 1515]
Annotated 3SS: [1385 1582]
SMsplice 5SS: [1082 1515]
SMsplice 3SS: [1385 1582]
top_k =  100
Partition function (log Z): 4.404292932604125

Sorted 5' Splice Sites (High to Low Probability):
Position 1515: 0.9955336669524757
Position 1082: 0.9923071061629912
Position 5: 0.11867917384460049
Position 662: 0.02457784808652267
Position 1227: 0.011925795943585645
Position 1328: 0.011029806294663913
Position 789: 0.008227705607668096
Position 1289: 0.0030066087605739207
Position 1651: 0.0013863370751443758
Position 199: 0.00091496488251004
Position 461: 0.000728542384459127
Position 1120: 0.000577293369761359
Position 1115: 0.0005736292389108282
Position 381: 0.00042824768771967004
Position 1086: 0.0003040699411653198
Position 564: 0.0002822448918910247
Position 306: 0.00022261256970747677
Position 553: 0.00020202639362531852
Position 1176: 0.00019482785630642468
Position 1501: 0.0001947231250531634
Position 1127: 9.360961413724825e-05
Position 1642: 8.957841811931649e-05
Position 521: 6.43716526338438e-05
Position 27: 5.934118471820673e-05
Position 145: 3.687652858309761e-05
Position 1658: 1.5955079579801857e-05
Position 168: 1.5918624062806618e-05
Position 1519: 1.2297379437503608e-05
Position 1636: 8.035328985628623e-06
Position 1351: 5.107620946038627e-06
Position 393: 1.0011920460718517e-06
Position 364: 6.979163043412924e-07
Position 22: 8.740384145990332e-10
Position 1457: 4.4062150248201223e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1582: 0.9956308991145724
Position 1385: 0.994800473428857
Position 81: 0.0674024857803549
Position 61: 0.03225130468471565
Position 756: 0.017240823500303325
Position 78: 0.01619697794262515
Position 1157: 0.014804582180143976
Position 1200: 0.011259860079842844
Position 907: 0.009564759719656727
Position 1354: 0.004703088939149108
Position 629: 0.002505596907329625
Position 1704: 0.0015041019121614144
Position 478: 0.0008367810095511546
Position 919: 0.0008020600883845707
Position 564: 0.0005131944529228252
Position 820: 0.00048223925875554675
Position 199: 0.00042948327662606893
Position 781: 0.00028601145724952397
Position 823: 0.00019540928057606036
Position 168: 0.0001027191236587889
Position 1606: 5.824014250386189e-05
Position 1602: 4.714073017951872e-05
Position 1331: 4.56201900546911e-05
Position 1409: 8.904276054624397e-06
Position 1217: 7.506893257553199e-06
Position 1294: 4.921268592499205e-06
Position 1416: 4.77315821959359e-06
Position 1669: 4.4729045060508915e-06
Position 527: 2.7060207854635645e-06
Position 1439: 1.462399994197235e-06
Position 1270: 1.1580661866261597e-06
Position 97: 2.620982365493638e-07
Position 1553: 2.637540415538174e-09
