Gene = vn
index = 1929
Annotated 5SS: [ 3457 27556 27767 28130 29018]
Annotated 3SS: [27377 27638 28020 28963 30797]
SMsplice 5SS: [  200 27556 27767 28130]
SMsplice 3SS: [27377 27638 28020 28963]
top_k =  100
Partition function (log Z): -16.53430108505538

Sorted 5' Splice Sites (High to Low Probability):
Position 200: 0.9999999999999964
Position 28130: 0.7156477416830851
Position 28126: 0.24619348442183223
Position 29014: 0.049960201422440106
Position 29018: 0.04359326893911386
Position 712: 7.656909868138951e-16
Position 2108: 6.648903834125182e-16
Position 625: 6.4097843407638e-16
Position 1744: 2.7709657555080973e-16
Position 1168: 2.259636454610795e-16
Position 853: 1.8542382640420275e-16
Position 310: 2.806002171272157e-17
Position 428: 1.477948925815317e-17
Position 281: 1.4755626809405575e-17
Position 41: 1.1663435588124368e-17
Position 288: 4.456723445136129e-19
Position 312: 3.880987218400209e-19
Position 455: 2.349572736111598e-19
Position 300: 1.8073579577742604e-19
Position 286: 1.059354540623188e-19
Position 322: 1.022716186416699e-19
Position 83: 5.761990617366326e-20
Position 224: 5.726638568667246e-20
Position 443: 2.3053173864688607e-20
Position 32: 1.1100267361659502e-20
Position 129: 9.144493920890172e-21

Sorted 3' Splice Sites (High to Low Probability):
Position 28963: 0.9900920289587268
Position 28020: 0.9618412261049165
Position 29294: 0.09355347036155381
Position 28208: 0.009907614874586015
Position 19716: 3.552442082279449e-07
Position 14479: 6.353314702175537e-10
Position 13401: 1.283961036290062e-10
Position 13077: 8.286271900010169e-11
Position 12330: 3.890169645316619e-11
Position 11295: 2.423795940791907e-11
Position 11263: 1.2330522364209472e-11
Position 7586: 2.3072790834634837e-13
Position 6887: 6.832462036529598e-14
Position 7141: 4.208604145609966e-14
Position 5144: 1.743125783065795e-14
Position 4826: 1.5658480925957306e-14
Position 5330: 1.459013027464583e-14
Position 5854: 1.0732329014763447e-14
Position 4620: 3.4764400769196292e-15
Position 4662: 3.0190631408153718e-15
Position 4558: 2.808736069148406e-15
Position 1923: 2.135308220975178e-15
Position 765: 1.4904411831274075e-15
Position 4233: 1.1776388655973536e-15
Position 1797: 1.174036193112508e-15
Position 2182: 1.0146360332371037e-15
Position 342: 7.472007500382798e-16
Position 1860: 5.38482030807857e-16
Position 2696: 4.3899576042701614e-16
Position 370: 3.010952880500841e-16
Position 556: 2.5340453871106114e-16
Position 523: 1.2195488865557443e-16
Position 973: 3.710286196080788e-17
Position 976: 3.3299473918686604e-17
Position 1021: 2.8535900095499516e-17
Position 663: 2.838395995890062e-17
Position 698: 2.5321460166028088e-17
Position 645: 2.5175243549984083e-17
Position 526: 1.7626129686462922e-17
Position 255: 1.6951501277376818e-17
Position 129: 1.0396968336837372e-17
