Gene = Ets65A
index = 1157
Annotated 5SS: [14582 14805 16737 18386 21532 24086]
Annotated 3SS: [14753 16676 18337 21341 23876 24358]
SMsplice 5SS: [  855  3146  3695  6176 14805 16737 21532 24086]
SMsplice 3SS: [ 2851  3317  6007 14753 16676 21341 23876 24358]
top_k =  100
Partition function (log Z): 17.932313160214655

Sorted 5' Splice Sites (High to Low Probability):
Position 21532: 1.0000000000000007
Position 6176: 0.9999992130569165
Position 24086: 0.9990846149900132
Position 3146: 0.9989181114006127
Position 855: 0.920292500129336
Position 3695: 0.9130176020405143
Position 16737: 0.8561587563494684
Position 14805: 0.6271457517551846
Position 2645: 0.4296838357332621
Position 18386: 0.2119575169431843
Position 23694: 0.13494802883860257
Position 23690: 0.11386548012859382
Position 702: 0.08733404116519063
Position 3622: 0.08697639896283814
Position 14923: 0.05632694805313837
Position 2099: 0.04810186827519088
Position 8042: 0.03521243300470207
Position 2985: 0.01453340700816034
Position 22423: 0.014434877674607697
Position 1483: 0.010919148236879386
Position 22108: 0.007982462846832999
Position 5745: 0.004272847424615317
Position 56: 0.0038041288962046825
Position 325: 0.0035167514933784217
Position 134: 0.002954008221951183
Position 4310: 0.0028753435410311034
Position 24923: 0.002654049330640799
Position 22621: 0.0025899845746987326
Position 4357: 0.0016447757886119034
Position 4184: 0.0014461357815317116
Position 690: 0.0012959837329983906
Position 958: 0.0011159319596150653
Position 25338: 0.0008098939940687686
Position 24770: 0.0007650776171980305
Position 25318: 0.0007584203553918197
Position 3165: 0.0006049639735676239
Position 1148: 0.000443661518833384
Position 679: 0.00023772035958801225
Position 21953: 0.00019331388967025866
Position 3150: 0.00016557085291309703
Position 516: 0.00013980606815654247
Position 784: 8.80354597502296e-05
Position 3274: 7.704828869302212e-05
Position 760: 6.0672380962886364e-05
Position 496: 4.943189776098813e-05
Position 543: 1.201997879754855e-05
Position 344: 1.0613362770687896e-05
Position 706: 8.181071441435306e-06
Position 735: 6.982168009022945e-06
Position 66: 5.1600596495857025e-06
Position 3685: 5.0691235400401635e-06
Position 6346: 4.5022380969146744e-06
Position 3699: 5.538847334793944e-07
Position 1152: 7.496314940988059e-08
Position 21697: 5.484900371365517e-08
Position 21703: 4.888913180957775e-08
Position 924: 2.500732476427398e-09
Position 3460: 6.671930676487294e-11
Position 3470: 6.401301238402709e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 21341: 0.9950806300052504
Position 24358: 0.9943598749540667
Position 23876: 0.9806096071893494
Position 3317: 0.9770513831847992
Position 6007: 0.9706791927738018
Position 16676: 0.8561870534985312
Position 2851: 0.7705370513677707
Position 14753: 0.6835382185827374
Position 18337: 0.18698001913233028
Position 2875: 0.11729179801699512
Position 22829: 0.11591406976585703
Position 23444: 0.11191650218331642
Position 2882: 0.06394012863319218
Position 1280: 0.06384862253444436
Position 1348: 0.05773072109241972
Position 1662: 0.05352649270260315
Position 2119: 0.04523858167324208
Position 2799: 0.041768040288453254
Position 2285: 0.03595098033509872
Position 1594: 0.0353671354753195
Position 23164: 0.034497607260780376
Position 1693: 0.0344385749401341
Position 1715: 0.03225431348079917
Position 1625: 0.03138933594924327
Position 2242: 0.02491753081068089
Position 5499: 0.023668333645371017
Position 7833: 0.023594520335102176
Position 1019: 0.020384031032858883
Position 1367: 0.017928367577830756
Position 17948: 0.01789530325866625
Position 3246: 0.017550726902694297
